"timed","stoobs","inflow","outflow",
"01-Jan-1978",870296214.7,151.7135,5.3802,
"02-Jan-1978",878720903.1,102.8881,5.3802,
"03-Jan-1978",887268939.8,104.3159,5.3802,
"04-Jan-1978",900257515,155.626,5.2953,
"05-Jan-1978",908928900,105.8566,5.4935,
"06-Jan-1978",917587950.1,105.9121,5.6917,
"07-Jan-1978",930687538.8,156.9957,5.3802,
"08-Jan-1978",944021489.3,159.7081,5.3802,
"09-Jan-1978",957367774.6,159.8511,5.3802,
"10-Jan-1978",970714059.8,159.8511,5.3802,
"11-Jan-1978",984430390,164.2473,5.4935,
"12-Jan-1978",998146720.2,164.3323,5.5784,
"13-Jan-1978",1007286829,111.2818,5.4935,
"14-Jan-1978",1016426937,111.2818,5.4935,
"15-Jan-1978",1030525647,169.0694,5.8899,
"16-Jan-1978",1044636692,172.1004,8.7782,
"17-Jan-1978",1054035832,121.5855,12.7992,
"18-Jan-1978",1063434972,121.9819,13.1957,
"19-Jan-1978",1077953066,181.229,13.1957,
"20-Jan-1978",1087623572,125.2644,13.3372,
"21-Jan-1978",1097294078,125.2644,13.3372,
"22-Jan-1978",1106976919,125.4071,13.3372,
"23-Jan-1978",1121791049,184.7969,13.3372,
"24-Jan-1978",1131769926,128.8334,13.3372,
"25-Jan-1978",1141736468,128.6907,13.3372,
"26-Jan-1978",1151715345,128.975,13.4788,
"27-Jan-1978",1161694222,129.3715,13.8753,
"28-Jan-1978",1171993804,133.2248,14.0168,
"29-Jan-1978",1182231712,132.6528,14.1584,
"30-Jan-1978",1192580634,133.9376,14.1584,
"31-Jan-1978",1202867882,133.2237,14.1584,
"01-Feb-1978",1213167464,133.3664,14.1584,
"02-Feb-1978",1223750748,136.5084,14.0168,
"03-Feb-1978",1234346366,136.7927,14.1584,
"04-Feb-1978",1244929650,136.5084,14.0168,
"05-Feb-1978",1255525268,136.7927,14.1584,
"06-Feb-1978",1271535876,199.4664,14.1584,
"07-Feb-1978",1282402861,133.6473,7.8721,
"08-Feb-1978",1293257511,131.3242,5.6917,
"09-Feb-1978",1304112160,131.3242,5.6917,
"10-Feb-1978",1320406470,197.1433,8.5517,
"11-Feb-1978",1331532486,141.9691,13.1957,
"12-Feb-1978",1342658502,141.9691,13.1957,
"13-Feb-1978",1353772183,148.1407,19.5103,
"14-Feb-1978",1359335191,90.0983,25.7117,
"15-Feb-1978",1376024215,226.5738,33.4139,
"16-Feb-1978",1381710571,105.4579,39.6436,
"17-Feb-1978",1393083284,170.7058,39.0772,
"18-Feb-1978",1398769640,104.8915,39.0772,
"19-Feb-1978",1410142353,170.7058,39.0772,
"20-Feb-1978",1421515066,170.7058,39.0772,
"21-Feb-1978",1427201422,109.4222,43.6079,
"22-Feb-1978",1432887778,117.0678,51.2535,
"23-Feb-1978",1438697483,118.4955,51.2535,
"24-Feb-1978",1444507187,118.4955,51.2535,
"25-Feb-1978",1450316892,118.4955,51.2535,
"26-Feb-1978",1456126597,118.4955,51.2535,
"27-Feb-1978",1461923966,129.1129,62.0139,
"28-Feb-1978",1467733671,138.0341,70.7921,
"01-Mar-1978",1473543375,138.0341,70.7921,
"02-Mar-1978",1479353080,138.0341,70.7921,
"03-Mar-1978",1485162785,138.0341,70.7921,
"04-Mar-1978",1490972489,138.0341,70.7921,
"05-Mar-1978",1496893207,139.3189,70.7921,
"06-Mar-1978",1502801590,138.3267,69.9426,
"07-Mar-1978",1508722309,139.3189,70.7921,
"08-Mar-1978",1514630692,139.1762,70.7921,
"09-Mar-1978",1526472128,208.412,71.3585,
"10-Mar-1978",1538301229,213.9326,77.0218,
"11-Mar-1978",1544209612,149.6534,81.2693,
"12-Mar-1978",1550130330,149.7961,81.2693,
"13-Mar-1978",1556137392,153.6271,84.101,
"14-Mar-1978",1562144454,152.4944,82.9684,
"15-Mar-1978",1568151516,151.6449,82.1189,
"16-Mar-1978",1580165640,221.1713,82.1189,
"17-Mar-1978",1592179763,221.1713,82.1189,
"18-Mar-1978",1598186825,153.6271,84.101,
"19-Mar-1978",1604193887,153.6271,84.101,
"20-Mar-1978",1610200949,153.6271,84.101,
"21-Mar-1978",1616306690,153.6367,82.9684,
"22-Mar-1978",1622412430,154.7694,84.101,
"23-Mar-1978",1634623911,225.4375,84.101,
"24-Mar-1978",1640729652,155.6189,84.9505,
"25-Mar-1978",1646835392,155.6189,84.9505,
"26-Mar-1978",1659046873,227.1365,85.8,
"27-Mar-1978",1671258354,240.7286,99.3921,
"28-Mar-1978",1677475108,184.0878,112.1347,
"29-Mar-1978",1683704197,187.0622,114.9664,
"30-Mar-1978",1694891887,271.6376,142.1506,
"31-Mar-1978",1703600276,227.0847,126.2931,
"01-Apr-1978",1715429378,280.7604,143.8496,
"02-Apr-1978",1727246144,289.3959,152.6278,
"03-Apr-1978",1739173924,279.3539,141.3011,
"04-Apr-1978",1757565154,352.1803,139.3189,
"05-Apr-1978",1763276180,205.4186,139.3189,
"06-Apr-1978",1784837462,394.5341,144.9823,
"07-Apr-1978",1796259514,271.5186,139.3189,
"08-Apr-1978",1802698295,212.9922,138.4694,
"09-Apr-1978",1807866588,198.2876,138.4694,
"10-Apr-1978",1828539762,398.9798,159.707,
"11-Apr-1978",1833054310,236.8775,184.6258,
"12-Apr-1978",1851790915,410.5461,193.6872,
"13-Apr-1978",1869355712,389.0548,185.7585,
"14-Apr-1978",1874610349,249.974,189.1565,
"15-Apr-1978",1881172479,267.3725,191.4219,
"16-Apr-1978",1901537282,428.2583,192.5546,
"17-Apr-1978",1907445665,297.1842,228.8001,
"18-Apr-1978",1919262431,407.7603,270.9922,
"19-Apr-1978",1923863323,353.4095,300.1586,
"20-Apr-1978",1923209577,306.7505,314.317,
"21-Apr-1978",1921889750,301.8729,317.1487,
"22-Apr-1978",1923863323,337.1593,314.317,
"23-Apr-1978",1923209577,303.9188,311.4853,
"24-Apr-1978",1935852777,454.9869,308.6536,
"25-Apr-1978",1938615779,340.6327,308.6536,
"26-Apr-1978",1943229005,362.0473,308.6536,
"27-Apr-1978",1946584078,344.6537,305.8219,
"28-Apr-1978",1947928575,327.0466,311.4853,
"29-Apr-1978",1951949729,358.0263,311.4853,
"30-Apr-1978",1953960306,334.7558,311.4853,
"01-May-1978",1966023769,462.4353,322.8121,
"02-May-1978",1966023769,328.4754,328.4754,
"03-May-1978",1979431729,492.155,336.9705,
"04-May-1978",1980097809,356.0065,348.2972,
"05-May-1978",1976742736,315.1288,353.9606,
"06-May-1978",1981442306,408.3538,353.9606,
"07-May-1978",1988806199,436.3592,351.1289,
"08-May-1978",1990150695,366.6901,351.1289,
"09-May-1978",1996207097,421.2261,351.1289,
"10-May-1978",1996207097,351.1289,351.1289,
"11-May-1978",1999623844,393.5062,353.9606,
"12-May-1978",1996207097,311.5833,351.1289,
"13-May-1978",2003028257,430.0774,351.1289,
"14-May-1978",2012575415,461.6283,351.1289,
"15-May-1978",2018718160,396.7403,325.6437,
"16-May-1978",2026217736,367.4204,280.6199,
"17-May-1978",2028943733,326.0461,294.4952,
"18-May-1978",2048716465,540.3364,311.4853,
"19-May-1978",2067884789,589.9744,368.119,
"20-May-1978",2071338542,436.4099,396.4359,
"21-May-1978",2080330632,494.8477,390.7725,
"22-May-1978",2082402884,414.7569,390.7725,
"23-May-1978",2083093634,398.7672,390.7725,
"24-May-1978",2083093634,390.7725,390.7725,
"25-May-1978",2081021383,366.7881,390.7725,
"26-May-1978",2085856636,443.9042,387.9408,
"27-May-1978",2089310388,427.9148,387.9408,
"28-May-1978",2089310388,387.9408,387.9408,
"29-May-1978",2082402884,299.4979,379.4457,
"30-May-1978",2076186130,270.6807,342.6338,
"31-May-1978",2069957041,208.5241,280.6199,
"01-Jun-1978",2069957041,256.5506,256.5506,
"02-Jun-1978",2067194039,233.633,265.612,
"03-Jun-1978",2062346451,209.5056,265.612,
"04-Jun-1978",2058942038,226.2091,265.612,
"05-Jun-1978",2056894457,195.4735,219.1724,
"06-Jun-1978",2061668036,302.7391,247.4892,
"07-Jun-1978",2063740287,312.8162,288.8318,
"08-Jun-1978",2065121788,310.4849,294.4952,
"09-Jun-1978",2063740287,275.6738,291.6635,
"10-Jun-1978",2057585207,220.4243,291.6635,
"11-Jun-1978",2047347299,167.5058,286.0002,
"12-Jun-1978",2055537625,386.459,291.6635,
"13-Jun-1978",2058263623,331.7095,300.1586,
"14-Jun-1978",2058942038,305.1789,297.3269,
"15-Jun-1978",2057585207,273.1279,288.8318,
"16-Jun-1978",2058942038,289.5279,273.8239,
"17-Jun-1978",2056216041,214.8057,246.3566,
"18-Jun-1978",2062346451,314.7619,243.808,
"19-Jun-1978",2062346451,243.808,243.808,
"20-Jun-1978",2069266290,321.3503,241.2595,
"21-Jun-1978",2073410793,304.5194,256.5506,
"22-Jun-1978",2076876880,319.604,279.4873,
"23-Jun-1978",2072029292,232.7254,288.8318,
"24-Jun-1978",2075483044,348.6277,308.6536,
"25-Jun-1978",2054846875,78.3043,317.1487,
"26-Jun-1978",2056216041,324.5006,308.6536,
"27-Jun-1978",2065812538,397.0707,286.0002,
"28-Jun-1978",2078949131,472.0243,319.9804,
"29-Jun-1978",2078949131,339.8022,339.8022,
"30-Jun-1978",2078949131,336.9705,336.9705,
"01-Jul-1978",2072029292,273.8698,353.9606,
"02-Jul-1978",2065812538,296.1659,368.119,
"03-Jul-1978",2053490044,233.9926,376.6141,
"04-Jul-1978",2040538473,223.8801,373.7824,
"05-Jul-1978",2030991315,263.283,373.7824,
"06-Jul-1978",2016670578,188.2113,353.9606,
"07-Jul-1978",2010527833,254.5472,325.6437,
"08-Jul-1978",1998933094,199.9404,334.1388,
"09-Jul-1978",1985463460,186.7354,342.6338,
"10-Jul-1978",1970711004,171.8878,342.6338,
"11-Jul-1978",1947250159,68.2646,339.8022,
"12-Jul-1978",1927144387,107.0966,339.8022,
"13-Jul-1978",1905472092,83.3022,334.1388,
"14-Jul-1978",1890374261,150.9005,325.6437,
"15-Jul-1978",1870009458,84.2766,319.9804,
"16-Jul-1978",1851137169,110.0463,328.4754,
"17-Jul-1978",1832412899,111.7595,328.4754,
"18-Jul-1978",1814971450,123.7752,325.6437,
"19-Jul-1978",1805288609,222.0689,334.1388,
"20-Jul-1978",1792448052,202.5113,351.1289,
"21-Jul-1978",1775956385,163.0849,353.9606,
