"timed","stoobs","inflow","outflow",
"01-Jan-1977",4633000000,51,42.5,
"02-Jan-1977",4633000000,47.6,42.5,
"03-Jan-1977",4633000000,48.1,42.5,
"04-Jan-1977",4633700000,56.4,42.2,
"05-Jan-1977",4635400000,68.5,42.2,
"06-Jan-1977",4635400000,49.3,42.2,
"07-Jan-1977",4635400000,53.2,43.9,
"08-Jan-1977",4634600000,47,47.6,
"09-Jan-1977",4634600000,56.1,48.1,
"10-Jan-1977",4633000000,41.9,48.4,
"11-Jan-1977",4633000000,53.8,48.4,
"12-Jan-1977",4633700000,61.7,48.4,
"13-Jan-1977",4634600000,67.1,50.7,
"14-Jan-1977",4633700000,50.7,54.7,
"15-Jan-1977",4633700000,64.3,54.9,
"16-Jan-1977",4633000000,54.1,54.9,
"17-Jan-1977",4632100000,52.1,54.9,
"18-Jan-1977",4629500000,33.4,54.9,
"19-Jan-1977",4629500000,69.1,54.9,
"20-Jan-1977",4627100000,35.4,54.9,
"21-Jan-1977",4627900000,75.9,54.9,
"22-Jan-1977",4629500000,79,54.9,
"23-Jan-1977",4629500000,62.3,54.9,
"24-Jan-1977",4630400000,75,54.9,
"25-Jan-1977",4628800000,47.6,54.9,
"26-Jan-1977",4629500000,77,54.9,
"27-Jan-1977",4630400000,73.1,54.9,
"28-Jan-1977",4628800000,87.8,54.9,
"29-Jan-1977",4627100000,55.2,54.9,
"30-Jan-1977",4624600000,38.2,54.9,
"31-Jan-1977",4622900000,28.2,41.9,
"01-Feb-1977",4621100000,16.6,28.9,
"02-Feb-1977",4624600000,77.6,28.3,
"03-Feb-1977",4627100000,67.1,28.3,
"04-Feb-1977",4628800000,62.6,28.6,
"05-Feb-1977",4630400000,62.6,28.6,
"06-Feb-1977",4631200000,49.6,28.6,
"07-Feb-1977",4640500000,144,28.3,
"08-Feb-1977",4642100000,70.2,43.3,
"09-Feb-1977",4639600000,39.4,56.6,
"10-Feb-1977",4638800000,53.5,56.1,
"11-Feb-1977",4638800000,64.6,56.1,
"12-Feb-1977",4637900000,59.5,56.1,
"13-Feb-1977",4637200000,61.7,56.1,
"14-Feb-1977",4636300000,62,56.1,
"15-Feb-1977",4633700000,40.5,56.1,
"16-Feb-1977",4632100000,49.3,56.6,
"17-Feb-1977",4630400000,53,56.1,
"18-Feb-1977",4630400000,68.8,56.1,
"19-Feb-1977",4629500000,62.9,56.1,
"20-Feb-1977",4626200000,36,56.1,
"21-Feb-1977",4625300000,60.3,56.1,
"22-Feb-1977",4624600000,63.1,56.1,
"23-Feb-1977",4626200000,82.1,40.5,
"24-Feb-1977",4627100000,60.3,28.3,
"25-Feb-1977",4627900000,61.2,28.3,
"26-Feb-1977",4628800000,60.3,28.3,
"27-Feb-1977",4628800000,49.8,28.6,
"28-Feb-1977",4628800000,45,28.6,
"01-Mar-1977",4627100000,24.3,28.2,
"02-Mar-1977",4629500000,76.7,28.3,
"03-Mar-1977",4629500000,50.7,28.3,
"04-Mar-1977",4628800000,33.7,28.3,
"05-Mar-1977",4630400000,68.5,28.3,
"06-Mar-1977",4629500000,32,28.3,
"07-Mar-1977",4629500000,49,28.3,
"08-Mar-1977",4629500000,49.6,28.3,
"09-Mar-1977",4630400000,60.9,28.3,
"10-Mar-1977",4631200000,56.1,28.3,
"11-Mar-1977",4631200000,50.1,28.3,
"12-Mar-1977",4632100000,61.4,28.3,
"13-Mar-1977",4632100000,47,28.3,
"14-Mar-1977",4633700000,76.5,28.3,
"15-Mar-1977",4635400000,66,28.3,
"16-Mar-1977",4635400000,45.3,28.3,
"17-Mar-1977",4640500000,104,28.3,
"18-Mar-1977",4642100000,68.8,28.3,
"19-Mar-1977",4644700000,81,28.3,
