"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",1028533333.3333,64.5,10.4,
"31-Jan-2001 12:00:00",1187433333.3333,66.3,3.3333,
"03-Mar-2001 00:00:00",1241633333.3333,54.3333,54.1333,
"02-Apr-2001 12:00:00",1218900000,88.0667,93,
"03-May-2001 00:00:00",1328733333.3333,203.3,137.3333,
"02-Jun-2001 12:00:00",1568633333.3333,244.7667,174.3333,
"03-Jul-2001 00:00:00",1147666666.6667,87.1,340.3,
"02-Aug-2001 12:00:00",615533333.3333,66.1667,190.2667,
"02-Sep-2001 00:00:00",570233333.3333,54.2667,59.8667,
"02-Oct-2001 12:00:00",512900000,50.1333,71.1667,
"02-Nov-2001 00:00:00",644300000,82.3333,9.8667,
"02-Dec-2001 12:00:00",826200000,75.1333,6.5333,
"02-Jan-2002 00:00:00",975700000,68.1667,18,
"01-Feb-2002 12:00:00",1099266666.6667,60.3,12.2,
"04-Mar-2002 00:00:00",1173900000,58.2,35.5333,
"03-Apr-2002 12:00:00",1536900000,356.8333,167.1333,
"04-May-2002 00:00:00",1829333333.3333,412.7333,352.2333,
"03-Jun-2002 12:00:00",1861166666.6667,478.8,472.8,
"04-Jul-2002 00:00:00",1624500000,247.9333,406.0333,
"03-Aug-2002 12:00:00",969033333.3333,114.7,331.5667,
"03-Sep-2002 00:00:00",836700000,62.0667,69.5,
"03-Oct-2002 12:00:00",768166666.6667,43.1,76.3667,
"03-Nov-2002 00:00:00",701966666.6667,43.3667,48.6333,
"03-Dec-2002 12:00:00",811366666.6667,59.3667,4.6333,
"03-Jan-2003 00:00:00",955933333.3333,54.8,4,
"02-Feb-2003 12:00:00",1086666666.6667,52.7333,4.2667,
"05-Mar-2003 00:00:00",1185700000,53.8667,20.1,
"04-Apr-2003 12:00:00",1543700000,326.9333,131.7333,
"05-May-2003 00:00:00",1798933333.3333,414.5,386.4333,
"04-Jun-2003 12:00:00",1835500000,486.2333,471.3,
"05-Jul-2003 00:00:00",1694700000,278.5333,383.1667,
"04-Aug-2003 12:00:00",1193666666.6667,97.2333,282.6667,
"04-Sep-2003 00:00:00",1020600000,63.6667,80.7333,
"04-Oct-2003 12:00:00",1021833333.3333,52.7333,49.1,
"04-Nov-2003 00:00:00",1090600000,85.3,37.2,
