"timed","stoobs","inflow","outflow",
"01-Jan-2003",31353702214.8281,204.61,1570,
"02-Jan-2003",31244864584.8906,203.21,1730,
"03-Jan-2003",31137739674.0156,202.01,1720,
"04-Jan-2003",31050912814.3281,198.89,1550,
"05-Jan-2003",30992053258.8281,197.64,1570,
"06-Jan-2003",30843566472.7031,195.72,1720,
"07-Jan-2003",30794138002.0156,192.14,1810,
"08-Jan-2003",30635267649.8281,187.81,1800,
"09-Jan-2003",30524418556.5156,185.09,1780,
"10-Jan-2003",30410666600.5781,181.85,1900,
"11-Jan-2003",30235776207.3281,179.3,1940,
"12-Jan-2003",30099532744.0781,177.79,1700,
"13-Jan-2003",30004773538.1406,176.02,1730,
"14-Jan-2003",29887262204.5781,175.78,1820,
"15-Jan-2003",29809535707.4531,176.24,1760,
"16-Jan-2003",29701468286.5781,176.4,1910,
"17-Jan-2003",29584452435.6406,177.21,1930,
"18-Jan-2003",29487338034.0781,177.22,1830,
"19-Jan-2003",29228507254.5781,176.42,1920,
"20-Jan-2003",29064011685.3281,173.35,1850,
"21-Jan-2003",29030856938.9531,171.69,1720,
"22-Jan-2003",28841269075.1406,168.3,1690,
"23-Jan-2003",28743664211.7031,165.5,1630,
"24-Jan-2003",28625218246.3281,163.39,1580,
"25-Jan-2003",28593766076.3906,162.3,1570,
"26-Jan-2003",28520432290.5781,160.75,1560,
"27-Jan-2003",28360560709.2656,159.84,1570,
"28-Jan-2003",28332210328.2031,159.46,1580,
"29-Jan-2003",28275543939.0781,159.11,1560,
"30-Jan-2003",28169789977.0156,159.34,1580,
"31-Jan-2003",28043393117.7031,159.99,1550,
"01-Feb-2003",27975085422.0781,159.85,1540,
"02-Feb-2003",27883124306.0156,159.58,1540,
"03-Feb-2003",27783883354.5156,159.08,1550,
"04-Feb-2003",27678871983.3906,156.91,1550,
"05-Feb-2003",27582873948.7031,155.42,1580,
"06-Feb-2003",27504696944.3281,153.4,1600,
"07-Feb-2003",27361846698.5156,151.47,1590,
"08-Feb-2003",27276572037.0781,149.85,1570,
"09-Feb-2003",27184065463.7031,148.65,1580,
"10-Feb-2003",27081425971.0781,147.53,1590,
"11-Feb-2003",26984791781.7656,146.32,1600,
"12-Feb-2003",26869302249.0156,144.79,1590,
"13-Feb-2003",26704446201.5781,143.76,1600,
"14-Feb-2003",26573428910.9531,142.8,1600,
"15-Feb-2003",26448469453.7031,141.93,1610,
"16-Feb-2003",26355625092.2656,141.26,1560,
"17-Feb-2003",26306353084.7656,140.31,1580,
"18-Feb-2003",26161642508.1406,139.38,1600,
"19-Feb-2003",25982629964.8281,138.87,1590,
"20-Feb-2003",25901940846.0156,138.25,1600,
"21-Feb-2003",25817033443.6406,137.48,1600,
"22-Feb-2003",25745161747.0156,136.44,1590,
"23-Feb-2003",25681978135.2031,135.37,1580,
"24-Feb-2003",25600214914.5156,134.15,1610,
"25-Feb-2003",25479903149.5156,133.56,1580,
"26-Feb-2003",25334100422.7031,132.58,1580,
"27-Feb-2003",25258465622.0781,131.99,1570,
"28-Feb-2003",25127378405.1406,131.5,1580,
"01-Mar-2003",25047712384.8906,131.3,1570,
"02-Mar-2003",24909945088.4531,130.9,1570,
"03-Mar-2003",24790872257.2031,130.5,1560,
"04-Mar-2003",24686151971.5781,130.02,1580,
"05-Mar-2003",24536435943.8906,128.98,1570,
"06-Mar-2003",24463114483.5781,128.09,1580,
"07-Mar-2003",24346251197.7031,127.12,1620,
"08-Mar-2003",24243639407.7031,126.51,1680,
"09-Mar-2003",24106138684.2656,126.19,1690,
"10-Mar-2003",24008100520.6406,126.06,1680,
"11-Mar-2003",23911606748.8281,126.24,1730,
"12-Mar-2003",23734374982.8906,126.8,1800,
"13-Mar-2003",23606287754.3281,127.64,1810,
"14-Mar-2003",23521499603.1406,128.62,1750,
"15-Mar-2003",23382742469.8906,129.67,1690,
"16-Mar-2003",23317629404.7031,130.94,1650,
"17-Mar-2003",23229070355.3906,132.78,1620,
"18-Mar-2003",23106119994.2656,134.52,1650,
"19-Mar-2003",22987537027.1406,136.3,1730,
"20-Mar-2003",22876048532.3906,138.86,1720,
"21-Mar-2003",22751027205.5781,141.29,1820,
"22-Mar-2003",22613922762.1406,143.47,1820,
"23-Mar-2003",22529065873.7656,145.06,1730,
"24-Mar-2003",22408817866.0781,144.98,1810,
"25-Mar-2003",22268361760.2656,144.49,1740,
"26-Mar-2003",22160843949.5156,144.01,1660,
"27-Mar-2003",22042649503.6406,143.79,1570,
"28-Mar-2003",21950421584.3906,143.95,1480,
"29-Mar-2003",21865095509.7031,146.23,1430,
"30-Mar-2003",21789347200.3281,149.26,1440,
"31-Mar-2003",21673197135.4531,154.3,1430,
"01-Apr-2003",21522254110.5156,163.01,1450,
"02-Apr-2003",21452297125.1406,168.33,1450,
"03-Apr-2003",21375703507.8281,171.2,1520,
"04-Apr-2003",21287133631.5781,174.14,1500,
"05-Apr-2003",21216100502.6406,177.19,1460,
"06-Apr-2003",21119732606.0781,179.84,1450,
"07-Apr-2003",21043547395.8906,183.77,1460,
"08-Apr-2003",20944779908.2656,198.5,1500,
"09-Apr-2003",20902118451.0781,213.27,1450,
"10-Apr-2003",20792932820.8281,227.73,1350,
"11-Apr-2003",20718477978.8906,248.95,1400,
"12-Apr-2003",20665351021.2656,263.75,1380,
"13-Apr-2003",20565861543.7656,287.82,1290,
"14-Apr-2003",20496976689.4531,314.11,1440,
"15-Apr-2003",20436104537.8906,359.18,1300,
"16-Apr-2003",20407013142.1406,375.41,1110,
"17-Apr-2003",20377935568.0781,401.71,1120,
"18-Apr-2003",20322462195.8906,409.32,1130,
"19-Apr-2003",20269677191.8906,394.49,1350,
"20-Apr-2003",20199807300.2656,407.55,1420,
"21-Apr-2003",20148444694.7031,443.14,1460,
"22-Apr-2003",20103702351.4531,511.62,1630,
"23-Apr-2003",20010375784.7031,588.38,1540,
"24-Apr-2003",19949987120.3906,666.61,1430,
"25-Apr-2003",19957860496.5156,859.2,1560,
"26-Apr-2003",19959172825.2031,938.8,1150,
"27-Apr-2003",19999869093.0156,903.1,1030,
"28-Apr-2003",20032708539.8906,833.9,1320,
"29-Apr-2003",20065565742.1406,813.2,1190,
"30-Apr-2003",20111595669.7656,847.7,754,
"01-May-2003",20148444694.7031,937.5,738,
"02-May-2003",20209030813.0781,989,603,
"03-May-2003",20288146754.1406,932.7,456,
"04-May-2003",20360759859.5781,824.3,560,
"05-May-2003",20430814164.9531,743.2,782,
"06-May-2003",20503596872.3906,679.59,667,
"07-May-2003",20532734170.6406,638.07,861,
"08-May-2003",20563210695.7656,611.32,530,
"09-May-2003",20621555803.2656,613.26,541,
"10-May-2003",20698549994.0781,654.9,394,
"11-May-2003",20788941887.0156,752.6,392,
"12-May-2003",20868809675.5781,907.2,938,
"13-May-2003",20935445197.7656,1053.3,793,
"14-May-2003",21003487520.0156,1150.4,831,
"15-May-2003",21119732606.0781,1192.8,866,
"16-May-2003",21182622471.2656,1068.9,735,
"17-May-2003",21254957631.6406,951.4,941,
"18-May-2003",21322009754.8281,869,768,
"19-May-2003",21394507259.7031,843.7,952,
"20-May-2003",21416004210.0156,854,1100,
"21-May-2003",21457675649.2656,888.9,1040,
"22-May-2003",21511486395.1406,1016.3,1230,
"23-May-2003",21572078941.4531,1349.2,741,
"24-May-2003",21746103441.1406,1742.3,478,
"25-May-2003",22052151218.5781,2650,391,
"26-May-2003",22408817866.0781,2874.4,442,
"27-May-2003",22735931290.5156,2664,466,
"28-May-2003",23027499835.9531,2501.4,377,
"29-May-2003",23371654756.2031,2646.3,353,
"30-May-2003",23689794235.0156,2788.9,393,
"31-May-2003",24054300187.7031,3019,459,
"01-Jun-2003",24451841503.8906,3431,432,
"02-Jun-2003",24870230360.2031,3506,345,
"03-Jun-2003",25252760813.2656,3124.8,343,
"04-Jun-2003",25588747342.7656,2817.5,397,
"05-Jun-2003",25870267946.1406,2672,438,
"06-Jun-2003",26192006108.0781,2764.3,425,
"07-Jun-2003",26544348105.9531,3106.3,350,
"08-Jun-2003",26895599208.0781,3423.8,341,
"09-Jun-2003",27313315432.4531,3517.9,481,
"10-Jun-2003",27724702489.9531,3340.5,381,
"11-Jun-2003",28131103129.4531,3148,361,
"12-Jun-2003",28402361113.3281,2983.2,348,
"13-Jun-2003",28779687222.3281,2961,348,
"14-Jun-2003",29160550052.2656,2964.8,347,
"15-Jun-2003",29485821668.7656,2750.3,453,
"16-Jun-2003",29777555134.6406,2453.3,515,
"17-Jun-2003",29992555625.1406,2204.8,525,
"18-Jun-2003",30251100548.7656,2206.7,657,
"19-Jun-2003",30446002814.6406,2301.3,868,
"20-Jun-2003",30601379131.6406,2045.8,811,
"21-Jun-2003",30772523590.4531,1759.4,734,
"22-Jun-2003",30931694050.9531,1600.5,486,
"23-Jun-2003",31094313361.3281,1553.2,710,
"24-Jun-2003",31233989698.8906,1626.5,923,
"25-Jun-2003",31391055152.7031,1614.9,842,
"26-Jun-2003",31523499671.2031,1599.6,820,
"27-Jun-2003",31596836160.9531,1579.4,894,
"28-Jun-2003",31714013791.7656,1461.3,793,
"29-Jun-2003",31784409767.5156,1398.2,816,
"30-Jun-2003",31897182960.6406,1702.6,723,
"01-Jul-2003",32145260882.6406,2587.8,798,
"02-Jul-2003",32465214133.8906,2823.8,998,
"03-Jul-2003",32746897413.7031,2705.9,1250,
"04-Jul-2003",32953292363.1406,2451.4,984,
"05-Jul-2003",33123597519.3906,2277.1,964,
"06-Jul-2003",33281513104.3281,2059.8,960,
"07-Jul-2003",33423759995.0156,1890.5,1100,
"08-Jul-2003",33590320458.5156,1817.3,1050,
"09-Jul-2003",33723511416.1406,1797.2,1020,
"10-Jul-2003",33842457097.0156,1735.8,1110,
"11-Jul-2003",33969645033.4531,1634.2,1190,
"12-Jul-2003",34035737668.7031,1568.7,1150,
"13-Jul-2003",34148711109.2656,1525.2,1030,
"14-Jul-2003",34247295664.3906,1529.6,1220,
"15-Jul-2003",34313628809.5156,1505.9,1180,
"16-Jul-2003",34358962504.6406,1391.2,1240,
"17-Jul-2003",34444846122.3281,1301.9,1300,
"18-Jul-2003",34456196427.6406,1227.8,1380,
"19-Jul-2003",34449710333.5156,1183.8,1300,
"20-Jul-2003",34521087500.8906,1156.6,1190,
"21-Jul-2003",34581160546.0781,1187.9,1230,
"22-Jul-2003",34615276935.2656,1178.3,1310,
"23-Jul-2003",34631528150.7031,1092.4,1250,
"24-Jul-2003",34652659859.5156,1021.4,1250,
"25-Jul-2003",34670545065.4531,983.5,794,
"26-Jul-2003",34743755070.9531,938,480,
"27-Jul-2003",34826810504.2656,900.9,710,
"28-Jul-2003",34844736143.3281,861.1,871,
"29-Jul-2003",34878969374.2656,817,1010,
"30-Jul-2003",34888753084.0781,780,1190,
