"timed","stoobs","inflow","outflow",
"01-Jan-1980",5964770000,33.1319,7.853,
"02-Jan-1980",5959980000,37.7662,86.3391,
"03-Jan-1980",5953580000,11.0961,78.3148,
"04-Jan-1980",5947180000,23.7975,91.0289,
"05-Jan-1980",5943980000,14.3924,44.5926,
"06-Jan-1980",5943980000,24.4086,17.5718,
"07-Jan-1980",5939190000,16.684,65.2963,
"08-Jan-1980",5935990000,15.5671,45.7836,
"09-Jan-1980",5932740000,24.537,55.338,
"10-Jan-1980",5927990000,8.3032,56.4745,
"11-Jan-1980",5923200000,12.7257,61.3692,
"12-Jan-1980",5905560000,0,195.6424,
"13-Jan-1980",5887970000,0,187.4757,
"14-Jan-1980",5865590000,0,234.0949,
"15-Jan-1980",5843200000,0,244.4641,
"16-Jan-1980",5820770000,0,241.8738,
"17-Jan-1980",5804770000,0,171.6088,
"18-Jan-1980",5783980000,0,220.5,
"19-Jan-1980",5767990000,0,174.4294,
"20-Jan-1980",5761600000,0,53.3391,
"21-Jan-1980",5744570000,0,186.4433,
"22-Jan-1980",5726380000,0,197.9688,
"23-Jan-1980",5715180000,0,107.4028,
"24-Jan-1980",5702590000,0,126.6759,
"25-Jan-1980",5983160000,0,210.5567,
"26-Jan-1980",5664460000,0,200.8438,
"27-Jan-1980",5655970000,0,78.728,
"28-Jan-1980",5645780000,0,93.7581,
"29-Jan-1980",5638980000,0,55.3148,
"30-Jan-1980",5633880000,0,51.2488,
"31-Jan-1980",5628790000,27.8032,80.1632,
"01-Feb-1980",5613490000,3.0127,171.3194,
"02-Feb-1980",5602360000,7.8264,127.9016,
"03-Feb-1980",5598460000,12.5255,48.9294,
"04-Feb-1980",5581570000,1.2234,188.0347,
"05-Feb-1980",5563390000,0.90394,202.7106,
"06-Feb-1980",5545200000,3.2292,205.2164,
"07-Feb-1980",5530160000,0.35301,165.9063,
"08-Feb-1980",5517570000,16.2211,153.4248,
"09-Feb-1980",5503580000,0,133.9132,
"10-Feb-1980",5500780000,10.0012,33.9039,
"11-Feb-1980",5490990000,3.1331,107.9444,
"12-Feb-1980",5478390000,11.2894,148.6308,
"13-Feb-1980",5453170000,0,268.2222,
"14-Feb-1980",5448970000,5.9109,46.0463,
"15-Feb-1980",5446170000,11.4572,35.39,
"16-Feb-1980",5443380000,7.8391,31.6574,
"17-Feb-1980",5440570000,15.4572,39.5093,
"18-Feb-1980",5436380000,8.294,48.3206,
"19-Feb-1980",5427980000,1.2442,90.0023,
"20-Feb-1980",5420990000,10.36,82.8021,
"21-Feb-1980",5411190000,0,100.8438,
"22-Feb-1980",5402800000,9.3102,97.9664,
"23-Feb-1980",5393560000,0,97.2199,
"24-Feb-1980",5382360000,0,99.9688,
"25-Feb-1980",5369570000,0,115.3148,
"26-Feb-1980",5358380000,0,112.7176,
"27-Feb-1980",5347180000,0,95.0255,
"28-Feb-1980",5335990000,0,104.8912,
"29-Feb-1980",5318360000,0,172.7766,
"01-Mar-1980",5307160000,0,95.1759,
"02-Mar-1980",5299160000,0,63.9456,
"03-Mar-1980",5287970000,0,97.6435,
"04-Mar-1980",5276780000,0,109.3657,
"05-Mar-1980",5267180000,0,93.0498,
"06-Mar-1980",5247990000,0,202.9028,
"07-Mar-1980",5231570000,0,174.3796,
"08-Mar-1980",5219580000,3.588,134.0023,
"09-Mar-1980",5212380000,0,62.6157,
"10-Mar-1980",5199190000,0,134.2558,
"11-Mar-1980",5188390000,12.5104,129.1713,
"12-Mar-1980",5177160000,12.1991,133.8519,
"13-Mar-1980",5164570000,0,136.485,
"14-Mar-1980",5150570000,0,138.5775,
"15-Mar-1980",5140780000,17.2211,122.2847,
"16-Mar-1980",5132390000,5.1181,93.9965,
"17-Mar-1980",5119790000,0,136.1563,
"18-Mar-1980",5170160000,0,136.7755,
"19-Mar-1980",5093170000,0,148.2616,
"20-Mar-1980",5079180000,0,135.5579,
"21-Mar-1980",5066580000,0,130.9271,
"22-Mar-1980",5055390000,0,119.6921,
"23-Mar-1980",5045590000,0,93.1609,
"24-Mar-1980",5030160000,0,169.0313,
"25-Mar-1980",5016170000,0,146.4676,
"26-Mar-1980",5003580000,0,136.5509,
"27-Mar-1980",4990990000,0,135.8229,
"28-Mar-1980",4978390000,6.7002,144.4653,
"29-Mar-1980",4967160000,1.4873,123.4028,
"30-Mar-1980",4958770000,0,88.8773,
"31-Mar-1980",4944770000,0,142.2917,
"01-Apr-1980",4930780000,0,145.7627,
"02-Apr-1980",4922390000,5.0243,94.0938,
