"timed","stoobs","inflow","outflow",
"01-Jan-2001",77983656.63,0.72604,0.72604,
"02-Jan-2001",78068767.39,1.7072,0.72633,
"03-Jan-2001",78040397.14,0.40465,0.72633,
"04-Jan-2001",78068767.39,1.048,0.72633,
"05-Jan-2001",78068767.39,0.72633,0.72633,
"06-Jan-2001",78068767.39,0.72633,0.72633,
"07-Jan-2001",78068767.39,0.72633,0.72633,
"08-Jan-2001",78068767.39,0.72633,0.72633,
"09-Jan-2001",78068767.39,0.72633,0.72633,
"10-Jan-2001",78068767.39,0.72633,0.72633,
"11-Jan-2001",78068767.39,0.72633,0.72633,
"12-Jan-2001",78068767.39,0.72633,0.72633,
"13-Jan-2001",78068767.39,0.72633,0.72633,
"14-Jan-2001",78068767.39,0.72633,0.72633,
"15-Jan-2001",78068767.39,0.72633,0.72633,
"16-Jan-2001",78068767.39,0.72633,0.72633,
"17-Jan-2001",78068767.39,0.72633,0.72633,
"18-Jan-2001",78068767.39,0.72633,0.72633,
"19-Jan-2001",78068767.39,0.72633,0.72633,
"20-Jan-2001",78125507.9,1.3858,0.72633,
"21-Jan-2001",78125507.9,0.72661,0.72661,
"22-Jan-2001",78125507.9,0.72633,0.72633,
"23-Jan-2001",78125507.9,0.72661,0.72661,
"24-Jan-2001",78125507.9,0.72661,0.72661,
"25-Jan-2001",78068767.39,0.067111,0.72661,
"26-Jan-2001",78068767.39,0.72633,0.72633,
"27-Jan-2001",78068767.39,0.72633,0.72633,
"28-Jan-2001",78068767.39,0.72633,0.72633,
"29-Jan-2001",78068767.39,0.72633,0.72633,
"30-Jan-2001",78068767.39,0.72633,0.72633,
"31-Jan-2001",78068767.39,0.72633,0.72633,
"01-Feb-2001",78068767.39,0.72633,0.72633,
"02-Feb-2001",78068767.39,0.72633,0.72633,
"03-Feb-2001",78068767.39,0.72633,0.72633,
"04-Feb-2001",78068767.39,0.72633,0.72633,
"05-Feb-2001",78040397.14,0.40465,0.72633,
"06-Feb-2001",78040397.14,0.72633,0.72633,
"07-Feb-2001",78040397.14,0.72633,0.72633,
"08-Feb-2001",78040397.14,0.72633,0.72633,
"09-Feb-2001",78040397.14,0.72633,0.72633,
"10-Feb-2001",78040397.14,0.72633,0.72633,
"11-Feb-2001",78040397.14,0.72633,0.72633,
"12-Feb-2001",78040397.14,0.72633,0.72633,
"13-Feb-2001",77983656.63,0.066828,0.72633,
"14-Feb-2001",78040397.14,1.3855,0.72604,
"15-Feb-2001",77983656.63,0.066828,0.72604,
"16-Feb-2001",77983656.63,0.72604,0.72604,
"17-Feb-2001",77983656.63,0.72604,0.72604,
"18-Feb-2001",77926916.13,0.066828,0.72604,
"19-Feb-2001",77926916.13,0.72604,0.72604,
"20-Feb-2001",77926916.13,0.72604,0.72604,
"21-Feb-2001",77926916.13,0.72604,0.72604,
"22-Feb-2001",77926916.13,0.72604,0.72604,
"23-Feb-2001",77926916.13,0.72604,0.72604,
"24-Feb-2001",77983656.63,1.3855,0.72604,
"25-Feb-2001",77983656.63,0.72604,0.72604,
"26-Feb-2001",77983656.63,0.72604,0.72604,
"27-Feb-2001",77983656.63,0.72604,0.72604,
"28-Feb-2001",77983656.63,0.72604,0.72604,
"01-Mar-2001",77983656.63,0.72604,0.72604,
"02-Mar-2001",77983656.63,0.72604,0.72604,
"03-Mar-2001",77983656.63,0.72604,0.72604,
"04-Mar-2001",77926916.13,0.066545,0.72604,
"05-Mar-2001",77983656.63,1.3855,0.72604,
"06-Mar-2001",77983656.63,0.72604,0.72604,
"07-Mar-2001",77983656.63,0.72604,0.72604,
"08-Mar-2001",77983656.63,0.72604,0.72604,
"09-Mar-2001",77983656.63,0.72604,0.72604,
"10-Mar-2001",77983656.63,0.72604,0.72604,
"11-Mar-2001",77983656.63,0.72604,0.72604,
"12-Mar-2001",77983656.63,0.72604,0.72604,
"13-Mar-2001",77983656.63,0.72604,0.72604,
"14-Mar-2001",77926916.13,0.066545,0.72604,
"15-Mar-2001",77926916.13,0.72604,0.72604,
"16-Mar-2001",77926916.13,0.72604,0.72604,
"17-Mar-2001",77926916.13,0.72604,0.72604,
"18-Mar-2001",77870175.62,0.066545,0.72576,
"19-Mar-2001",77870175.62,0.72576,0.72576,
"20-Mar-2001",77870175.62,0.72576,0.72576,
"21-Mar-2001",77870175.62,0.72576,0.72576,
"22-Mar-2001",77870175.62,0.87103,0.87103,
"23-Mar-2001",77870175.62,0.87103,0.87103,
"24-Mar-2001",77813435.12,0.21153,0.87074,
"25-Mar-2001",77813435.12,0.87074,0.87074,
"26-Mar-2001",77813435.12,0.87074,0.87074,
"27-Mar-2001",77785064.87,0.54906,0.87074,
"28-Mar-2001",77728324.36,0.21124,0.87046,
"29-Mar-2001",77728324.36,0.87046,0.87046,
"30-Mar-2001",77671583.86,0.21096,0.87018,
"31-Mar-2001",77614843.35,0.21096,0.87018,
"01-Apr-2001",77614843.35,0.87018,0.87018,
"02-Apr-2001",77556869.36,0.21068,0.86989,
"03-Apr-2001",77528499.11,0.53207,0.86989,
"04-Apr-2001",77528499.11,0.86989,0.86989,
"05-Apr-2001",77528499.11,0.86989,0.86989,
"06-Apr-2001",77471758.6,0.21011,0.86961,
"07-Apr-2001",77413784.61,0.21011,0.86961,
"08-Apr-2001",77413784.61,0.86933,0.86933,
"09-Apr-2001",77413784.61,0.86933,0.86933,
"10-Apr-2001",77357044.1,0.20983,0.86933,
"11-Apr-2001",77329907.34,0.54736,0.86904,
"12-Apr-2001",77329907.34,0.86904,0.86904,
"13-Apr-2001",77273166.83,0.20954,0.86904,
"14-Apr-2001",77215192.84,0.20954,0.86876,
"15-Apr-2001",77215192.84,0.86876,0.86876,
"16-Apr-2001",77101711.83,0.10052,1.4192,
"17-Apr-2001",77016601.07,0.65865,1.6398,
"18-Apr-2001",76959860.57,0.5669,1.2264,
"19-Apr-2001",76903120.06,0.40125,1.0605,
"20-Apr-2001",76903120.06,1.0602,1.0602,
"21-Apr-2001",76903120.06,1.0602,1.0602,
"22-Apr-2001",76903120.06,1.0605,1.0605,
"23-Apr-2001",76903120.06,1.2559,1.2559,
"24-Apr-2001",76760035.31,0.31885,1.9754,
"25-Apr-2001",76618184.05,0.87188,2.512,
"26-Apr-2001",76505936.53,0.636,1.938,
"27-Apr-2001",76505936.53,1.3232,1.3232,
"28-Apr-2001",76561443.54,1.8055,1.1545,
"29-Apr-2001",76703294.8,2.7875,1.1553,
"30-Apr-2001",76959860.57,4.1314,1.1562,
"01-May-2001",77101711.83,3.3083,1.6679,
"02-May-2001",77101711.83,3.5218,3.5218,
"03-May-2001",77016601.07,3.9709,4.9518,
"04-May-2001",76646554.3,2.9169,7.2109,
"05-May-2001",76112453.46,2.5426,8.7239,
"06-May-2001",75690600.14,1.6492,6.5242,
"07-May-2001",75551215.86,3.2324,4.8521,
"08-May-2001",75213239.8,2.655,6.5613,
