"timed","stoobs","inflow","outflow",
"01-Jan-1971 00:00:00",2214703795.4289,151.4033,136.1404,
"31-Jan-1971 12:00:00",2231379251.1325,168.0366,145.5486,
"03-Mar-1971 00:00:00",2129766161.0068,118.1333,156.0717,
"02-Apr-1971 12:00:00",1999062609.5071,122.2975,167.1516,
"03-May-1971 00:00:00",1955202423.5533,138.28,154.6556,
"02-Jun-1971 12:00:00",1790887695.7486,119.5998,177.0903,
"03-Jul-1971 00:00:00",1657201582.529,192.0492,241.9623,
"02-Aug-1971 12:00:00",1676806560.1866,365.5741,358.2539,
"02-Sep-1971 00:00:00",2404954968.7607,514.0749,225.6306,
"02-Oct-1971 12:00:00",2360215309.4792,239.7827,256.487,
"02-Nov-1971 00:00:00",2233820313.847,97.9087,141.9408,
"02-Dec-1971 12:00:00",2239560943.3939,133.9902,131.8469,
"02-Jan-1972 00:00:00",2268303562.5822,159.5045,148.7732,
"01-Feb-1972 12:00:00",2293929170.4114,174.8102,148.3256,
"03-Mar-1972 00:00:00",2173823704.2291,109.8138,154.6556,
"02-Apr-1972 12:00:00",2059928824.5893,119.9852,158.6382,
"03-May-1972 00:00:00",1976145730.1878,121.036,152.3175,
"02-Jun-1972 12:00:00",2000993010.2894,169.2365,154.5004,
"03-Jul-1972 00:00:00",1900784857.2187,194.9745,232.3884,
"02-Aug-1972 12:00:00",1898178507.7919,278.0849,279.058,
"02-Sep-1972 00:00:00",2403679547.4131,457.8525,254.3497,
"02-Oct-1972 12:00:00",2293514720.1476,139.1652,180.2965,
"02-Nov-1972 00:00:00",2128172501.0638,88.7908,147.6587,
"02-Dec-1972 12:00:00",2004852578.3712,109.5269,155.5693,
"02-Jan-1973 00:00:00",2007553905.9835,163.6847,162.6757,
"01-Feb-1973 12:00:00",2037682959.9828,184.0241,154.9664,
"04-Mar-1973 00:00:00",1908606372.4652,104.4178,152.6099,
"03-Apr-1973 12:00:00",1808435223.8823,108.1106,142.0228,
"04-May-1973 00:00:00",1760647628.2857,103.1168,120.9586,
"03-Jun-1973 12:00:00",1812762281.9937,127.3424,103.7767,
"04-Jul-1973 00:00:00",1940499307.0515,130.2401,82.5481,
"03-Aug-1973 12:00:00",2173018239.8771,196.7738,109.9607,
"03-Sep-1973 00:00:00",2346405234.6173,206.3257,134.9343,
"03-Oct-1973 12:00:00",2231379251.1325,93.9343,136.88,
"03-Nov-1973 00:00:00",2109480300.7729,57.592,101.2465,
"03-Dec-1973 12:00:00",2191543919.9727,107.8436,77.2046,
"03-Jan-1974 00:00:00",2253521503.173,137.5856,114.4458,
"02-Feb-1974 12:00:00",2291856919.0923,168.1808,137.5925,
"05-Mar-1974 00:00:00",2196400142.2603,114.8142,150.4542,
"04-Apr-1974 12:00:00",2062269975.1866,110.0826,156.6105,
"05-May-1974 00:00:00",1953317661.6393,105.7473,146.4254,
"04-Jun-1974 12:00:00",1837806919.3638,130.8115,169.7186,
"05-Jul-1974 00:00:00",1872621975.0066,187.1929,174.1945,
"04-Aug-1974 12:00:00",2004080418.0582,257.0005,207.9191,
"04-Sep-1974 00:00:00",2435153097.804,496.2109,319.259,
"04-Oct-1974 12:00:00",2294758070.939,155.035,207.453,
"04-Nov-1974 00:00:00",2142524074.9311,91.4695,145.357,
"04-Dec-1974 12:00:00",2066562495.7761,95.1003,123.4616,
"04-Jan-1975 00:00:00",2100405566.8716,135.9875,123.352,
"03-Feb-1975 12:00:00",2165769060.7092,135.007,97.5379,
"06-Mar-1975 00:00:00",2091332066.4532,115.1357,142.9273,
