"timed","stoobs","inflow","outflow",
"01-Jan-2005",182704096.125,3.62,16.0936,
"02-Jan-2005",181881302.375,6.362,16.0886,
"03-Jan-2005",181060075.125,6.402,16.0368,
"04-Jan-2005",180208928.875,6.404,16.0583,
"05-Jan-2005",179280926.375,6.272,16.0648,
"06-Jan-2005",178354976.375,6.302,16.1764,
"07-Jan-2005",177384169.625,6.662,16.4705,
"08-Jan-2005",176431261.625,6.497,16.4319,
"09-Jan-2005",175433892.875,5.997,16.5225,
"10-Jan-2005",174454527.5,6.132,16.4953,
"11-Jan-2005",173539534.125,5.982,16.4525,
"12-Jan-2005",172673036.625,5.902,16.435,
"13-Jan-2005",171870159.375,5.862,16.4536,
"14-Jan-2005",171084346.875,5.817,16.4333,
"15-Jan-2005",170315510.875,6.172,16.3969,
"16-Jan-2005",169532906.375,6.552,16.4798,
"17-Jan-2005",168751933.375,6.677,16.4191,
"18-Jan-2005",167926806.625,7.352,16.4212,
"19-Jan-2005",167164446.5,7.677,16.3702,
"20-Jan-2005",166464479.5,7.672,16.3444,
"21-Jan-2005",165856909.875,7.897,16.3479,
"22-Jan-2005",165235214.5,8.117,16.3079,
"23-Jan-2005",164675100.375,8.46,16.272,
"24-Jan-2005",164191388.875,8.54,16.2324,
"25-Jan-2005",163753597.375,8.677,16.2474,
"26-Jan-2005",163331418.875,8.894,16.2441,
"27-Jan-2005",162954904,9.198,16.2027,
"28-Jan-2005",162623907.75,9.207,16.2025,
"29-Jan-2005",162203096.125,9.179,16.1817,
"30-Jan-2005",161782796.75,8.982,16.15,
"31-Jan-2005",161288102.875,9.043,16.148,
"01-Feb-2005",160779166.875,8.761,16.1648,
"02-Feb-2005",160300863.125,9.011,16.1574,
"03-Feb-2005",159823235.625,9.019,16.3991,
"04-Feb-2005",159420763.625,8.61,16.8187,
"05-Feb-2005",159018775.625,8.437,16.8023,
"06-Feb-2005",158468689.25,8.572,16.8286,
"07-Feb-2005",157815720.125,8.549,16.8453,
"08-Feb-2005",157104866.75,8.699,16.8422,
"09-Feb-2005",156439844.125,8.812,16.8506,
"10-Feb-2005",155790917.625,8.752,16.9536,
"11-Feb-2005",155128594.875,8.602,17.0285,
"12-Feb-2005",154482316.125,8.622,17.0451,
"13-Feb-2005",153881285.125,8.402,17.1822,
"14-Feb-2005",153325254.5,8.172,17.0202,
"15-Feb-2005",152711841.625,8.142,17.1472,
"16-Feb-2005",152041394.625,8.282,17.1808,
"17-Feb-2005",151314297,8.332,17.1869,
"18-Feb-2005",150559943.5,8.472,17.2501,
"19-Feb-2005",149821912.625,8.462,17.2588,
"20-Feb-2005",149071268.75,8.482,17.2414,
"21-Feb-2005",148293746,8.622,17.2596,
"22-Feb-2005",147518260,8.722,17.2943,
"23-Feb-2005",146759121.375,8.722,17.2742,
"24-Feb-2005",146016225.375,8.922,17.274,
"25-Feb-2005",145275235.125,8.922,17.2592,
"26-Feb-2005",144550353.375,8.832,17.2713,
"27-Feb-2005",143841474.875,8.722,17.2764,
"28-Feb-2005",143106128,8.842,17.261,
"01-Mar-2005",142400882.875,9.032,17.2841,
"02-Mar-2005",141697425.75,9.202,17.2512,
"03-Mar-2005",140995762.125,9.208,17.2504,
"04-Mar-2005",140337837.25,9.222,17.2595,
"05-Mar-2005",139695452.875,9.342,17.2496,
"06-Mar-2005",139082428.875,10.734,17.2552,
"07-Mar-2005",138706949.375,11.114,17.1032,
"08-Mar-2005",138623581,11.745,16.978,
"09-Mar-2005",138706949.375,12.62,16.978,
"10-Mar-2005",139138100.375,13.41,17.0284,
"11-Mar-2005",140030419.25,12.89,17.0885,
"12-Mar-2005",141360403.25,12.7,16.9352,
"13-Mar-2005",142710971,12.11,16.9232,
"14-Mar-2005",143770684.875,11.28,16.9339,
"15-Mar-2005",144252407.875,10.792,16.7701,
"16-Mar-2005",144521964.125,10.119,16.8106,
"17-Mar-2005",144536158.125,9.61,16.7626,
"18-Mar-2005",144323318.75,9.481,16.7067,
"19-Mar-2005",144068122.625,9.405,16.7243,
"20-Mar-2005",143813157,9.318,16.7519,
"21-Mar-2005",143388725.625,9.281,16.7419,
"22-Mar-2005",143035523.5,9.054,16.6971,
"23-Mar-2005",142598171.625,9.016,16.7577,
"24-Mar-2005",142105212.875,9.022,16.81,
"25-Mar-2005",141542905.875,9.046,16.7423,
"26-Mar-2005",141037811.25,9.248,16.7323,
"27-Mar-2005",140561632.75,9.534,16.7265,
"28-Mar-2005",140170111.375,9.756,16.771,
"29-Mar-2005",139974562.875,10.323,16.7767,
"30-Mar-2005",139988525.875,13.34,33.3451,
"31-Mar-2005",140184084.625,13.89,33.3714,
"01-Apr-2005",140603615.125,16.34,33.3567,
"02-Apr-2005",141781746.375,24.92,16.6483,
"03-Apr-2005",143841474.875,24.77,16.4802,
"04-Apr-2005",145759512.625,21.22,33.0453,
"05-Apr-2005",147331873.5,19.68,33.8908,
"06-Apr-2005",148552694.125,20.54,33.5728,
"07-Apr-2005",149532980.75,20.58,41.9039,
"08-Apr-2005",149706306.125,20.96,70.1442,
"09-Apr-2005",149431920.375,23.11,84.0521,
"10-Apr-2005",149345324.125,22.57,84.9662,
"11-Apr-2005",148912719.375,21.04,84.6616,
"12-Apr-2005",148035024.125,18.46,84.5988,
"13-Apr-2005",146816346,16.58,84.86,
"14-Apr-2005",145659741.625,15.71,74.4114,
"15-Apr-2005",145303699.625,13.86,53.3548,
