"timed","stoobs","inflow","outflow",
"01-Jan-2000",2040163235.6641,341.2,250,
"02-Jan-2000",2047668265.9609,367.8,315,
"03-Jan-2000",2022740532.8828,336.85,410,
"04-Jan-2000",2045164039.0703,444.7,282,
"05-Jan-2000",2032681125.1172,447.8,437,
"06-Jan-2000",2015311681.9766,408.1,540,
"07-Jan-2000",2015311681.9766,401.1,422,
"08-Jan-2000",2000522118.8828,410,257,
"09-Jan-2000",2010371746.8828,365.45,345,
"10-Jan-2000",2007905562.7266,339.6,376,
"11-Jan-2000",1993161294.2109,321.7,577,
"12-Jan-2000",1978507278.5547,337.55,591,
"13-Jan-2000",1978507278.5547,351.7,430,
"14-Jan-2000",1963943068.1172,344.95,420,
"15-Jan-2000",1956694500.4297,325.3,427,
"16-Jan-2000",1947064398.0078,356.65,398,
"17-Jan-2000",1947064398.0078,360.65,341,
"18-Jan-2000",1939867740.0547,341.15,425,
"19-Jan-2000",1933887451.1641,366.4,441,
"20-Jan-2000",1932215722.9297,398.7,501,
"21-Jan-2000",1928160818.3984,395.35,506,
"22-Jan-2000",1907992370.6484,387.1,467,
"23-Jan-2000",1900209730.4609,373.8,378,
"24-Jan-2000",1892453525.6953,374.8,493,
"25-Jan-2000",1891515172.4766,367.5,349,
"26-Jan-2000",1899032850.4609,393.7,401,
"27-Jan-2000",1898797547.2891,387.6,547,
"28-Jan-2000",1899032850.4609,395.5,375,
"29-Jan-2000",1884957534.2891,401.25,395,
"30-Jan-2000",1888233984.6016,391.8,354,
"31-Jan-2000",1883788520.5391,366.25,319,
"01-Feb-2000",1895740812.8984,390,386,
"02-Feb-2000",1905867206.5703,375.3,270,
"03-Feb-2000",1920547269.2578,381.55,408,
"04-Feb-2000",1920784813.3516,329.85,471,
"05-Feb-2000",1918173172.8516,351.8,378,
"06-Feb-2000",1903036718.9141,385.05,378,
"07-Feb-2000",1896210813.0234,355.2,371,
"08-Feb-2000",1898091783.2734,366.05,377,
"09-Feb-2000",1899738905.6484,352.45,441,
"10-Feb-2000",1898797547.2891,362.9,484,
"11-Feb-2000",1899738905.6484,421,570,
"12-Feb-2000",1878652024.1328,422.15,423,
"13-Feb-2000",1870039652.2422,441,421,
"14-Feb-2000",1858915817.5391,413.7,378,
"15-Feb-2000",1863312400.6953,407.5,381,
"16-Feb-2000",1869342793.9453,420.65,349,
"17-Feb-2000",1880985348.6328,434.6,283,
"18-Feb-2000",1893392266.2422,445.55,260,
"19-Feb-2000",1918885145.1641,445.9,189,
"20-Feb-2000",1942983568.5234,435.65,171,
"21-Feb-2000",1963701089.6016,426.65,209,
"22-Feb-2000",1981187111.9766,446.3,173,
"23-Feb-2000",2005195670.1016,446.3,173,
"24-Feb-2000",2027705756.6484,420.5,183,
"25-Feb-2000",2049673485.5078,394.95,295,
"26-Feb-2000",2060731446.2891,391.3,270,
"27-Feb-2000",2070827205.8516,401.5,197,
"28-Feb-2000",2074370437.9453,369.6,412,
"29-Feb-2000",2081472050.3047,341.25,342,
"01-Mar-2000",2082742323.4766,343.35,344,
"02-Mar-2000",2096246959.0703,362.1,175,
"03-Mar-2000",2102642336.6016,384.9,234,
"04-Mar-2000",2114194967.8047,325.25,200,
"05-Mar-2000",2121151886.3516,323.4,194,
"06-Mar-2000",2126575995.3359,348.05,329,
"07-Mar-2000",2131493472.1641,354.75,267,
"08-Mar-2000",2129421802.5547,350.45,475,
"09-Mar-2000",2123991647.3359,336.85,437,
"10-Mar-2000",2117542219.1641,313.8,379,
"11-Mar-2000",2115481850.2734,350.65,340,
"12-Mar-2000",2110595165.0703,349.6,271,
