"timed","stoobs","inflow","outflow",
"01-Jan-1971",2172230711.7067,27.0236,30.299,
"02-Jan-1971",2172230711.7067,34.228,33.697,
"03-Jan-1971",2170995952.5811,19.0824,33.4139,
"04-Jan-1971",2167306946.2512,10.7788,54.6515,
"05-Jan-1971",2165138556.2695,16.3388,41.9089,
"06-Jan-1971",2162684161.0421,11.7628,40.7763,
"07-Jan-1971",2160214790.814,11.5822,40.7763,
"08-Jan-1971",2157429021.2695,11.7376,44.7406,
"09-Jan-1971",2157745272.5628,26.9593,22.6252,
"10-Jan-1971",2157429021.2695,19.0066,22.2854,
"11-Jan-1971",2157429021.2695,22.1336,21.6058,
"12-Jan-1971",2157429021.2695,19.8682,19.3404,
"13-Jan-1971",2157745272.5628,29.0265,24.6923,
"14-Jan-1971",2157429021.2695,18.6667,21.9456,
"15-Jan-1971",2158046400.8323,29.4515,21.4925,
"16-Jan-1971",2157429021.2695,16.2315,23.1349,
"17-Jan-1971",2159898539.5207,42.202,11.9497,
"18-Jan-1971",2164521176.7067,77.8883,21.719,
"19-Jan-1971",2168225454.0835,64.1524,19.0006,
"20-Jan-1971",2171929583.4372,66.898,21.7473,
"21-Jan-1971",2175633860.814,67.2689,22.1155,
"22-Jan-1971",2179021738.8744,53.6355,12.2895,
"23-Jan-1971",2180256498,34.3461,18.9157,
"24-Jan-1971",2181491257.1256,29.7307,14.3,
"25-Jan-1971",2182108636.6884,36.2105,28.1753,
"26-Jan-1971",2183027144.5207,36.1541,24.4941,
"27-Jan-1971",2183343395.814,29.0183,24.6073,
"28-Jan-1971",2184879135.186,39.6759,20.5863,
"29-Jan-1971",2186731273.8744,43.683,20.7846,
"30-Jan-1971",2188583412.5628,44.9085,21.9739,
"31-Jan-1971",2191971438.6463,53.7683,12.3461,
"01-Feb-1971",2196292947.5628,70.6684,18.0095,
"02-Feb-1971",2200298205.186,68.1654,19.3121,
"03-Feb-1971",2204920990.3951,75.9107,19.6236,
"04-Feb-1971",2207074269.6882,48.056,21.4925,
"05-Feb-1971",2208007740.186,31.7392,19.8218,
"06-Feb-1971",2208926408.3766,31.4198,19.6802,
"07-Feb-1971",2208625119.7488,19.1711,22.1155,
"08-Feb-1971",2207390508.6463,23.766,37.9446,
"09-Feb-1971",2208625119.7488,37.2896,21.7473,
"10-Feb-1971",2211094638,50.3134,19.9067,
"11-Feb-1971",2211712017.5628,29.9538,21.804,
"12-Feb-1971",2212329397.1256,29.2742,21.1244,
"13-Feb-1971",2214482664.0835,47.2518,20.6147,
"14-Feb-1971",2215100043.6463,29.0769,20.9261,
"15-Feb-1971",2216952034.3116,43.8809,20.8695,
"16-Feb-1971",2218804173,43.2962,20.2465,
"17-Feb-1971",2220957439.9579,47.5443,20.8695,
"18-Feb-1971",2223426810.186,50.6699,20.1899,
"19-Feb-1971",2225278948.8744,44.2323,21.181,
"20-Feb-1971",2226814836.2695,36.7734,17.5281,
"21-Feb-1971",2227131087.5628,28.4157,23.8145,
"22-Feb-1971",2227432215.8323,24.6376,20.2182,
"23-Feb-1971",2228666974.9579,36.0454,20.3881,
"24-Feb-1971",2229284354.5207,28.4162,20.1899,
"25-Feb-1971",2230202874.6882,32.1257,20.2749,
"26-Feb-1971",2228983226.2512,28.3072,42.1921,
"27-Feb-1971",2228983226.2512,21.6443,20.8129,
"28-Feb-1971",2229284354.5207,24.7874,20.3315,
"01-Mar-1971",2228666974.9579,22.5665,29.1664,
"02-Mar-1971",2228666974.9579,23.6058,22.7384,
"03-Mar-1971",2228666974.9579,20.4626,19.5953,
"04-Mar-1971",2230202874.6882,38.1003,18.7458,
"05-Mar-1971",2230820254.251,28.574,20.2749,
"06-Mar-1971",2231437633.8138,31.4906,23.1915,
"07-Mar-1971",2231753724.7488,24.8987,20.1899,
"08-Mar-1971",2232672232.5811,31.2723,19.3121,
"09-Mar-1971",2233605863.4372,32.587,20.4448,
"10-Mar-1971",2234524371.2695,33.1698,21.2093,
"11-Mar-1971",2235458002.1256,34.4848,22.342,
"12-Mar-1971",2236993889.5207,40.0148,20.5863,
"13-Mar-1971",2238228648.6463,32.0014,16.1972,
"14-Mar-1971",2239463259.7488,35.6812,19.8784,
"15-Mar-1971",2240698018.8744,36.0233,20.2182,
"16-Mar-1971",2242550157.5628,42.6698,19.397,
"17-Mar-1971",2244086044.9579,38.7788,19.3121,
"18-Mar-1971",2245938183.6463,41.8294,18.5192,
"19-Mar-1971",2245621944.6882,40.535,43.3248,
"20-Mar-1971",2247172794.7488,38.6358,18.9157,
"21-Mar-1971",2248708682.1439,38.2864,18.7458,
"22-Mar-1971",2250560820.8323,61.895,38.5109,
"23-Mar-1971",2253331479.6882,55.8278,21.3509,
"24-Mar-1971",2257993898.0748,76.5605,19.3121,
"25-Mar-1971",2266324981.9541,120.3327,18.8873,
"26-Mar-1971",2277553296.7512,154.0479,17.7263,
"27-Mar-1971",2286213263.226,125.496,20.0483,
"28-Mar-1971",2295515279.7756,129.9423,16.7636,
"29-Mar-1971",2302891146.1008,117.7848,27.7505,
"30-Mar-1971",2307698664.1037,96.8204,37.6614,
"31-Mar-1971",2312506330.1297,74.114,14.9513,
"01-Apr-1971",2317000828.6764,82.041,26.6462,
"02-Apr-1971",2322137229.2748,96.0074,32.8475,
"03-Apr-1971",2325018745.0764,86.141,50.1208,
"04-Apr-1971",2327586945.3756,51.3161,19.0289,
"05-Apr-1971",2328871045.5252,66.386,49.5545,
"06-Apr-1971",2329826263.0793,59.6333,46.7228,
"07-Apr-1971",2330468313.1541,69.7396,60.5981,
"08-Apr-1971",2332081295.8992,67.0223,46.1565,
"09-Apr-1971",2333036661.4764,58.8614,45.8733,
"10-Apr-1971",2335604861.7756,58.2834,25.8816,
"11-Apr-1971",2339128279.6289,83.2985,39.3604,
"12-Apr-1971",2342651845.5053,86.6997,42.7584,
"13-Apr-1971",2344577995.7297,86.483,61.7307,
"14-Apr-1971",2345862095.8793,72.526,55.501,
"15-Apr-1971",2348759178.774,81.5018,45.0238,
"16-Apr-1971",2348759178.774,66.7737,65.1287,
"17-Apr-1971",2350356594.426,86.0388,65.1287,
"18-Apr-1971",2356135045.0992,87.4065,16.1689,
"19-Apr-1971",2362226811.2748,128.851,53.802,
"20-Apr-1971",2367034477.3008,87.9499,28.3168,
"21-Apr-1971",2375052393.7008,119.5803,21.266,
"22-Apr-1971",2385963692.4187,154.8932,21.7473,
"23-Apr-1971",2394631528.7868,134.7842,28.6,
"24-Apr-1971",2405624856.9571,147.1304,12.9125,
"25-Apr-1971",2416602001.2715,152.5856,18.5192,
"26-Apr-1971",2424928299.0715,139.2583,37.0951,
"27-Apr-1971",2430603750.3571,118.7189,48.4218,
"28-Apr-1971",2435921479.2187,87.6378,21.6058,
"29-Apr-1971",2444589315.5868,130.7219,24.3242,
"30-Apr-1971",2450248583.0165,110.436,40.2099,
"01-May-1971",2457566621.6616,109.1963,19.0006,
"02-May-1971",2464901016.8561,102.7805,12.3461,
"03-May-1971",2471226992.5374,101.5584,23.2198,
"04-May-1971",2480220010.9242,130.3334,19.8501,
"05-May-1971",2487212867.5506,104.7899,18.3776,
"06-May-1971",2496205885.9374,129.5029,18.9723,
"07-May-1971",2503198742.5638,111.4169,24.9188,
"08-May-1971",2514858803.6561,170.7251,28.0054,
"09-May-1971",2524623392.3057,157.5722,37.6614,
"10-May-1971",2533782936.6485,177.8018,65.1287,
"11-May-1971",2541236515.0865,159.5773,67.3941,
"12-May-1971",2551422969.4913,179.4914,54.3683,
"13-May-1971",2563978089.0943,212.8634,59.1822,
"14-May-1971",2576864434.9913,202.1333,44.4574,
"15-May-1971",2591526576.6774,212.7969,33.697,
"16-May-1971",2609841348.0234,256.8137,33.697,
"17-May-1971",2626065293.4774,231.9824,33.9802,
"18-May-1971",2646791915.7528,285.9506,33.697,
"19-May-1971",2664912715.1982,254.5993,33.697,
"20-May-1971",2685305668.7988,282.0035,33.697,
"21-May-1971",2704994896.0446,273.8718,33.9802,
"22-May-1971",2723276362.1994,256.9822,33.9802,
"23-May-1971",2739680710.7724,250.8663,50.404,
"24-May-1971",2755785312.6246,269.1171,72.208,
"25-May-1971",2769374447.397,245.0803,78.4377,
"26-May-1971",2782963890.5508,238.0577,71.3585,
"27-May-1971",2799821559.7818,257.0612,50.9703,
"28-May-1971",2817642920.8878,267.0038,49.2713,
"29-May-1971",2836210564.9818,276.0326,49.2713,
"30-May-1971",2859486576.291,330.2376,46.7228,
"31-May-1971",2882446805.0466,326.7903,47.006,
"01-Jun-1971",2899384036.6788,255.1572,47.8555,
"02-Jun-1971",2919315960.0864,284.4218,41.0594,
"03-Jun-1971",2940019453.7568,285.5559,32.8475,
"04-Jun-1971",2959951377.1644,285.9557,42.4753,
"05-Jun-1971",2980636367.9508,296.4955,43.8911,
"06-Jun-1971",2999080042.722,269.5764,43.8911,
"07-Jun-1971",3017891308.122,276.0422,45.8733,
"08-Jun-1971",3038492727.549,294.7747,43.0416,
"09-Jun-1971",3056846971.7142,268.0694,43.3248,
"10-Jun-1971",3074808954.7386,265.9552,45.8733,
"11-Jun-1971",3095086265.3142,295.3,47.2891,
"12-Jun-1971",3115538736.525,297.7519,47.5723,
"13-Jun-1971",3135660622.875,292.1347,45.8733,
"14-Jun-1971",3157382391.9282,315.3735,49.8377,
"15-Jun-1971",3177504278.2782,295.8955,49.5545,
"16-Jun-1971",3200016120.4782,325.2918,50.1208,
"17-Jun-1971",3223684392.9282,337.0107,47.8555,
"18-Jun-1971",3248566762.95,348.5753,44.7406,
"19-Jun-1971",3271059485.5032,323.2294,48.1386,
"20-Jun-1971",3293956804.4532,324.4842,44.4574,
"21-Jun-1971",3316312605.6648,321.7151,48.1386,
"22-Jun-1971",3338712813.798,324.8664,50.6872,
"23-Jun-1971",3361093593.903,320.9734,47.006,
"24-Jun-1971",3380767093.6974,295.8168,54.3683,
"25-Jun-1971",3402576751.4496,314.2354,47.006,
"26-Jun-1971",3425413936.0266,330.922,51.2535,
"27-Jun-1971",3447814144.1598,333.3796,58.899,
"28-Jun-1971",3468021143.7762,312.3827,64.2792,
"29-Jun-1971",3490670215.6992,324.8582,47.2891,
"30-Jun-1971",3515428616.3982,350.0384,47.006,
"01-Jul-1971",3540576194.424,353.3826,45.5901,
"02-Jul-1971",3563407828.1358,326.9463,47.006,
"03-Jul-1971",3584130441.453,305.8797,51.2535,
"04-Jul-1971",3603988353.3246,290.7282,46.4396,
"05-Jul-1971",3621696230.0754,269.1655,50.6872,
"06-Jul-1971",3642840092.385,305.2148,45.307,
"07-Jul-1971",3658376655.6984,238.0229,45.5901,
"08-Jul-1971",3673070104.2642,229.64,47.2891,
"09-Jul-1971",3683863453.2642,181.6265,46.1565,
"10-Jul-1971",3694656802.2642,181.6894,46.1565,
"11-Jul-1971",3700264101.2604,119.8403,46.7228,
"12-Jul-1971",3704142922.5096,110.9839,58.6159,
"13-Jul-1971",3706736101.7022,89.0503,52.103,
"14-Jul-1971",3706736101.7022,74.3122,68.5268,
"15-Jul-1971",3705007315.5738,52.4199,67.3941,
"16-Jul-1971",3705007315.5738,63.833,58.0495,
"17-Jul-1971",3704142922.5096,52.0118,56.6337,
"18-Jul-1971",3704142922.5096,61.5665,55.7842,
"19-Jul-1971",3704142922.5096,63.7811,58.0495,
"20-Jul-1971",3703721365.1358,62.954,62.2971,
"21-Jul-1971",3704585758.2,80.9819,64.8456,
"22-Jul-1971",3705871708.638,82.6594,61.4476,
"23-Jul-1971",3710614922.9514,121.1126,58.3327,
"24-Jul-1971",3718045989.5472,142.9958,47.8555,
"25-Jul-1971",3726025358.2722,151.5866,49.8377,
"26-Jul-1971",3731793323.9778,127.2409,52.103,
"27-Jul-1971",3738471631.5762,140.1367,54.0852,
"28-Jul-1971",3744239288.9004,134.8454,59.7485,
"29-Jul-1971",3746906171.2476,93.5617,55.7842,
"30-Jul-1971",3750896009.8008,106.9414,53.2357,
"31-Jul-1971",3752240244.3234,75.6145,53.802,
"01-Aug-1971",3753996784.7778,79.4463,52.6693,
"02-Aug-1971",3755774603.5488,86.7835,59.7485,
"03-Aug-1971",3756230082.8766,80.2126,69.0931,
"04-Aug-1971",3756663667.125,82.4977,71.6416,
"05-Aug-1971",3755774603.5488,63.6939,68.8099,
"06-Aug-1971",3754451955.7242,61.0222,71.3585,
"07-Aug-1971",3754885539.9726,79.0468,68.2436,
"08-Aug-1971",3754451955.7242,70.0244,69.6594,
"09-Aug-1971",3752674136.9532,52.942,68.8099,
"10-Aug-1971",3752240244.3234,70.8165,70.5089,
"11-Aug-1971",3753129307.8996,86.175,69.9426,
"12-Aug-1971",3750462425.5524,41.1059,67.6773,
"13-Aug-1971",3748684298.4,53.4492,69.3763,
"14-Aug-1971",3746451000.3012,48.2513,69.6594,
"15-Aug-1971",3744672873.1488,50.8964,66.8278,
"16-Aug-1971",3742895054.3778,55.3778,71.3585,
"17-Aug-1971",3740683342.977,48.737,69.9426,
"18-Aug-1971",3738016152.2484,44.1012,70.7921,
"19-Aug-1971",3736238333.4774,50.8401,66.8278,
"20-Aug-1971",3734026622.0766,49.5284,70.7921,
"21-Aug-1971",3731359431.348,44.0432,70.7921,
"22-Aug-1971",3728692549.0008,42.3453,69.0931,
"23-Aug-1971",3725591774.0238,45.5635,77.5882,
"24-Aug-1971",3722924891.6766,47.6686,74.4733,
"25-Aug-1971",3719824116.6996,42.7259,74.7565,
"26-Aug-1971",3715812691.4484,27.7457,70.7921,
"27-Aug-1971",3713650629.453,47.4545,68.2436,
"28-Aug-1971",3711921843.3246,54.0835,69.6594,
"29-Aug-1971",3708464579.4492,31.8596,68.2436,
"30-Aug-1971",3705450151.2642,43.0821,74.1901,
"31-Aug-1971",3701128494.3246,25.078,71.9248,
"01-Sep-1971",3698957180.8872,49.5423,70.5089,
"02-Sep-1971",3695520886.947,36.0119,72.208,
"03-Sep-1971",3691621095.7626,30.9446,72.7743,
"04-Sep-1971",3688163831.8872,29.7548,66.2614,
"05-Sep-1971",3685591931.0112,37.8602,63.7129,
"06-Sep-1971",3681692139.8268,26.0702,67.9604,
"07-Sep-1971",3680406189.3888,62.0606,72.4911,
"08-Sep-1971",3678234875.9514,55.3662,76.4555,
"09-Sep-1971",3675220139.385,44.0789,75.3228,
"10-Sep-1971",3671762875.5096,38.9815,75.606,
"11-Sep-1971",3668305920.0156,38.6987,75.3228,
"12-Sep-1971",3664869626.0754,35.2627,71.6416,
"13-Sep-1971",3660547969.1358,25.4011,72.4911,
"14-Sep-1971",3657512571.0156,32.3851,63.9961,
"15-Sep-1971",3653633441.385,31.5705,73.3406,
