"timed","stoobs","inflow","outflow",
"01-Jan-1970 00:00:00",20175000000,198.22,413.43,
"31-Jan-1970 12:00:00",19806000000,260.51,424.75,
"03-Mar-1970 00:00:00",19988000000,317.15,413.43,
"02-Apr-1970 12:00:00",20104000000,359.62,427.58,
"03-May-1970 00:00:00",21654000000,911.8,416.26,
"02-Jun-1970 12:00:00",22679000000,863.66,430.42,
"03-Jul-1970 00:00:00",22631000000,455.9,433.25,
"02-Aug-1970 12:00:00",22171000000,305.82,410.59,
"02-Sep-1970 00:00:00",21695000000,260.51,413.43,
"02-Oct-1970 12:00:00",21247000000,240.69,419.09,
"02-Nov-1970 00:00:00",20800000000,220.87,424.75,
"02-Dec-1970 12:00:00",20446000000,189.72,390.77,
"02-Jan-1971 00:00:00",20078000000,263.35,424.75,
"01-Feb-1971 12:00:00",20147000000,458.73,433.25,
"04-Mar-1971 00:00:00",20451000000,455.9,430.42,
"03-Apr-1971 12:00:00",20535000000,424.75,421.92,
"04-May-1971 00:00:00",21188000000,702.26,421.92,
"03-Jun-1971 12:00:00",21691000000,608.81,416.26,
"04-Jul-1971 00:00:00",21714000000,396.44,356.79,
"03-Aug-1971 12:00:00",21349000000,266.18,356.79,
"03-Sep-1971 00:00:00",21124000000,218.04,291.66,
"03-Oct-1971 12:00:00",21072000000,240.69,286,
"03-Nov-1971 00:00:00",20940000000,195.39,263.35,
"03-Dec-1971 12:00:00",20650000000,158.57,348.3,
"03-Jan-1972 00:00:00",20247000000,235.03,399.27,
"02-Feb-1972 12:00:00",19960000000,280.34,407.76,
"04-Mar-1972 00:00:00",20469000000,495.54,413.43,
"03-Apr-1972 12:00:00",20398000000,396.44,421.92,
"04-May-1972 00:00:00",20804000000,555.01,421.92,
"03-Jun-1972 12:00:00",21687000000,659.78,339.8,
"04-Jul-1972 00:00:00",21801000000,351.13,294.5,
"03-Aug-1972 12:00:00",21766000000,334.14,314.32,
"03-Sep-1972 00:00:00",21620000000,232.2,280.34,
"03-Oct-1972 12:00:00",21570000000,249.19,266.18,
"03-Nov-1972 00:00:00",21491000000,240.69,286,
"03-Dec-1972 12:00:00",21173000000,192.55,387.94,
"03-Jan-1973 00:00:00",20847000000,198.22,345.47,
"02-Feb-1973 12:00:00",20411000000,215.21,416.26,
"05-Mar-1973 00:00:00",19957000000,220.87,424.75,
"04-Apr-1973 12:00:00",19930000000,226.53,325.64,
"05-May-1973 00:00:00",20047000000,269.01,252.02,
"04-Jun-1973 12:00:00",20277000000,325.64,189.72,
"05-Jul-1973 00:00:00",19879000000,218.04,220.87,
"04-Aug-1973 12:00:00",19580000000,172.73,226.53,
"04-Sep-1973 00:00:00",19356000000,155.74,235.03,
"04-Oct-1973 12:00:00",19440000000,167.07,127.43,
"04-Nov-1973 00:00:00",19553000000,189.72,201.05,
