"timed","stoobs","inflow","outflow",
"01-Jan-1970 00:00:00",3630000000,942.95,424.75,
"31-Jan-1970 12:00:00",4398000000,716.42,396.44,
"03-Mar-1970 00:00:00",5339000000,959.94,603.15,
"02-Apr-1970 12:00:00",5481000000,792.87,724.91,
"03-May-1970 00:00:00",5032000000,625.8,778.71,
"02-Jun-1970 12:00:00",4825000000,900.48,957.11,
"03-Jul-1970 00:00:00",4852000000,1169.49,1135.51,
"02-Aug-1970 12:00:00",4520000000,1115.68,1223.29,
"02-Sep-1970 00:00:00",4011000000,948.61,1129.84,
"02-Oct-1970 12:00:00",2970000000,750.4,1129.84,
"02-Nov-1970 00:00:00",2051000000,724.91,1076.04,
"02-Dec-1970 12:00:00",2916000000,829.68,506.87,
"02-Jan-1971 00:00:00",3624000000,679.6,413.43,
"01-Feb-1971 12:00:00",4311000000,662.61,376.61,
"04-Mar-1971 00:00:00",4657000000,716.42,580.5,
"03-Apr-1971 12:00:00",5041000000,1050.55,891.98,
"04-May-1971 00:00:00",5131000000,1226.12,1177.98,
"03-Jun-1971 12:00:00",5422000000,1415.84,1282.75,
"04-Jul-1971 00:00:00",5365000000,1299.74,1299.74,
"03-Aug-1971 12:00:00",5372000000,1359.21,1333.72,
"03-Sep-1971 00:00:00",4918000000,1169.49,1328.06,
"03-Oct-1971 12:00:00",4006000000,1025.07,1353.55,
"03-Nov-1971 00:00:00",3218000000,1087.37,1384.69,
"03-Dec-1971 12:00:00",3582000000,815.53,676.77,
"03-Jan-1972 00:00:00",4076000000,722.08,535.19,
"02-Feb-1972 12:00:00",4766000000,722.08,444.57,
"04-Mar-1972 00:00:00",5332000000,886.32,671.11,
"03-Apr-1972 12:00:00",5534000000,1183.64,1095.86,
"04-May-1972 00:00:00",5627000000,982.59,937.29,
"03-Jun-1972 12:00:00",5665000000,1124.18,1093.03,
"04-Jul-1972 00:00:00",5395000000,1129.84,1211.96,
"03-Aug-1972 12:00:00",5184000000,1251.6,1311.07,
"03-Sep-1972 00:00:00",4866000000,1228.95,1339.39,
"03-Oct-1972 12:00:00",4113000000,1084.54,1359.21,
"03-Nov-1972 00:00:00",3231000000,880.65,1217.62,
"03-Dec-1972 12:00:00",3891000000,826.85,577.66,
"03-Jan-1973 00:00:00",4094000000,594.65,518.2,
"02-Feb-1973 12:00:00",4863000000,761.72,441.74,
