"timed","stoobs","inflow","outflow",
"01-Jan-1970 00:00:00",23256000000,419.09,744.73,
"31-Jan-1970 12:00:00",22847000000,628.63,792.87,
"03-Mar-1970 00:00:00",22769000000,549.35,569.17,
"02-Apr-1970 12:00:00",22789000000,739.07,707.92,
"03-May-1970 00:00:00",23815000000,1214.79,784.38,
"02-Jun-1970 12:00:00",26390000000,1851.92,781.55,
"03-Jul-1970 00:00:00",27665000000,1313.9,741.9,
"02-Aug-1970 12:00:00",26951000000,563.51,758.89,
"02-Sep-1970 00:00:00",26726000000,577.66,614.48,
"02-Oct-1970 12:00:00",26203000000,586.16,747.56,
"02-Nov-1970 00:00:00",25455000000,512.53,787.21,
"02-Dec-1970 12:00:00",24745000000,424.75,679.6,
"02-Jan-1971 00:00:00",23869000000,538.02,858,
"01-Feb-1971 12:00:00",24069000000,900.48,812.69,
"04-Mar-1971 00:00:00",25168000000,1214.79,795.7,
"03-Apr-1971 12:00:00",25388000000,1104.36,982.59,
"04-May-1971 00:00:00",25093000000,1027.9,1076.04,
"03-Jun-1971 12:00:00",27400000000,1942.54,985.43,
"04-Jul-1971 00:00:00",27367000000,1160.99,982.59,
"03-Aug-1971 12:00:00",26681000000,600.32,741.9,
"03-Sep-1971 00:00:00",26385000000,597.49,659.78,
"03-Oct-1971 12:00:00",26439000000,716.42,665.45,
"03-Nov-1971 00:00:00",25850000000,492.71,705.09,
"03-Dec-1971 12:00:00",25013000000,370.95,676.77,
"03-Jan-1972 00:00:00",24143000000,492.71,812.69,
"02-Feb-1972 12:00:00",23684000000,637.13,815.53,
"04-Mar-1972 00:00:00",26910000000,1970.85,756.06,
"03-Apr-1972 12:00:00",26372000000,886.32,1061.88,
"04-May-1972 00:00:00",26069000000,1042.06,1090.2,
"03-Jun-1972 12:00:00",27406000000,1639.55,1053.39,
"04-Jul-1972 00:00:00",27457000000,846.67,758.89,
"03-Aug-1972 12:00:00",27312000000,679.6,651.29,
"03-Sep-1972 00:00:00",27024000000,526.69,577.66,
"03-Oct-1972 12:00:00",26688000000,506.87,600.32,
"03-Nov-1972 00:00:00",26454000000,557.84,631.47,
"03-Dec-1972 12:00:00",25820000000,416.26,645.62,
"03-Jan-1973 00:00:00",25117000000,501.21,758.89,
"02-Feb-1973 12:00:00",24763000000,569.17,710.75,
"05-Mar-1973 00:00:00",25040000000,829.68,713.58,
"04-Apr-1973 12:00:00",24938000000,557.84,569.17,
"05-May-1973 00:00:00",25896000000,897.64,478.55,
"04-Jun-1973 12:00:00",27449000000,1228.95,526.69,
"05-Jul-1973 00:00:00",27369000000,639.96,563.51,
"04-Aug-1973 12:00:00",26625000000,396.44,583.33,
"04-Sep-1973 00:00:00",26486000000,588.99,555.01,
"04-Oct-1973 12:00:00",26013000000,427.58,532.36,
"04-Nov-1973 00:00:00",25311000000,359.62,557.84,
"04-Dec-1973 12:00:00",24574000000,416.26,645.62,
"04-Jan-1974 00:00:00",23807000000,458.73,739.07,
