"timed","stoobs","inflow","outflow",
"01-Jan-1990",55696076,45.51,65.3,
"02-Jan-1990",54658348,49.91,65.7,
"03-Jan-1990",53904716,47.796,61.7,
"04-Jan-1990",53535596,46.62,57.7,
"05-Jan-1990",54785980,59.21,56.5,
"06-Jan-1990",55433052,58.61,58.2,
"07-Jan-1990",55828508,49.34,53.7,
"08-Jan-1990",55828508,53.06,56.9,
"09-Jan-1990",56229388,54.87,61.6,
"10-Jan-1990",55961516,55.41,64.8,
"11-Jan-1990",54785980,46.55,63.2,
"12-Jan-1990",54153628,50.99,59.9,
"13-Jan-1990",54153628,49.85,57.1,
"14-Jan-1990",55302460,59.7,54.3,
"15-Jan-1990",55961516,57.13,57.3,
"16-Jan-1990",56909980,57.91,59.8,
"17-Jan-1990",56635868,55.59,63.4,
"18-Jan-1990",55433052,48.78,65.2,
"19-Jan-1990",54658348,48.05,62.4,
"20-Jan-1990",54404860,47.89,56.6,
"21-Jan-1990",54785980,51.87,53.7,
"22-Jan-1990",55172428,57.99,56.6,
"23-Jan-1990",56364284,59.46,57.1,
"24-Jan-1990",56909980,57.83,57.1,
"25-Jan-1990",57186636,55.16,59.9,
"26-Jan-1990",58032012,58.3,56.7,
"27-Jan-1990",58032012,48.65,56.7,
"28-Jan-1990",58175132,50.91,55.1,
"29-Jan-1990",57325948,47.89,58.5,
"30-Jan-1990",56364284,47.558,59.9,
"31-Jan-1990",55433052,45.73,56.9,
"01-Feb-1990",54785980,50.26,58.6,
"02-Feb-1990",55696076,56.4,53.5,
"03-Feb-1990",56909980,59.12,53.8,
"04-Feb-1990",58032012,52.64,51,
"05-Feb-1990",58318972,53.17,56.3,
"06-Feb-1990",58900940,57.6,56.6,
"07-Feb-1990",59344460,56.59,59.6,
"08-Feb-1990",59493628,57.09,63.8,
"09-Feb-1990",59493628,53.09,62.1,
"10-Feb-1990",59794076,53.54,56.5,
"11-Feb-1990",60249932,52.54,53.8,
"12-Feb-1990",59945324,47.21,56.7,
"13-Feb-1990",59048108,49.92,62.6,
"14-Feb-1990",58608620,50.48,61.9,
"15-Feb-1990",57889468,52.61,62.7,
"16-Feb-1990",57465836,50.18,59.2,
"17-Feb-1990",56635868,45.85,54.5,
"18-Feb-1990",56364284,41.96,52.3,
"19-Feb-1990",56364284,45.75,54,
"20-Feb-1990",56772620,53.367,51.1,
"21-Feb-1990",58175132,62.08,51.1,
"22-Feb-1990",58900940,64.24,59.6,
"23-Feb-1990",59344460,61.51,59.1,
"24-Feb-1990",59945324,64.31,59.9,
"25-Feb-1990",59945324,55.71,56,
"26-Feb-1990",59945324,57.31,58.2,
"27-Feb-1990",60403260,59.19,59.2,
"28-Feb-1990",60249932,60.35,62.5,
"01-Mar-1990",60712060,62.38,61.8,
"02-Mar-1990",60403260,60.09,63.5,
"03-Mar-1990",59794076,56.07,63.8,
"04-Mar-1990",59344460,53.01,62.5,
"05-Mar-1990",58608620,56.13,63.7,
"06-Mar-1990",58463468,61.76,65,
"07-Mar-1990",58318972,56.85,62.6,
"08-Mar-1990",58463468,63.24,63.1,
"09-Mar-1990",58900940,62.91,60.8,
"10-Mar-1990",59048108,54.85,56.6,
"11-Mar-1990",59048108,55.4,55.9,
"12-Mar-1990",59048108,59.85,59.4,
"13-Mar-1990",59344460,62.67,62.2,
"14-Mar-1990",59048108,59.836,62.7,
"15-Mar-1990",59195932,63.8,65,
"16-Mar-1990",58318972,59.35,65.6,
"17-Mar-1990",58463468,61.71,61.5,
"18-Mar-1990",58608620,57.88,56.6,
"19-Mar-1990",58754428,59.91,59.4,
"20-Mar-1990",58463468,60.27,63.8,
"21-Mar-1990",58318972,63.123,65.5,
"22-Mar-1990",58032012,63.12,65.5,
"23-Mar-1990",58175132,63.74,62.5,
"24-Mar-1990",58318972,57.46,56.5,
"25-Mar-1990",58318972,48.35,51.1,
"26-Mar-1990",58318972,58.62,56.4,
"27-Mar-1990",59344460,62.869,56.5,
"28-Mar-1990",59794076,64.29,59.4,
"29-Mar-1990",59493628,63.42,65.4,
"30-Mar-1990",60249932,70.73,65.1,
"31-Mar-1990",60867516,64.15,61.2,
"01-Apr-1990",60557324,56.95,57.4,
"02-Apr-1990",60249932,59.93,64.7,
"03-Apr-1990",59643484,60.18,68.5,
"04-Apr-1990",58900940,63.92,73.8,
"05-Apr-1990",57889468,62.97,75.4,
"06-Apr-1990",56909980,62.3,74.1,
"07-Apr-1990",55828508,57.45,69.6,
"08-Apr-1990",54914220,47.14,62.1,
"09-Apr-1990",53413692,55.97,74.7,
"10-Apr-1990",52224732,59.608,74.9,
"11-Apr-1990",51200092,60.535,74.4,
"12-Apr-1990",50539852,57.169,70.7,
"13-Apr-1990",50109548,57.8,65.5,
"14-Apr-1990",48863964,44.14,65.5,
"15-Apr-1990",47875452,43.82,59.8,
"16-Apr-1990",46653276,46.69,65,
"17-Apr-1990",45239004,51.77,72.8,
"18-Apr-1990",44649116,54.05,70.9,
"19-Apr-1990",43994908,60.99,71,
"20-Apr-1990",43128076,55.38,71.5,
"21-Apr-1990",42897868,58.82,65.2,
"22-Apr-1990",42594876,49.47,61.1,
"23-Apr-1990",41856124,55.17,68.5,
"24-Apr-1990",41567820,61.99,70.5,
"25-Apr-1990",41002540,61.45,74.3,
"26-Apr-1990",40863532,66.09,73.6,
"27-Apr-1990",40519772,63.63,73.9,
"28-Apr-1990",40519772,64.44,67.9,
"29-Apr-1990",39847532,50.46,65.4,
"30-Apr-1990",38937356,50.185,71.3,
"01-May-1990",39001292,61.61,74.2,
"02-May-1990",38368860,54.06,73.5,
"03-May-1990",37384892,53.31,70.8,
"04-May-1990",37143500,58.09,69.9,
"05-May-1990",36605900,50.25,61.5,
"06-May-1990",36192332,48.51,60.9,
"07-May-1990",35957516,65.29,69.2,
"08-May-1990",36784284,81.21,68.6,
"09-May-1990",36784284,66.94,69.8,
"10-May-1990",37023404,70.86,71.4,
"11-May-1990",37324380,73.65,73.2,
"12-May-1990",37628060,68.33,68.3,
"13-May-1990",37628060,51.76,60.9,
"14-May-1990",37872988,64.72,65.7,
"15-May-1990",38057964,67.88,70.5,
"16-May-1990",37750252,71.07,80.1,
"17-May-1990",37143500,65.51,85.3,
"18-May-1990",36546556,66.75,84.7,
"19-May-1990",36369100,63.84,73.2,
"20-May-1990",35840492,51.89,68,
"21-May-1990",35957516,63.88,68.2,
"22-May-1990",35899004,68.27,73.3,
"23-May-1990",36074828,80.12,81.8,
"24-May-1990",36074828,94.44,101,
"25-May-1990",38494124,232.8,163,
"26-May-1990",45583788,303.8,217,
"27-May-1990",48167452,255.9,244,
"28-May-1990",48265692,244.9,273,
"29-May-1990",47492076,256.7,288,
"30-May-1990",46653276,301.8,319,
"31-May-1990",48167452,366.7,353,
"01-Jun-1990",51764140,448.7,390,
"02-Jun-1990",55828508,517.4,484,
"03-Jun-1990",49066956,388.2,515,
"04-Jun-1990",44566188,384.1,473,
"05-Jun-1990",42821692,379,437,
"06-Jun-1990",41072428,330.79,383,
"07-Jun-1990",40588092,296.99,325,
"08-Jun-1990",40181164,269.3,297,
"09-Jun-1990",39781388,255.34,288,
"10-Jun-1990",39065372,251.9,287,
"11-Jun-1990",39453324,274.3,286,
"12-Jun-1990",40114044,294.23,293,
"13-Jun-1990",39649628,274.27,296,
"14-Jun-1990",38620060,254.39,292,
"15-Jun-1990",38431436,240.49,261,
"16-Jun-1990",39453324,246.94,241,
"17-Jun-1990",41283324,258.48,243,
"18-Jun-1990",42370476,269.5,270,
"19-Jun-1990",42594876,285.42,292,
"20-Jun-1990",42370476,294.74,311,
"21-Jun-1990",41212780,292.21,322,
"22-Jun-1990",40451644,299.9,319,
"23-Jun-1990",40863532,318.16,318,
"24-Jun-1990",42821692,342.95,315,
"25-Jun-1990",44899868,363,347,
"26-Jun-1990",45670844,370.33,380,
"27-Jun-1990",47302844,369.6,364,
"28-Jun-1990",48562812,353.4,356,
"29-Jun-1990",49374860,320.79,328,
"30-Jun-1990",51878508,301.78,291,
"01-Jul-1990",53051292,292.5,298,
"02-Jul-1990",52458204,292.71,316,
"03-Jul-1990",50978012,277.73,308,
"04-Jul-1990",50978012,276.75,295,
"05-Jul-1990",50003196,257.16,290,
"06-Jul-1990",49374860,247.76,272,
"07-Jul-1990",51424188,260.98,256,
"08-Jul-1990",51878508,264.72,276,
"09-Jul-1990",51536940,263.18,286,
"10-Jul-1990",51424188,257.38,284,
"11-Jul-1990",50757916,245.03,273,
"12-Jul-1990",51424188,251.72,265,
"13-Jul-1990",51536940,252.55,264,
"14-Jul-1990",52108780,253.39,265,
"15-Jul-1990",51878508,245.32,266,
"16-Jul-1990",51200092,234.32,258,
"17-Jul-1990",51200092,232.75,248,
"18-Jul-1990",50978012,223.98,244,
"19-Jul-1990",49897244,210.35,243,
"20-Jul-1990",49066956,199.49,224,
"21-Jul-1990",49374860,184.21,193,
"22-Jul-1990",49374860,165.84,177,
"23-Jul-1990",50867708,169.65,159,
"24-Jul-1990",52341180,175.27,171,
"25-Jul-1990",53413692,179.76,178,
"26-Jul-1990",53904716,206.35,217,
"27-Jul-1990",54914220,212.28,217,
"28-Jul-1990",55433052,208.07,217,
"29-Jul-1990",54658348,193.96,217,
"30-Jul-1990",53413692,188.41,217,
"31-Jul-1990",54278924,175.22,185,
"01-Aug-1990",57325948,174.89,156,
"02-Aug-1990",58032012,173.45,177,
"03-Aug-1990",57325948,170.51,192,
"04-Aug-1990",53658060,162.12,215,
"05-Aug-1990",51536940,150.74,186,
"06-Aug-1990",52458204,140.41,144,
"07-Aug-1990",54914220,143.24,121,
"08-Aug-1990",55564252,147.95,145,
"09-Aug-1990",57048028,148.96,144,
"10-Aug-1990",58032012,145.81,145,
"11-Aug-1990",58032012,143.76,153,
"12-Aug-1990",56499756,127.48,154,
"13-Aug-1990",55302460,127.33,146,
"14-Aug-1990",55172428,136.73,145,
"15-Aug-1990",54531324,135.57,150,
"16-Aug-1990",54153628,134.63,147,
"17-Aug-1990",55302460,135.67,136,
"18-Aug-1990",56909980,130.41,125,
"19-Aug-1990",57325948,115.76,119,
"20-Aug-1990",56499756,109.37,124,
"21-Aug-1990",55961516,111.87,126,
"22-Aug-1990",55302460,116.39,129,
"23-Aug-1990",54278924,115.09,133,
"24-Aug-1990",54153628,119.14,130,
"25-Aug-1990",53904716,110.89,124,
"26-Aug-1990",53413692,102.45,115,
"27-Aug-1990",53535596,101.7,107,
"28-Aug-1990",53292316,100.58,109,
"29-Aug-1990",52931580,100.64,111,
"30-Aug-1990",52931580,96.07,105,
"31-Aug-1990",52812412,98.28,102,
"01-Sep-1990",53535596,94.02,90.6,
"02-Sep-1990",53658060,82.84,87.9,
"03-Sep-1990",53413692,76.92,87.8,
"04-Sep-1990",53535596,89.81,92.1,
"05-Sep-1990",53171548,84.14,91.2,
"06-Sep-1990",53535596,89.19,90.6,
"07-Sep-1990",54404860,95.62,90.8,
"08-Sep-1990",54658348,84.5,87.6,
"09-Sep-1990",54153628,78.33,88.3,
