"timed","stoobs","inflow","outflow",
"01-Jan-1980",25134492786.2352,282.9006,75.0396,
"02-Jan-1980",25134492786.2352,256.5563,242.3922,
"03-Jan-1980",25129252769.4864,252.0658,268.4437,
"04-Jan-1980",25124012752.7376,267.3337,288.8318,
"05-Jan-1980",25113530252.1888,282.9006,302.9903,
"06-Jan-1980",25118770268.9376,285.8942,188.8734,
"07-Jan-1980",25110078847.56,278.7094,365.2873,
"08-Jan-1980",25094358797.3136,271.8242,407.7626,
"09-Jan-1980",25080385419.3168,269.1298,467.228,
"10-Jan-1980",25097849674.7616,276.0151,223.9863,
"11-Jan-1980",25094358797.3136,302.0601,297.3269,
"12-Jan-1980",25103094625.6128,296.6714,104.206,
"13-Jan-1980",25125759424.9872,313.7354,31.998,
"14-Jan-1980",25139735270.0352,310.1428,60.8812,
"15-Jan-1980",25165893413.9088,305.353,146.9644,
"16-Jan-1980",25181586326.592,335.2896,192.5546,
"17-Jan-1980",25183325597.688,357.1434,230.216,
"18-Jan-1980",25214555998.8288,354.7484,348.2972,
"19-Jan-1980",25218029606.9184,354.449,396.4359,
"20-Jan-1980",25219768878.0144,336.1878,300.1586,
"21-Jan-1980",25211082390.7392,319.4231,419.0893,
"22-Jan-1980",25212819194.784,315.5315,288.8318,
"23-Jan-1980",25214555998.8288,306.5505,291.6635,
"24-Jan-1980",25218029606.9184,295.4738,230.4991,
"25-Jan-1980",25224981757.2,292.4802,164.5209,
"26-Jan-1980",25228455365.2896,286.7925,251.4536,
"27-Jan-1980",25230192169.3344,282.6013,200.7664,
"28-Jan-1980",25223242486.104,288.8879,396.4359,
"29-Jan-1980",25207606315.5984,299.665,484.2181,
"30-Jan-1980",25188538476.8736,315.8308,532.3567,
"31-Jan-1980",25181586326.592,317.627,424.7527,
"01-Feb-1980",25160653397.16,286.5818,370.9507,
"02-Feb-1980",25155413380.4112,269.7064,294.4952,
"03-Feb-1980",25158906724.9104,259.7618,187.1744,
"04-Feb-1980",25160653397.16,252.2281,253.4358,
"05-Feb-1980",25148468631.2832,256.447,348.2972,
"06-Feb-1980",25158906724.9104,302.8546,342.6338,
"07-Feb-1980",25158906724.9104,312.1963,239.2774,
"08-Feb-1980",25151961975.7824,316.114,319.9804,
"09-Feb-1980",25141479475.2336,314.6072,402.0992,
"10-Feb-1980",25132746113.9856,297.129,379.4457,
"11-Feb-1980",25122266080.488,279.0481,359.624,
"12-Feb-1980",25118770268.9376,282.0616,286.0002,
"13-Feb-1980",25115276924.4384,290.8007,319.9804,
"14-Feb-1980",25111786046.9904,292.91,348.2972,
"15-Feb-1980",25110078847.56,298.937,359.624,
"16-Feb-1980",25115276924.4384,361.6175,300.1586,
"17-Feb-1980",25127506097.2368,342.0298,220.3051,
"18-Feb-1980",25129252769.4864,362.22,345.4655,
"19-Feb-1980",25146721959.0336,373.6714,248.6219,
"20-Feb-1980",25178112718.5024,394.4644,305.8219,
"21-Feb-1980",25183325597.688,557.1923,373.7824,
"22-Feb-1980",25231931440.4304,574.369,376.6141,
"23-Feb-1980",25250999279.1552,610.2295,311.4853,
"24-Feb-1980",25284010891.2624,491.4983,256.2675,
"25-Feb-1980",25306554805.128,499.3333,317.1487,
"26-Feb-1980",25339524477.3648,580.0947,240.9764,
"27-Feb-1980",25356986265.7584,601.7916,265.3289,
"28-Feb-1980",25371058325.8032,559.6029,207.2793,
"29-Feb-1980",25395647425.1136,505.6619,203.0318,
"01-Mar-1980",25402680988.0848,420.7422,216.6239,
"02-Mar-1980",25418472582.816,375.529,126.2931,
"03-Mar-1980",25436062657.872,375.8169,192.8377,
"04-Mar-1980",25434306117.4176,359.9779,269.5764,
"05-Mar-1980",25446619169.9568,348.7466,277.7883,
"06-Mar-1980",25472964809.7216,372.9371,205.014,
"07-Mar-1980",25488798344.3232,398.5675,170.4674,
"08-Mar-1980",25502870404.368,379.8487,216.907,
"09-Mar-1980",25525698029.1216,356.2341,104.206,
"10-Mar-1980",25536252074.1552,362.5698,311.4853,
"11-Mar-1980",25538013548.712,383.8804,356.7923,
"12-Mar-1980",25550282194.3296,397.4156,252.0199,
"13-Mar-1980",25574913233.5104,408.9349,227.9506,
"14-Mar-1980",25580190256.0272,397.9916,243.808,
