"timed","stoobs","inflow","outflow",
"01-Jan-2002",14182394,0,1.5,
"02-Jan-2002",14036682,0,1.55,
"03-Jan-2002",13949822,0,1.55,
"04-Jan-2002",13863378,0,1.48,
"05-Jan-2002",13834660,0,1.47,
"06-Jan-2002",13834660,0,1.45,
"07-Jan-2002",14036682,0,1.5,
"08-Jan-2002",14036682,0,1.47,
"09-Jan-2002",14123970,0,1.47,
"10-Jan-2002",14182394,0,1.45,
"11-Jan-2002",14211680,0,1.47,
"12-Jan-2002",14270385,0,1.46,
"13-Jan-2002",14299809,0,1.49,
"14-Jan-2002",14299809,0,1.48,
"15-Jan-2002",14329278,0,1.5,
"16-Jan-2002",14329278,0,1.49,
"17-Jan-2002",14329278,0,1.48,
"18-Jan-2002",14329278,0,1.5,
"19-Jan-2002",14299809,0,1.5,
"20-Jan-2002",14270385,0,1.48,
"21-Jan-2002",14241009,0,1.55,
"22-Jan-2002",14153161,0,1.48,
"23-Jan-2002",14036682,0,1.46,
"24-Jan-2002",13892143,0,1.57,
"25-Jan-2002",13834660,0,1.55,
"26-Jan-2002",13777363,0,1.49,
"27-Jan-2002",13777363,0,1.45,
"28-Jan-2002",13720256,0,1.45,
"29-Jan-2002",13634954,0,1.55,
"30-Jan-2002",13493737,0,1.65,
"31-Jan-2002",13353709,0,1.9,
"01-Feb-2002",13187264,0,2.23,
"02-Feb-2002",12995273,0,2.04,
"03-Feb-2002",12805654,0,1.95,
"04-Feb-2002",12671672,0,1.94,
"05-Feb-2002",12565361,0,1.92,
"06-Feb-2002",12512504,0,1.87,
"07-Feb-2002",12433580,0,1.87,
"08-Feb-2002",12381208,0,1.86,
"09-Feb-2002",12329036,0,1.88,
"10-Feb-2002",12251145,0,1.87,
"11-Feb-2002",12225277,0,1.61,
"12-Feb-2002",12173691,0,1.47,
"13-Feb-2002",12173691,0,1.44,
"14-Feb-2002",12122308,0,1.43,
"15-Feb-2002",12122308,0,1.47,
"16-Feb-2002",12096688,0,1.41,
"17-Feb-2002",12096688,0,1.43,
"18-Feb-2002",12071116,0,1.44,
"19-Feb-2002",12071116,0,1.44,
"20-Feb-2002",12071116,0,1.42,
"21-Feb-2002",12045598,0,1.49,
"22-Feb-2002",11693499,0,1.5,
"23-Feb-2002",11375260,0,1.47,
"24-Feb-2002",11375260,0,1.42,
"25-Feb-2002",11041948,0,1.39,
"26-Feb-2002",10650360,0,1.4,
"27-Feb-2002",10316820,0,1.42,
