"timed","stoobs","inflow","outflow",
"01-Jan-1978",11150969370.1934,1744.3178,2078.4565,
"02-Jan-1978",11122229217.971,1687.6841,2024.6545,
"03-Jan-1978",11064773583.1848,1857.5851,2523.031,
"04-Jan-1978",11007280943.9107,2293.6646,2959.1105,
"05-Jan-1978",10959384801.8165,1942.5357,2494.7142,
"06-Jan-1978",10901892162.5424,1948.199,2610.8133,
"07-Jan-1978",10854649766.4,2171.9021,2721.249,
"08-Jan-1978",10811280506.6515,1863.2485,2358.7933,
"09-Jan-1978",10815955406.9486,2237.0309,2183.2289,
"10-Jan-1978",10797292810.248,2237.0309,2455.0706,
"11-Jan-1978",10732004558.869,2361.625,3126.1799,
"12-Jan-1978",10666691637.8314,2392.7735,3154.4967,
"13-Jan-1978",10610753187.0466,2276.6745,2927.9619,
"14-Jan-1978",10582765459.4102,2443.7439,2766.5559,
"15-Jan-1978",10554765396.9446,2268.1794,2590.9915,
"16-Jan-1978",10540790035.3704,2406.932,2568.338,
"17-Jan-1978",10498814611.3306,1976.5159,2460.734,
"18-Jan-1978",10442839156.0579,1891.5654,2534.3578,
"19-Jan-1978",10433501690.293,2222.8725,2330.4765,
"20-Jan-1978",10368213438.9139,1894.397,2641.9618,
"21-Jan-1978",10304516380.512,2143.5853,2885.4867,
"22-Jan-1978",10277318081.9496,1934.0406,2251.1893,
"23-Jan-1978",10241078353.525,2018.9912,2440.9122,
"24-Jan-1978",10141363593.6254,1860.4168,3015.7442,
"25-Jan-1978",10005421440.1306,1769.8029,3332.8928,
"26-Jan-1978",9879384154.5475,1786.793,3230.9522,
"27-Jan-1978",9730120385.4302,1704.6742,3446.1602,
"28-Jan-1978",9624756273.7205,1806.6148,3027.0709,
"29-Jan-1978",9545739357.3528,1894.397,2803.3678,
"30-Jan-1978",9458125064.977,1968.0208,2976.1006,
"31-Jan-1978",9354882543.9034,2268.1794,3465.982,
"01-Feb-1978",9225884899.2931,2027.4862,3519.784,
"02-Feb-1978",9097442322.0005,2030.3179,3508.4573,
"03-Feb-1978",8981815632.3298,2140.7536,3508.4573,
"04-Feb-1978",8868544895.0515,1897.2287,3253.6057,
"05-Feb-1978",8771469788.6179,1928.3773,3083.7046,
