"timed","stoobs","inflow","outflow",
"01-Jan-1971 00:00:00",76392143581.411,940.9722,1242.159,
"31-Jan-1971 12:00:00",75162927630.847,1093.75,1502.149,
"03-Mar-1971 00:00:00",73648198609.1961,785.8796,1552.046,
"02-Apr-1971 12:00:00",71447273436.2586,905.0926,1469.907,
"03-May-1971 00:00:00",69978192993.8089,1218.75,1962.739,
"02-Jun-1971 12:00:00",66117162761.1478,675.9259,2368.827,
"03-Jul-1971 00:00:00",61480302872.6216,1186.3426,2459.304,
"02-Aug-1971 12:00:00",64035638745.1004,5721.0648,2221.476,
"02-Sep-1971 00:00:00",78134649465.1551,7040.5093,1674.383,
"02-Oct-1971 12:00:00",86103984341.9422,2833.3333,1356.407,
"02-Nov-1971 00:00:00",87570323850.1971,1628.4722,1354.167,
"02-Dec-1971 12:00:00",87697182714.5355,1138.8889,1154.122,
"02-Jan-1972 00:00:00",87195760033.8372,1076.3889,1272.775,
"01-Feb-1972 12:00:00",85945630672.4412,1009.2593,1555.715,
"03-Mar-1972 00:00:00",83718307348.118,598.3796,1550.926,
"02-Apr-1972 12:00:00",81492821181.6683,976.8519,1527.778,
"03-May-1972 00:00:00",79736690147.9622,843.75,1896.655,
"02-Jun-1972 12:00:00",75369777095.8572,651.6204,2445.988,
"03-Jul-1972 00:00:00",70594293699.6976,946.7593,2576.165,
"02-Aug-1972 12:00:00",70279811709.8738,3430.5556,2277.479,
"02-Sep-1972 00:00:00",75311344728.8319,3237.2685,1620.37,
"02-Oct-1972 12:00:00",77911130948.5926,2516.2037,1417.637,
"02-Nov-1972 00:00:00",78424145365.5584,1179.3981,1400.463,
"02-Dec-1972 12:00:00",77232201482.2889,657.4074,1157.594,
"02-Jan-1973 00:00:00",75852615729.743,649.3056,1338.112,
"01-Feb-1973 12:00:00",73579808177.5281,549.7685,1450.066,
"04-Mar-1973 00:00:00",70706890868.1053,454.8611,1608.796,
"03-Apr-1973 12:00:00",68145796801.6238,700.2315,1520.062,
"04-May-1973 00:00:00",65918466378.0653,915.5093,1926.523,
"03-Jun-1973 12:00:00",62269693395.0657,896.9907,2507.716,
"04-Jul-1973 00:00:00",57865727463.2037,966.4352,2590.352,
"03-Aug-1973 12:00:00",59470662884.7737,5412.037,2345.43,
"03-Sep-1973 00:00:00",71447273436.2586,6165.5093,1651.235,
"03-Oct-1973 12:00:00",79630075820.5023,3557.8704,1420.624,
"03-Nov-1973 00:00:00",82558500812.6116,1883.1019,1508.488,
"03-Dec-1973 12:00:00",82121949095.0653,1083.3333,1329.525,
"03-Jan-1974 00:00:00",80815332686.9505,732.6389,1007.841,
"02-Feb-1974 12:00:00",79808764026.2225,827.5463,1568.287,
"05-Mar-1974 00:00:00",76964765579.2596,538.1944,1660.693,
"04-Apr-1974 12:00:00",74162074988.9359,648.1481,1577.932,
"05-May-1974 00:00:00",71923738525.9422,997.6852,1915.323,
"04-Jun-1974 12:00:00",68577105093.1624,954.8611,2484.568,
"05-Jul-1974 00:00:00",65213875181.7943,2847.2222,2558.99,
"04-Aug-1974 12:00:00",72134040584.2635,7629.6296,2279.346,
"04-Sep-1974 00:00:00",87596793778.7474,6512.7315,1550.926,
"04-Oct-1974 12:00:00",97904433614.4695,3708.3333,1443.399,
"04-Nov-1974 00:00:00",100241680240.159,1431.713,1543.21,
"04-Dec-1974 12:00:00",99732197780.4144,1074.0741,1279.869,
"04-Jan-1975 00:00:00",98838890664.9276,869.213,1127.912,
"03-Feb-1975 12:00:00",97371634511.3558,722.2222,1530.258,
"06-Mar-1975 00:00:00",94669734693.1961,414.3519,1656.959,
"05-Apr-1975 12:00:00",91890300393.2391,905.0926,1604.938,
"06-May-1975 00:00:00",89921582336.5413,901.6204,1873.507,
"05-Jun-1975 12:00:00",86046327107.0848,542.8241,2368.827,
"06-Jul-1975 00:00:00",81198401531.4437,1313.6574,2412.634,
"05-Aug-1975 12:00:00",84927325710.2811,7594.9074,2071.759,
"05-Sep-1975 00:00:00",104868107066.461,9340.2778,1500.772,
"05-Oct-1975 12:00:00",121343204106.593,4873.8426,1347.446,
"05-Nov-1975 00:00:00",124878941128.334,1616.8981,1400.463,
"05-Dec-1975 12:00:00",124997262007.424,1164.3519,1250.747,
"05-Jan-1976 00:00:00",124515977812.35,1068.287,1275.762,
"04-Feb-1976 12:00:00",123244147670.171,766.2037,1392.88,
"06-Mar-1976 00:00:00",121262857846.672,648.1481,1455.72,
"05-Apr-1976 12:00:00",118651097102.028,596.0648,1477.623,
"06-May-1976 00:00:00",116333377022.122,810.1852,1773.447,
"05-Jun-1976 12:00:00",113349102688.087,896.9907,2426.698,
"06-Jul-1976 00:00:00",109373970896.482,1528.9352,2471.998,
"05-Aug-1976 12:00:00",111824286748.715,5699.0741,2182.646,
"05-Sep-1976 00:00:00",123890247191.545,5343.75,1535.494,
"05-Oct-1976 12:00:00",129097928635.288,2150.463,1496.789,
"05-Nov-1976 00:00:00",129098515592.047,1121.5278,1500.772,
"05-Dec-1976 12:00:00",127777217121.204,960.6481,1485.215,
"05-Jan-1977 00:00:00",125869475720.786,680.5556,1470.281,
"04-Feb-1977 12:00:00",123586360076.71,461.8056,1519.511,
"07-Mar-1977 00:00:00",120287132886.728,315.9722,1721.924,
"06-Apr-1977 12:00:00",117163965720.686,633.1019,1589.506,
"07-May-1977 00:00:00",114787424666.65,807.8704,1841.398,
"06-Jun-1977 12:00:00",111012939786.646,569.4444,2472.994,
"07-Jul-1977 00:00:00",106302209864.511,1262.7315,2467.145,
"06-Aug-1977 12:00:00",111034215317.513,7371.5278,2175.553,
"06-Sep-1977 00:00:00",125144862270.963,5390.0463,1624.228,
"06-Oct-1977 12:00:00",131168566310.039,2668.9815,1655.093,
"06-Nov-1977 00:00:00",132762095486.819,2156.25,1651.235,
"06-Dec-1977 12:00:00",132381115430.72,1053.2407,1817.503,
"06-Jan-1978 00:00:00",130103294738.517,995.3704,1641.278,
"05-Feb-1978 12:00:00",128123921307.268,737.2685,1782.407,
"08-Mar-1978 00:00:00",124868656615.799,436.3426,1929.137,
"07-Apr-1978 12:00:00",120548916197.243,619.213,2048.611,
"08-May-1978 00:00:00",117362594073.053,842.5926,2081.467,
"07-Jun-1978 12:00:00",113447310600.569,745.3704,2411.265,
"08-Jul-1978 00:00:00",109312475423.368,1781.25,2586.992,
"07-Aug-1978 12:00:00",113891169795.691,6488.4259,2195.341,
"07-Sep-1978 00:00:00",125429021369.469,4725.6944,1782.407,
"07-Oct-1978 12:00:00",132027336226.054,3929.3981,1674.507,
"07-Nov-1978 00:00:00",134446624747.787,1452.5463,1763.117,
"07-Dec-1978 12:00:00",132607796031.837,890.0463,1686.081,
"07-Jan-1979 00:00:00",130970626126.861,980.3241,1446.759,
"06-Feb-1979 12:00:00",129255896404.523,752.3148,1800.595,
"09-Mar-1979 00:00:00",126396571747.934,690.9722,1756.646,
"08-Apr-1979 12:00:00",123837462632.526,815.9722,1739.969,
"09-May-1979 00:00:00",121725443270.845,981.4815,1985.887,
"08-Jun-1979 12:00:00",117871817138.44,655.0926,2596.451,
"09-Jul-1979 00:00:00",113019613415.807,1210.6481,2693.772,
"08-Aug-1979 12:00:00",113776762798.927,4667.8241,2290.92,
"08-Sep-1979 00:00:00",121741111175.03,3984.9537,1790.123,
"08-Oct-1979 12:00:00",125511044500.333,2421.2963,1572.207,
"08-Nov-1979 00:00:00",126070308492.892,1180.5556,1527.778,
"08-Dec-1979 12:00:00",124611770887.634,711.8056,1482.228,
"08-Jan-1980 00:00:00",122923756378.838,732.6389,1313.471,
