"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",3381000000,858.3,918.6333,
"31-Jan-2001 12:00:00",3404000000,945.6667,1131.3,
"03-Mar-2001 00:00:00",3362666666.6667,572.4,725.2667,
"02-Apr-2001 12:00:00",3356333333.3333,361.3,440.8,
"03-May-2001 00:00:00",3047333333.3333,221.1,349.1,
"02-Jun-2001 12:00:00",2526000000,248.8,389.5667,
"03-Jul-2001 00:00:00",1999333333.3333,328.2,498.4333,
"02-Aug-2001 12:00:00",1449333333.3333,316.5,538.3667,
"02-Sep-2001 00:00:00",1187000000,276.9333,342.6,
"02-Oct-2001 12:00:00",1376333333.3333,406.1333,398.4667,
"02-Nov-2001 00:00:00",1504666666.6667,658.7,695.8667,
"02-Dec-2001 12:00:00",2108333333.3333,944.3667,799.2667,
"02-Jan-2002 00:00:00",2820333333.3333,825.0333,725.9333,
"01-Feb-2002 12:00:00",3261333333.3333,729.7,820.9333,
"04-Mar-2002 00:00:00",3214000000,563.0333,630.8333,
"03-Apr-2002 12:00:00",3301333333.3333,626.4667,632.4333,
"04-May-2002 00:00:00",3438333333.3333,577.8,646.2,
"03-Jun-2002 12:00:00",3377333333.3333,450.5667,545.5333,
"04-Jul-2002 00:00:00",2723333333.3333,247.7667,544.1,
"03-Aug-2002 12:00:00",1827333333.3333,325.6333,588.6667,
"03-Sep-2002 00:00:00",1450000000,285.4667,328.2667,
"03-Oct-2002 12:00:00",1376333333.3333,403.5,438.7667,
"03-Nov-2002 00:00:00",1458000000,704.1667,648.2,
"03-Dec-2002 12:00:00",2306000000,1116.0667,899.4,
"03-Jan-2003 00:00:00",3004000000,1014.9333,916.1667,
"02-Feb-2003 12:00:00",3353333333.3333,924.3333,857.6667,
"05-Mar-2003 00:00:00",3489333333.3333,919.3,966.0333,
"04-Apr-2003 12:00:00",3507666666.6667,313,1137.3,
"05-May-2003 00:00:00",3458000000,756,723.3,
"04-Jun-2003 12:00:00",3428333333.3333,1383.2,658.7667,
"05-Jul-2003 00:00:00",2695666666.6667,1081,599.4333,
"04-Aug-2003 12:00:00",1811666666.6667,604.4,599.1333,
"04-Sep-2003 00:00:00",1681333333.3333,428,496.8667,
"04-Oct-2003 12:00:00",2085666666.6667,1070.2,759.9,
"04-Nov-2003 00:00:00",2459666666.6667,1127.5667,837.9,
"04-Dec-2003 12:00:00",2929333333.3333,1143.2667,1029.4667,
"04-Jan-2004 00:00:00",3038000000,1140,1127.8333,
"03-Feb-2004 12:00:00",3190666666.6667,976.5,929.5,
"05-Mar-2004 00:00:00",3376000000,1081.8,999.6,
"04-Apr-2004 12:00:00",3419000000,750,763.3667,
"05-May-2004 00:00:00",3446333333.3333,697.4,686.5,
"04-Jun-2004 12:00:00",3381000000,573,593.3333,
"05-Jul-2004 00:00:00",2941000000,394.6,650,
"04-Aug-2004 12:00:00",2236666666.6667,393.1,670.9,
"04-Sep-2004 00:00:00",1980666666.6667,564.1667,539.0667,
"04-Oct-2004 12:00:00",2044666666.6667,780,769.4667,
"04-Nov-2004 00:00:00",2216666666.6667,1012.1667,913.5667,
"04-Dec-2004 12:00:00",3055000000,1103.4,942.9333,
"04-Jan-2005 00:00:00",3360666666.6667,870.2667,1126.0667,
"03-Feb-2005 12:00:00",3398666666.6667,1078.4,1158.6667,
"06-Mar-2005 00:00:00",3382333333.3333,865.0333,924.1667,
"05-Apr-2005 12:00:00",3429666666.6667,653.7667,712.3,
"06-May-2005 00:00:00",3508000000,637.6333,604.6,
"05-Jun-2005 12:00:00",3364333333.3333,541.2333,540.1,
"06-Jul-2005 00:00:00",2614000000,373.3333,623.9667,
"05-Aug-2005 12:00:00",1702000000,381.3,583.2333,
"05-Sep-2005 00:00:00",1463666666.6667,462.1667,474.5,
"05-Oct-2005 12:00:00",1729000000,672.8,505.5667,
"05-Nov-2005 00:00:00",2367000000,892.1,737.2,
"05-Dec-2005 12:00:00",2995333333.3333,1082.8667,985.3,
"05-Jan-2006 00:00:00",3421666666.6667,1069,1171.6667,
"04-Feb-2006 12:00:00",3420333333.3333,1136.7333,1396.1,
"07-Mar-2006 00:00:00",3410333333.3333,696.7333,938.4,
"06-Apr-2006 12:00:00",3422000000,580.7,646.8667,
"07-May-2006 00:00:00",3370000000,401.2667,438.9667,
"06-Jun-2006 12:00:00",2801000000,311.5667,461.0333,
"07-Jul-2006 00:00:00",1968666666.6667,349.5333,553.4,
"06-Aug-2006 12:00:00",1201666666.6667,347.3,541.4667,
"06-Sep-2006 00:00:00",1041333333.3333,441.7333,348.9333,
"06-Oct-2006 12:00:00",1354000000,431.4333,544.6667,
"06-Nov-2006 00:00:00",1598000000,866.0667,702.9667,
"06-Dec-2006 12:00:00",2716333333.3333,1111.8667,810.9,
"06-Jan-2007 00:00:00",3432000000,1146.2333,892.7333,
"05-Feb-2007 12:00:00",3445000000,856.8,868.7667,
"08-Mar-2007 00:00:00",3499000000,835.8667,840.1667,
"07-Apr-2007 12:00:00",3438666666.6667,663.3333,673.7667,
"08-May-2007 00:00:00",3478000000,400,334.4,
"07-Jun-2007 12:00:00",3109333333.3333,416.6667,451.4333,
"08-Jul-2007 00:00:00",2304666666.6667,413.3333,563.1667,
"07-Aug-2007 12:00:00",1370666666.6667,376,598.8333,
"07-Sep-2007 00:00:00",862000000,380,371.2667,
"07-Oct-2007 12:00:00",1102666666.6667,501.8333,420.6,
"07-Nov-2007 00:00:00",1353000000,622.6333,584.0333,
"07-Dec-2007 12:00:00",2473333333.3333,1030.3,657.7,
"07-Jan-2008 00:00:00",3457333333.3333,1128,984.8333,
"06-Feb-2008 12:00:00",3537000000,1252.9333,1293.9,
"08-Mar-2008 00:00:00",3494000000,775.1333,822.0667,
"07-Apr-2008 12:00:00",3516333333.3333,256.3,267.0667,
"08-May-2008 00:00:00",3401000000,178.3667,247.4,
"07-Jun-2008 12:00:00",2868666666.6667,192.6,344.1,
"08-Jul-2008 00:00:00",2061000000,180.3,423.8667,
"07-Aug-2008 12:00:00",1222666666.6667,206.2,411,
"07-Sep-2008 00:00:00",846000000,215.6,268.4667,
"07-Oct-2008 12:00:00",985333333.3333,351.6667,332.7667,
"07-Nov-2008 00:00:00",1337000000,605.0667,495.1667,
"07-Dec-2008 12:00:00",1900333333.3333,620.3,516.8,
"07-Jan-2009 00:00:00",2366000000,727.4333,656.2667,
"06-Feb-2009 12:00:00",2322000000,690.0333,846.1333,
"09-Mar-2009 00:00:00",2830333333.3333,611.4333,188.2333,
"08-Apr-2009 12:00:00",3444666666.6667,519.9333,367.0333,
"09-May-2009 00:00:00",3508000000,541.5,533.8667,
"08-Jun-2009 12:00:00",3432333333.3333,348.1,370.4667,
"09-Jul-2009 00:00:00",2764666666.6667,271,524.1333,
"08-Aug-2009 12:00:00",1809000000,219.9667,579.3,
"08-Sep-2009 00:00:00",1267000000,321.4667,376.6,
"08-Oct-2009 12:00:00",1154000000,459.3333,435.8667,
"08-Nov-2009 00:00:00",2403000000,617.1333,165.6667,
"08-Dec-2009 12:00:00",3382466666.6667,850.7,715.5333,
"08-Jan-2010 00:00:00",3491900000,748.3333,896.7333,
"07-Feb-2010 12:00:00",3484700000,868.6667,946.7333,
"10-Mar-2010 00:00:00",3408500000,775.6,894.9,
"09-Apr-2010 12:00:00",3377533333.3333,669.5,698.4333,
"10-May-2010 00:00:00",3388000000,970.1667,1016.8333,
"09-Jun-2010 12:00:00",3506600000,1014.0333,1076.3333,
"10-Jul-2010 00:00:00",3165566666.6667,509.0667,636.4,
"09-Aug-2010 12:00:00",3140533333.3333,817.8333,646.0667,
"09-Sep-2010 00:00:00",3295733333.3333,674.8667,626.2667,
"09-Oct-2010 12:00:00",3377566666.6667,710.8667,740.9333,
"09-Nov-2010 00:00:00",3415133333.3333,810.1,790.0333,
"09-Dec-2010 12:00:00",3403666666.6667,964.4,996.4333,

