"timed","stoobs","inflow","outflow",
"01-Jan-1971",1289773898.6203,5.5912,56.6337,
"02-Jan-1971",1285949204.4744,12.5877,56.6337,
"03-Jan-1971",1282744973.7053,19.7683,56.6337,
"04-Jan-1971",1278920341.2357,12.5877,56.6337,
"05-Jan-1971",1274728290.8309,8.3348,56.6337,
"06-Jan-1971",1270283194.9845,5.4057,56.6337,
"07-Jan-1971",1266091144.5797,8.3336,56.6337,
"08-Jan-1971",1261899081.8397,8.3331,56.6337,
"09-Jan-1971",1257454072.3401,5.4048,56.6337,
"10-Jan-1971",1253508949.0899,11.1897,56.6337,
"11-Jan-1971",1249563825.8397,11.1891,56.6337,
"12-Jan-1971",1245739205.7053,12.5832,56.6337,
"13-Jan-1971",1241914573.2357,12.5826,56.6337,
"14-Jan-1971",1238118250.1787,12.9097,56.6337,
"15-Jan-1971",1234212599.7477,16.9675,61.9573,
"16-Jan-1971",1229811997.1697,14.4243,65.1287,
"17-Jan-1971",1225208701.6651,12.078,65.1287,
"18-Jan-1971",1220858451.6021,15.0057,65.1287,
"19-Jan-1971",1216266257.8279,15.0368,67.9604,
"20-Jan-1971",1211066034.6149,12.473,72.4345,
"21-Jan-1971",1206349871.5179,22.1098,76.4555,
"22-Jan-1971",1201546448.82,21.0992,76.4555,
"23-Jan-1971",1196673874.6769,20.2981,76.4555,
"24-Jan-1971",1191408866.6995,15.7558,76.4555,
"25-Jan-1971",1185970030.2945,13.743,76.4555,
"26-Jan-1971",1180657691.9397,15.2064,76.4555,
"27-Jan-1971",1175694219.2952,19.2569,76.4555,
"28-Jan-1971",1171135959.8103,23.9459,76.4555,
"29-Jan-1971",1166431601.5533,22.2545,76.4555,
"30-Jan-1971",1161510759.5535,19.7482,76.4555,
"31-Jan-1971",1156710112.2881,21.1385,76.4555,
"01-Feb-1971",1152018076.9519,22.3949,76.4555,
"02-Feb-1971",1147686638.1543,26.581,76.4555,
"03-Feb-1971",1143855616.0221,32.3718,76.4555,
"04-Feb-1971",1139379990.4171,24.9112,76.4555,
"05-Feb-1971",1133761750.0488,11.6861,76.4555,
"06-Feb-1971",1128367542.6,14.2782,76.4555,
"07-Feb-1971",1123662333.2103,22.265,76.4555,
"08-Feb-1971",1118733016.8897,19.6703,76.4555,
"09-Feb-1971",1113456450.7773,15.6507,76.4555,
"10-Feb-1971",1108687949.1891,21.5299,76.4555,
"11-Feb-1971",1103749529.4495,19.5627,76.4555,
"12-Feb-1971",1101058371.3185,17.0272,47.9121,
"13-Feb-1971",1101058371.3185,14.4325,14.1584,
"14-Feb-1971",1101283095.0123,17.0337,14.1584,
"15-Feb-1971",1101283095.0123,14.4325,14.1584,
"16-Feb-1971",1101957290.7643,22.2485,14.1584,
"17-Feb-1971",1102516312.2309,20.9157,14.1584,
"18-Feb-1971",1101957290.7643,21.5528,27.7222,
"19-Feb-1971",1098476824.2723,19.4843,59.4654,
"20-Feb-1971",1093538478.5443,19.6139,76.4555,
"21-Feb-1971",1088484958.5309,18.293,76.4555,
"22-Feb-1971",1083546625.1381,19.6253,76.4555,
"23-Feb-1971",1077594247.3553,7.901,76.4555,
"24-Feb-1971",1072486674.2502,17.6904,76.4555,
"25-Feb-1971",1067049601.7868,13.8755,76.4555,
"26-Feb-1971",1061660254.4289,14.4396,76.4555,
"27-Feb-1971",1056283624.7199,14.5857,76.4555,
"28-Feb-1971",1051014237.7265,15.8382,76.4555,
"01-Mar-1971",1045632279.1869,14.5594,76.4555,
"02-Mar-1971",1040085200.9105,12.6593,76.4555,
"03-Mar-1971",1034657688.2705,14.0418,76.4555,
"04-Mar-1971",1029494298.132,17.1099,76.4555,
"05-Mar-1971",1024128461.772,14.7655,76.4555,
"06-Mar-1971",1019082256.5655,18.4759,76.4555,
"07-Mar-1971",1014041306.178,18.5475,76.4555,
"08-Mar-1971",1010196406.8828,6.4223,50.4889,
"09-Mar-1971",1009243273.9869,9.2347,19.8218,
"10-Mar-1971",1008927343.4103,16.609,19.8218,
"11-Mar-1971",1008606158.0145,16.5605,19.8218,
"12-Mar-1971",1008818558.7876,22.7481,19.8218,
"13-Mar-1971",1008818558.7876,20.2902,19.8218,
"14-Mar-1971",1008818558.7876,20.3023,19.8218,
"15-Mar-1971",1008502628.2109,16.6582,19.8218,
"16-Mar-1971",1007756727.6159,11.6818,19.8218,
"17-Mar-1971",1007119525.2967,12.9521,19.8218,
"18-Mar-1971",1006803594.72,16.6823,19.8218,
"19-Mar-1971",1005850548.1709,9.3208,19.8218,
"20-Mar-1971",1004788630.6524,8.0726,19.8218,
"21-Mar-1971",1004047898.5296,11.8019,19.8218,
"22-Mar-1971",1004047898.5296,17.0615,16.5087,
"23-Mar-1971",1005104647.5759,26.954,14.1584,
"24-Mar-1971",1006803594.72,34.3993,14.1584,
"25-Mar-1971",1008714942.6372,36.8705,14.1584,
"26-Mar-1971",1010408807.6559,34.3665,14.1584,
"27-Mar-1971",1013286770.9037,48.084,14.1584,
"28-Mar-1971",1017153960.0065,59.5339,14.1584,
"29-Mar-1971",1020586158.6417,54.5136,14.1584,
"30-Mar-1971",1023698812.4703,50.829,14.1584,
"31-Mar-1971",1026056844.6777,42.1091,14.1584,
"01-Apr-1971",1028634913.1817,44.6565,14.1584,
"02-Apr-1971",1030568550.9065,37.2117,14.1584,
"03-Apr-1971",1032067198.1637,32.1909,14.1584,
"04-Apr-1971",1033571100.24,32.252,14.1584,
"05-Apr-1971",1035198268.5295,33.692,14.1584,
"06-Apr-1971",1036608188.2903,31.1907,14.1584,
"07-Apr-1971",1037806027.9947,28.7492,14.1584,
"08-Apr-1971",1039104622.0701,29.9286,14.1584,
"09-Apr-1971",1040302523.4507,28.7764,14.1584,
"10-Apr-1971",1041495034.3245,28.7147,14.1584,
"11-Apr-1971",1042798957.2305,30.017,14.1584,
"12-Apr-1971",1044645927.4467,36.3155,14.1584,
"13-Apr-1971",1046623959.7578,37.846,14.1584,
"14-Apr-1971",1048928962.6997,41.6439,14.1584,
"15-Apr-1971",1050901666.1803,37.8123,14.1584,
"16-Apr-1971",1052879710.8267,37.8749,14.1584,
"17-Apr-1971",1054745183.9268,36.5862,14.1584,
"18-Apr-1971",1056723216.2379,37.9027,14.1584,
"19-Apr-1971",1058476056.1155,35.31,14.1584,
"20-Apr-1971",1060346932.0578,36.6899,14.1584,
"21-Apr-1971",1061772813.6399,31.5404,14.1584,
"22-Apr-1971",1063091526.5178,30.3138,14.1584,
"23-Apr-1971",1064404848.8889,30.2648,14.1584,
"24-Apr-1971",1065283957.9135,25.253,14.1584,
"25-Apr-1971",1066382881.2,27.8103,14.1584,
"26-Apr-1971",1067494139.7425,27.9663,14.1584,
"27-Apr-1971",1068491593.2132,26.6501,14.1584,
"28-Apr-1971",1069488972.6723,24.6521,12.1479,
"29-Apr-1971",1070600231.2149,25.1621,11.3267,
"30-Apr-1971",1071711477.4221,25.1757,11.3267,
"01-May-1971",1072708943.2281,23.872,11.3267,
"02-May-1971",1074042458.4132,27.7749,11.3267,
"03-May-1971",1075706632.4707,33.3867,13.1107,
"04-May-1971",1077484611.6,35.7653,14.1584,
"05-May-1971",1079507124.8443,38.6097,14.1584,
"06-May-1971",1081748835.5877,41.1605,14.1584,
"07-May-1971",1084330370.2986,45.1082,14.1584,
"08-May-1971",1086462519.2982,39.9217,14.1584,
