"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",7767666666.6667,160.6333,549.4333,
"31-Jan-2001 12:00:00",6638000000,134.2,534.3333,
"03-Mar-2001 00:00:00",6037000000,183.9333,363.6333,
"02-Apr-2001 12:00:00",5966000000,424.6333,439.8667,
"03-May-2001 00:00:00",6215333333.3333,778.3333,645.7,
"02-Jun-2001 12:00:00",7422000000,1328,723.1,
"03-Jul-2001 00:00:00",9195666666.6667,1395.4,726.5667,
"02-Aug-2001 12:00:00",10264000000,1040.3333,756.6,
"02-Sep-2001 00:00:00",10429000000,555.1667,527.5667,
"02-Oct-2001 12:00:00",10195666666.6667,306.6333,414.4,
"02-Nov-2001 00:00:00",9669333333.3333,238.0333,465.3667,
"02-Dec-2001 12:00:00",8902666666.6667,203.9333,530.5333,
"02-Jan-2002 00:00:00",8099333333.3333,184.1667,511.7667,
"01-Feb-2002 12:00:00",7157666666.6667,161.2,510.3,
"04-Mar-2002 00:00:00",6543666666.6667,206.4667,417.8667,
"03-Apr-2002 12:00:00",6450666666.6667,641.0333,634.7667,
"04-May-2002 00:00:00",6948333333.3333,966.9667,713.6333,
"03-Jun-2002 12:00:00",8245666666.6667,1474.2333,948.1333,
"04-Jul-2002 00:00:00",9452000000,1720.4667,1229.4667,
"03-Aug-2002 12:00:00",10345666666.6667,1635.5333,1379.6,
"03-Sep-2002 00:00:00",10522333333.3333,820.1333,761.1667,
"03-Oct-2002 12:00:00",10444000000,404.2,478.9,
"03-Nov-2002 00:00:00",9875666666.6667,253.8667,540.6667,
"03-Dec-2002 12:00:00",8896333333.3333,225.3,595.2667,
"03-Jan-2003 00:00:00",8101666666.6667,189.1667,468.0333,
"02-Feb-2003 12:00:00",7277333333.3333,153.4667,490.9667,
"05-Mar-2003 00:00:00",6448666666.6667,126.3333,471.5333,
"04-Apr-2003 12:00:00",6242000000,513.3333,628.2333,
"05-May-2003 00:00:00",6105333333.3333,751.4667,792.1,
"04-Jun-2003 12:00:00",7218333333.3333,1446.2333,822.6333,
"05-Jul-2003 00:00:00",9428333333.3333,1774.7667,954.2333,
"04-Aug-2003 12:00:00",10447000000,1216.6667,1023.1,
"04-Sep-2003 00:00:00",10509333333.3333,780.3,710.4333,
"04-Oct-2003 12:00:00",10235000000,319.4,484.2,
"04-Nov-2003 00:00:00",9560666666.6667,251.2667,538.6,
"04-Dec-2003 12:00:00",8753333333.3333,234.1333,545.2,
"04-Jan-2004 00:00:00",7765333333.3333,146.8667,549.6667,
"03-Feb-2004 12:00:00",6824666666.6667,159.6333,495.6667,
"05-Mar-2004 00:00:00",6176000000,281.4667,474,
"04-Apr-2004 12:00:00",5966333333.3333,589.3333,620.2667,
"05-May-2004 00:00:00",6256333333.3333,936.5667,759.2,
"04-Jun-2004 12:00:00",7443000000,1436.8333,831.7333,
"05-Jul-2004 00:00:00",9191666666.6667,1507.2667,932.3333,
"04-Aug-2004 12:00:00",10187333333.3333,1227.9333,820.7,
"04-Sep-2004 00:00:00",10527666666.6667,785.4,692.3333,
"04-Oct-2004 12:00:00",10263666666.6667,336.8333,479.4667,
"04-Nov-2004 00:00:00",9670000000,249.7667,465.5,
"04-Dec-2004 12:00:00",8974333333.3333,251.8333,555.4667,
