"timed","stoobs","inflow","outflow",
"01-Jan-1970 00:00:00",23464000000,685.27,880.65,
"31-Jan-1970 12:00:00",23890000000,855.17,671.11,
"03-Mar-1970 00:00:00",23153000000,631.47,891.98,
"02-Apr-1970 12:00:00",24331000000,1110.02,611.64,
"03-May-1970 00:00:00",25846000000,1200.63,577.66,
"02-Jun-1970 12:00:00",25928000000,974.1,821.19,
"03-Jul-1970 00:00:00",24841000000,872.16,1166.65,
"02-Aug-1970 12:00:00",23871000000,843.84,1118.52,
"02-Sep-1970 00:00:00",22967000000,668.28,954.28,
"02-Oct-1970 12:00:00",22883000000,750.4,747.56,
"02-Nov-1970 00:00:00",23138000000,846.67,736.24,
"02-Dec-1970 12:00:00",22710000000,656.95,804.2,
"02-Jan-1971 00:00:00",23312000000,886.32,654.12,
"01-Feb-1971 12:00:00",24233000000,979.76,591.82,
"04-Mar-1971 00:00:00",26203000000,1370.54,620.14,
"03-Apr-1971 12:00:00",27157000000,1353.55,937.29,
"04-May-1971 00:00:00",27627000000,1359.21,1118.52,
"03-Jun-1971 12:00:00",27424000000,1350.71,1342.22,
"04-Jul-1971 00:00:00",26765000000,1124.18,1257.27,
"03-Aug-1971 12:00:00",25061000000,798.54,1316.73,
"03-Sep-1971 00:00:00",23728000000,676.77,1127.01,
"03-Oct-1971 12:00:00",22879000000,719.25,993.92,
"03-Nov-1971 00:00:00",21877000000,705.09,1070.38,
"03-Dec-1971 12:00:00",21523000000,628.63,750.4,
"03-Jan-1972 00:00:00",21780000000,835.35,685.27,
"02-Feb-1972 12:00:00",22319000000,869.33,645.62,
"04-Mar-1972 00:00:00",24312000000,1568.75,809.86,
"03-Apr-1972 12:00:00",24545000000,1223.29,1087.37,
"04-May-1972 00:00:00",26494000000,1580.08,795.7,
"03-Jun-1972 12:00:00",27114000000,1325.23,1013.74,
"04-Jul-1972 00:00:00",26515000000,891.98,1030.73,
"03-Aug-1972 12:00:00",25091000000,733.41,1177.98,
"03-Sep-1972 00:00:00",23249000000,552.18,1183.64,
"03-Oct-1972 12:00:00",21893000000,600.32,1067.55,
"03-Nov-1972 00:00:00",21370000000,654.12,838.18,
"03-Dec-1972 12:00:00",20900000000,597.49,761.72,
"03-Jan-1973 00:00:00",21812000000,886.32,540.85,
"02-Feb-1973 12:00:00",22104000000,795.7,668.28,
"05-Mar-1973 00:00:00",23642000000,1019.41,433.25,
"04-Apr-1973 12:00:00",24195000000,727.74,467.23,
"05-May-1973 00:00:00",24108000000,637.13,597.49,
"04-Jun-1973 12:00:00",23841000000,654.12,665.45,
"05-Jul-1973 00:00:00",23191000000,637.13,770.22,
"04-Aug-1973 12:00:00",22089000000,620.14,937.29,
"04-Sep-1973 00:00:00",21885000000,594.65,620.14,
"04-Oct-1973 12:00:00",21713000000,583.33,588.99,
"04-Nov-1973 00:00:00",22387000000,605.98,291.66,
"04-Dec-1973 12:00:00",22580000000,665.45,549.35,
"04-Jan-1974 00:00:00",23026000000,753.23,580.5,
"03-Feb-1974 12:00:00",23603000000,832.52,586.16,
"06-Mar-1974 00:00:00",24401000000,835.35,523.86,
"05-Apr-1974 12:00:00",24286000000,673.94,705.09,
"06-May-1974 00:00:00",24127000000,690.93,736.24,
"05-Jun-1974 12:00:00",23955000000,699.43,739.07,
"06-Jul-1974 00:00:00",23191000000,770.22,1016.57,
"05-Aug-1974 12:00:00",22620000000,764.55,911.8,
"05-Sep-1974 00:00:00",21882000000,690.93,894.81,
"05-Oct-1974 12:00:00",22054000000,818.36,685.27,
"05-Nov-1974 00:00:00",22314000000,724.91,566.34,
"05-Dec-1974 12:00:00",22818000000,756.06,526.69,
"05-Jan-1975 00:00:00",22589000000,566.34,642.79,
"04-Feb-1975 12:00:00",23407000000,852.34,506.87,
"07-Mar-1975 00:00:00",23831000000,829.68,656.95,
"06-Apr-1975 12:00:00",24579000000,993.92,696.59,
"07-May-1975 00:00:00",25888000000,1308.24,804.2,
"06-Jun-1975 12:00:00",26594000000,1277.09,982.59,
"07-Jul-1975 00:00:00",27453000000,1730.16,1370.54,
"06-Aug-1975 12:00:00",27600000000,1582.91,1466.81,
"06-Sep-1975 00:00:00",26128000000,1033.56,1509.29,
"06-Oct-1975 12:00:00",24223000000,942.95,1582.91,
"06-Nov-1975 00:00:00",22705000000,954.28,1466.81,
"06-Dec-1975 12:00:00",22788000000,829.68,761.72,
"06-Jan-1976 00:00:00",22722000000,719.25,736.24,
"05-Feb-1976 12:00:00",23362000000,1042.06,781.55,
"07-Mar-1976 00:00:00",23253000000,863.66,891.98,
"06-Apr-1976 12:00:00",23443000000,979.76,897.64,
"07-May-1976 00:00:00",23773000000,1036.4,894.81,
"06-Jun-1976 12:00:00",24328000000,1251.6,1005.25,
"07-Jul-1976 00:00:00",23948000000,1056.22,1158.16,
"06-Aug-1976 12:00:00",23428000000,920.3,1027.9,
"06-Sep-1976 00:00:00",22353000000,761.72,1073.21,
"06-Oct-1976 12:00:00",22219000000,722.08,705.09,
"06-Nov-1976 00:00:00",22374000000,829.68,727.74,
"06-Dec-1976 12:00:00",22339000000,676.77,651.29,
"06-Jan-1977 00:00:00",22633000000,846.67,727.74,
"05-Feb-1977 12:00:00",23700000000,869.33,421.92,
"08-Mar-1977 00:00:00",23992000000,747.56,628.63,
"07-Apr-1977 12:00:00",23765000000,506.87,583.33,
"08-May-1977 00:00:00",23222000000,484.22,671.11,
"07-Jun-1977 12:00:00",22854000000,512.53,631.47,
"08-Jul-1977 00:00:00",21919000000,512.53,829.68,
"07-Aug-1977 12:00:00",20577000000,436.08,891.98,
"07-Sep-1977 00:00:00",19898000000,523.86,727.74,
"07-Oct-1977 12:00:00",19450000000,407.76,535.19,
"07-Nov-1977 00:00:00",19034000000,458.73,563.51,
"07-Dec-1977 12:00:00",19193000000,628.63,526.69,
"07-Jan-1978 00:00:00",19894000000,795.7,526.69,
"06-Feb-1978 12:00:00",21230000000,937.29,379.45,
"09-Mar-1978 00:00:00",24825000000,1648.04,294.5,
"08-Apr-1978 12:00:00",26670000000,1050.55,331.31,
"09-May-1978 00:00:00",27099000000,741.9,569.17,
"08-Jun-1978 12:00:00",26931000000,957.11,999.58,
"09-Jul-1978 00:00:00",26835000000,1146.83,1155.33,
"08-Aug-1978 12:00:00",26198000000,1146.83,1313.9,
"08-Sep-1978 00:00:00",24927000000,951.45,1330.89,
"08-Oct-1978 12:00:00",23559000000,891.98,1325.23,
"08-Nov-1978 00:00:00",22971000000,962.77,1112.85,
"08-Dec-1978 12:00:00",22625000000,688.1,767.39,
"08-Jan-1979 00:00:00",23147000000,894.81,693.76,
"07-Feb-1979 12:00:00",23578000000,920.3,733.41,
"10-Mar-1979 00:00:00",24709000000,920.3,487.05,
"09-Apr-1979 12:00:00",26494000000,1254.44,557.84,
"10-May-1979 00:00:00",26900000000,1095.86,928.79,
"09-Jun-1979 12:00:00",27221000000,1138.34,988.26,
"10-Jul-1979 00:00:00",26968000000,872.16,940.12,
"09-Aug-1979 12:00:00",26052000000,620.14,908.97,
"09-Sep-1979 00:00:00",25151000000,546.52,792.87,
"09-Oct-1979 12:00:00",23904000000,438.91,818.36,
"09-Nov-1979 00:00:00",23159000000,427.58,648.46,
"09-Dec-1979 12:00:00",22848000000,566.34,631.47,
"09-Jan-1980 00:00:00",22500000000,580.5,699.43,
"08-Feb-1980 12:00:00",23214000000,849.51,555.01,
"10-Mar-1980 00:00:00",23922000000,889.15,614.48,
"09-Apr-1980 12:00:00",23943000000,617.31,597.49,
"10-May-1980 00:00:00",23112000000,509.7,801.37,
"09-Jun-1980 12:00:00",22668000000,642.79,790.04,
"10-Jul-1980 00:00:00",22020000000,696.59,906.14,
"09-Aug-1980 12:00:00",20916000000,668.28,1022.24,
"09-Sep-1980 00:00:00",20192000000,631.47,835.35,
"09-Oct-1980 12:00:00",20020000000,713.58,702.26,
"09-Nov-1980 00:00:00",19816000000,713.58,733.41,
"09-Dec-1980 12:00:00",20258000000,637.13,430.42,
"09-Jan-1981 00:00:00",20635000000,750.4,535.19,
"08-Feb-1981 12:00:00",21253000000,843.84,580.5,
"11-Mar-1981 00:00:00",21377000000,736.24,676.77,
"10-Apr-1981 12:00:00",19963000000,467.23,1005.25,
"11-May-1981 00:00:00",19960000000,532.36,866.5,
"10-Jun-1981 12:00:00",19181000000,795.7,724.91,
"11-Jul-1981 00:00:00",19273000000,891.98,835.35,
"10-Aug-1981 12:00:00",18796000000,750.4,886.32,
"10-Sep-1981 00:00:00",18291000000,594.65,719.25,
"10-Oct-1981 12:00:00",17903000000,475.72,566.34,
"10-Nov-1981 00:00:00",17903000000,492.71,433.25,
"10-Dec-1981 12:00:00",17979000000,555.01,489.88,
"10-Jan-1982 00:00:00",18359000000,722.08,572,
"09-Feb-1982 12:00:00",19796000000,1044.89,441.74,
"12-Mar-1982 00:00:00",21536000000,1203.47,543.68,
"11-Apr-1982 12:00:00",22504000000,1081.7,702.26,
"12-May-1982 00:00:00",24600000000,1364.87,572,
"11-Jun-1982 12:00:00",25599000000,883.49,484.22,
"12-Jul-1982 00:00:00",25621000000,807.03,770.22,
"11-Aug-1982 12:00:00",24769000000,656.95,917.47,
"11-Sep-1982 00:00:00",23641000000,549.35,908.97,
"11-Oct-1982 12:00:00",23624000000,693.76,651.29,
"11-Nov-1982 00:00:00",23927000000,934.46,758.89,
"11-Dec-1982 12:00:00",23603000000,705.09,775.88,
"11-Jan-1983 00:00:00",22818000000,552.18,835.35,
"10-Feb-1983 12:00:00",23443000000,914.63,648.46,
"13-Mar-1983 00:00:00",25036000000,1115.68,504.04,
"12-Apr-1983 12:00:00",26235000000,747.56,277.51,
"13-May-1983 00:00:00",27031000000,631.47,319.98,
"12-Jun-1983 12:00:00",26915000000,557.84,583.33,
"13-Jul-1983 00:00:00",26884000000,566.34,546.52,
"12-Aug-1983 12:00:00",25996000000,773.05,1030.73,
"12-Sep-1983 00:00:00",25471000000,696.59,804.2,
"12-Oct-1983 12:00:00",24378000000,413.43,761.72,
"12-Nov-1983 00:00:00",23577000000,492.71,741.9,
"12-Dec-1983 12:00:00",22799000000,577.66,821.19,
"12-Jan-1984 00:00:00",23807000000,818.36,433.25,
"11-Feb-1984 12:00:00",24749000000,903.31,518.2,
"13-Mar-1984 00:00:00",25038000000,693.76,574.83,
"12-Apr-1984 12:00:00",25751000000,583.33,300.16,
"13-May-1984 00:00:00",26615000000,594.65,252.02,
"12-Jun-1984 12:00:00",27783000000,815.53,345.47,
"13-Jul-1984 00:00:00",27357000000,611.64,741.9,
"12-Aug-1984 12:00:00",25971000000,770.22,1214.79,
"12-Sep-1984 00:00:00",24619000000,719.25,1163.82,
"12-Oct-1984 12:00:00",23811000000,668.28,906.14,
"12-Nov-1984 00:00:00",23170000000,744.73,928.79,
"12-Dec-1984 12:00:00",22601000000,634.3,798.54,
"12-Jan-1985 00:00:00",22958000000,773.05,631.47,
"11-Feb-1985 12:00:00",23911000000,900.48,495.54,
"14-Mar-1985 00:00:00",24851000000,815.53,450.24,
"13-Apr-1985 12:00:00",24487000000,526.69,656.95,
"14-May-1985 00:00:00",24328000000,549.35,591.82,
"13-Jun-1985 12:00:00",23765000000,591.82,790.04,
"14-Jul-1985 00:00:00",22732000000,543.68,897.64,
"13-Aug-1985 12:00:00",21909000000,546.52,807.03,
"13-Sep-1985 00:00:00",21383000000,509.7,654.12,
"13-Oct-1985 12:00:00",21126000000,410.59,447.41,
"13-Nov-1985 00:00:00",20472000000,447.41,639.96,
"13-Dec-1985 12:00:00",20406000000,639.96,620.14,
"13-Jan-1986 00:00:00",21273000000,798.54,464.4,
"12-Feb-1986 12:00:00",22145000000,846.67,478.55,
"15-Mar-1986 00:00:00",25151000000,1404.52,269.01,
"14-Apr-1986 12:00:00",27093000000,1047.72,288.83,
"15-May-1986 00:00:00",27660000000,792.87,563.51,
"14-Jun-1986 12:00:00",27389000000,540.85,622.97,
"15-Jul-1986 00:00:00",26709000000,603.15,826.85,
"14-Aug-1986 12:00:00",25513000000,668.28,1056.22,
