"timed","stoobs","inflow","outflow",
"01-Jan-1996",359235099.7266,9.84,13,
"02-Jan-1996",358693109.3594,17.454,13.6,
"03-Jan-1996",357791173.2188,16.354,13.6,
"04-Jan-1996",357070865.9297,14.964,13.6,
"05-Jan-1996",356531359,14.004,13.6,
"06-Jan-1996",355454203.4922,13.494,13.6,
"07-Jan-1996",354737474.6953,13.884,13.6,
"08-Jan-1996",354021844.5078,14.824,13.6,
"09-Jan-1996",353664440.9844,15.594,13.6,
"10-Jan-1996",353307311.6719,16.354,13.6,
"11-Jan-1996",353128849.7813,17.214,13.6,
"12-Jan-1996",352593875.0156,18.394,13.6,
"13-Jan-1996",352059516.2188,17.234,13.6,
"14-Jan-1996",351881533.3906,16.364,13.6,
"15-Jan-1996",350992644.4063,15.854,13.6,
"16-Jan-1996",349928230.4375,15.414,13.6,
"17-Jan-1996",349043093.375,14.764,13.6,
"18-Jan-1996",347983174.9922,14.494,13.6,
"19-Jan-1996",346925703.1406,14.404,13.6,
"20-Jan-1996",346397883.4141,14.184,13.6,
"21-Jan-1996",345870673.8359,13.974,13.6,
"22-Jan-1996",345168675.9844,13.704,13.6,
"23-Jan-1996",344993345.7344,13.494,13.6,
"24-Jan-1996",344467760.7734,13.264,13.6,
"25-Jan-1996",343942784.1406,13.004,13.6,
"26-Jan-1996",343767927.0313,12.804,13.6,
"27-Jan-1996",343593137.4453,12.554,13.6,
"28-Jan-1996",343593137.4453,12.384,13.6,
"29-Jan-1996",343069173.5781,12.234,13.6,
"30-Jan-1996",342720201.6094,12.084,13.6,
"31-Jan-1996",342197249.1563,11.934,13.6,
"01-Feb-1996",341848950.9688,11.794,13.6,
"02-Feb-1996",341500922.0625,11.664,13.6,
"03-Feb-1996",340979383.2734,11.524,13.6,
"04-Feb-1996",340632026.8828,11.334,13.6,
"05-Feb-1996",340111496.2109,11.334,13.6,
"06-Feb-1996",339938120.2734,11.474,13.6,
"07-Feb-1996",339764811.4375,12.064,13.6,
"08-Feb-1996",339938120.2734,12.994,17.3,
"09-Feb-1996",342197249.1563,16.054,17.3,
"10-Feb-1996",344642888.1328,16.224,17.3,
"11-Feb-1996",345519539.5156,17.074,17.3,
"12-Feb-1996",346222079.125,19.294,17.3,
"13-Feb-1996",346925703.1406,22.124,17.3,
"14-Feb-1996",348159658.0625,25.664,17.3,
"15-Feb-1996",349573971.2422,24.464,17.3,
"16-Feb-1996",350282762.2578,23.224,17.3,
"17-Feb-1996",350992644.4063,18.814,17.3,
"18-Feb-1996",351703618.9297,18.774,17.3,
"19-Feb-1996",352593875.0156,19.124,17.3,
"20-Feb-1996",353128849.7813,18.304,17.3,
"21-Feb-1996",353485842.0547,17.644,17.3,
"22-Feb-1996",354021844.5078,17.064,17.3,
"23-Feb-1996",354021844.5078,17.394,17.3,
"24-Feb-1996",354021844.5078,16.254,17.3,
"25-Feb-1996",354021844.5078,16.064,17.3,
"26-Feb-1996",353128849.7813,15.954,17.3,
"27-Feb-1996",352772131.4766,15.794,17.3,
"28-Feb-1996",352415687,15.714,17.3,
"29-Feb-1996",352237567.4141,15.604,17.3,
"01-Mar-1996",351881533.3906,15.554,21.4,
"02-Mar-1996",351703618.9297,15.514,21.4,
"03-Mar-1996",351525772.8516,15.254,21.4,
"04-Mar-1996",351347995.0625,14.734,21.4,
"05-Mar-1996",350815071.5156,14.534,21.4,
"06-Mar-1996",349928230.4375,15.064,21.4,
"07-Mar-1996",349751066.7656,18.234,21.4,
"08-Mar-1996",349219984.5781,21.774,21.4,
"09-Mar-1996",349396943.8594,21.674,21.4,
"10-Mar-1996",353485842.0547,22.864,21.4,
"11-Mar-1996",356890961.4375,22.864,21.4,
"12-Mar-1996",359235099.7266,22.084,21.4,
"13-Mar-1996",360864805.4844,21.594,21.4,
"14-Mar-1996",362136233.9375,21.474,21.4,
"15-Mar-1996",363775926.8906,21.467,21.4,
"16-Mar-1996",365238163.3047,21.047,21.4,
"17-Mar-1996",366154326.9609,20.567,21.4,
"18-Mar-1996",366704862.9688,20.187,21.4,
"19-Mar-1996",367256027.9453,19.917,21.4,
"20-Mar-1996",367256027.9453,19.657,21.4,
"21-Mar-1996",367623820.9375,18.967,21.5,
"22-Mar-1996",367623820.9375,18.686,23,
"23-Mar-1996",367439889.4688,18.23,24.2,
"24-Mar-1996",367072236.3516,18.012,24.1,
"25-Mar-1996",365787652.1484,18.103,24,
"26-Mar-1996",365421256.4922,17.853,24.1,
"27-Mar-1996",365055139.8906,17.748,24.1,
"28-Mar-1996",364141068.0859,16.957,24.1,
"29-Mar-1996",363593460.6953,17.037,24.1,
"30-Mar-1996",362864291.3438,17.131,24.1,
"31-Mar-1996",362136233.9375,17.145,24.1,
"01-Apr-1996",361590919.8672,17.217,27.3,
"02-Apr-1996",360139799.7188,17.362,32.9,
"03-Apr-1996",358873703.7266,22.943,38.7,
"04-Apr-1996",357250839.375,33.948,44,
"05-Apr-1996",355992471.6953,39.752,46,
"06-Apr-1996",357250839.375,51.32,46,
"07-Apr-1996",358512584.0859,55.899,45.8,
"08-Apr-1996",359777712.1875,61.614,45.8,
"09-Apr-1996",362136233.9375,78.51,52.5,
"10-Apr-1996",366154326.9609,104.56,65.7,
"11-Apr-1996",369651690.0859,83.56,81.7,
"12-Apr-1996",369836462.5547,68.966,99.2,
"13-Apr-1996",367623820.9375,57.754,105,
