"timed","stoobs","inflow","outflow",
"01-Jan-1995",2076953355.9615,220.5033,0,
"02-Jan-1995",2076146658.1266,45.1937,54.4533,
"03-Jan-1995",2067853952.4017,35.2545,130.1725,
"04-Jan-1995",2061305391.5369,56.3788,131.3619,
"05-Jan-1995",2057979921.563,66.5729,104.6024,
"06-Jan-1995",2056947496.3523,351.7599,80.1367,
"07-Jan-1995",2080415742.5404,670.2259,80.1367,
"08-Jan-1995",2140742925.5831,575.3983,80.1367,
"09-Jan-1995",2267478362.5033,1498.1028,40.2099,
"10-Jan-1995",2442822894.6503,2049.4601,35.3677,
"11-Jan-1995",2544376777.5954,1180.3028,13.762,
"12-Jan-1995",2608526524.2319,878.5585,141.924,
"13-Jan-1995",2769714372.8142,1973.6276,122.6969,
"14-Jan-1995",2991007377.512,2634.741,122.6969,
"15-Jan-1995",3103457848.6431,1318.6306,94.6349,
"16-Jan-1995",3161168814.3955,815.4685,27.8921,
"17-Jan-1995",3194839197.8811,541.4181,154.7232,
"18-Jan-1995",3216166117.7062,393.4059,148.4935,
"19-Jan-1995",3232543070.5413,327.5976,139.4038,
"20-Jan-1995",3243600011.5079,274.9385,150.3625,
"21-Jan-1995",3254363383.5376,379.4453,129.408,
"22-Jan-1995",3275966603.5386,274.0788,25.4002,
"23-Jan-1995",3289510246.088,331.3071,177.0369,
"24-Jan-1995",3302955210.0032,359.7372,198.2179,
"25-Jan-1995",3315293739.732,334.2804,196.2074,
"26-Jan-1995",3329433154.5357,346.9097,182.4171,
"27-Jan-1995",3340062076.9262,214.8285,231.6318,
"28-Jan-1995",3338610267.52,323.1912,369.818,
"29-Jan-1995",3334581712.2771,322.7554,368.7703,
"30-Jan-1995",3332007433.4064,341.756,363.8148,
"31-Jan-1995",3340545602.234,436.5608,345.9186,
"01-Feb-1995",3361883623.4055,587.6312,342.2374,
"02-Feb-1995",3383805082.0019,1185.6264,367.1562,
"03-Feb-1995",3385269226.2374,436.1193,496.3943,
"04-Feb-1995",3380061461.3154,385.4808,496.3943,
"05-Feb-1995",3370478532.4478,388.224,496.1112,
"06-Feb-1995",3363180013.9628,372.8762,456.241,
"07-Feb-1995",3356700528.142,359.631,410.1695,
"08-Feb-1995",3352333998.5769,343.455,395.4448,
"09-Feb-1995",3341837058.8596,293.7023,413.7941,
"10-Feb-1995",3329751393.1311,249.9651,404.3646,
"11-Feb-1995",3316411275.2648,243.5766,408.6121,
"12-Feb-1995",3302152212.6171,267.8224,402.9487,
"13-Feb-1995",3290477296.7036,268.9817,410.0279,
"14-Feb-1995",3275807484.2409,246.5831,414.8984,
"15-Feb-1995",3257850439.775,201.0496,406.6299,
"16-Feb-1995",3241542561.984,213.9055,400.4568,
"17-Feb-1995",3230019364.4706,231.5082,337.2536,
"18-Feb-1995",3220882956.4229,287.0348,314.317,
"19-Feb-1995",3218525770.5475,188.5753,248.6219,
"20-Feb-1995",3213337741.3523,213.2542,270.1427,
"21-Feb-1995",3210981788.9598,209.0633,235.2847,
"22-Feb-1995",3214438008.1241,216.369,176.1874,
"23-Feb-1995",3216166117.7062,204.4476,184.0029,
"24-Feb-1995",3221198728.0524,301.1606,166.2199,
"25-Feb-1995",3232857608.6879,245.6176,88.3486,
"26-Feb-1995",3246445656.6228,201.6159,44.9388,
"27-Feb-1995",3250243550.5581,224.6659,180.5765,
"28-Feb-1995",3257683919.5798,220.4183,134.1935,
"01-Mar-1995",3269117072.8394,222.7969,89.4246,
"02-Mar-1995",3284880984.6592,292.4564,109.5296,
"03-Mar-1995",3313850564.7062,562.8879,130.5407,
"04-Mar-1995",3351205361.6978,362.7372,130.5407,
"05-Mar-1995",3383157503.4647,369.3083,3.9644,
"06-Mar-1995",3394399466.8705,311.1172,179.8969,
"07-Mar-1995",3387227997.1271,255.6445,335.5546,
"08-Mar-1995",3376166122.2288,297.0154,408.5555,
"09-Mar-1995",3518117804.5489,2226.8934,604.6496,
"10-Mar-1995",3660256976.274,957.8902,371.8002,
"11-Mar-1995",3710895150.9172,2836.0738,2299.781,
"12-Mar-1995",3658537501.0724,1778.836,2379.7478,
"13-Mar-1995",3588521309.6304,1560.9379,2369.6953,
"14-Mar-1995",3518619832.1006,1524.0976,2345.3995,
"15-Mar-1995",3471835058.1245,1414.3982,1932.0018,
"16-Mar-1995",3421386839.8522,1029.2891,1606.0749,
"17-Mar-1995",3377790619.245,820.9054,1318.7722,
"18-Mar-1995",3353631622.6172,892.2072,1155.0442,
"19-Mar-1995",3324769355.5849,790.8895,1164.3321,
"20-Mar-1995",3330398971.6683,1153.8265,1029.8271,
"21-Mar-1995",3350721836.39,1103.9039,886.7704,
"22-Mar-1995",3378116258.738,1170.8167,858.6801,
"23-Mar-1995",3383808782.4507,920.1842,872.8102,
"24-Mar-1995",3377953438.9915,742.5244,796.3547,
"25-Mar-1995",3371942676.6833,673.5445,736.1531,
"26-Mar-1995",3359620182.2326,611.5306,738.6449,
"27-Mar-1995",3369832187.3935,540.8518,436.9856,
"28-Mar-1995",3377140573.7419,501.1799,411.8685,
"29-Mar-1995",3393745720.9187,481.8111,293.0227,
"30-Mar-1995",3406812005.575,462.6406,310.8623,
"31-Mar-1995",3421222786.6228,476.1761,304.4061,
"01-Apr-1995",3437977185.2338,493.9024,304.1796,
"02-Apr-1995",3457600665.1354,474.7602,248.1688,
"03-Apr-1995",3472498671.9397,490.8725,313.9772,
"04-Apr-1995",3481783097.9388,474.024,369.7897,
"05-Apr-1995",3488928664.5407,490.3628,406.4034,
"06-Apr-1995",3505588084.9663,607.9627,411.7269,
"07-Apr-1995",3559937809.7398,693.5355,392.1317,
"08-Apr-1995",3585979101.3157,678.0291,654.4873,
"09-Apr-1995",3588013114.664,661.7775,744.1667,
"10-Apr-1995",3580894684.6865,649.0221,727.035,
"11-Apr-1995",3567871571.9327,573.7616,735.8133,
"12-Apr-1995",3553870307.217,573.0197,735.0204,
"13-Apr-1995",3559765122.1299,728.5641,655.535,
"14-Apr-1995",3577001812.5658,626.1491,443.725,
"15-Apr-1995",3592763257.4197,587.5524,396.6624,
"16-Apr-1995",3609256157.65,535.868,350.2794,
"17-Apr-1995",3621019884.3344,477.3371,336.9422,
"18-Apr-1995",3628193821.0436,463.8299,384.7976,
"19-Apr-1995",3629390299.4838,427.8392,408.8386,
"20-Apr-1995",3631442815.076,416.8806,393.7174,
"21-Apr-1995",3631099906.822,398.9277,403.2319,
"22-Apr-1995",3636918245.7934,383.8349,311.1455,
"23-Apr-1995",3648916334.234,375.1133,233.2175,
"24-Apr-1995",3656989479.9978,380.7766,288.9168,
"25-Apr-1995",3673171542.5302,397.7384,207.9023,
"26-Apr-1995",3694076611.194,424.1297,178.5944,
"27-Apr-1995",3721151561.4636,451.6254,140.9896,
"28-Apr-1995",3746267740.8435,1203.5925,251.2837,
"29-Apr-1995",3828547219.5557,1205.4945,423.9032,
"30-Apr-1995",3896076709.4149,1911.0159,695.1786,
"01-May-1995",4001125049.4951,2492.9869,1293.825,
"02-May-1995",4014699529.1178,1860.8982,1710.4791,
"03-May-1995",3981579279.018,1347.2872,1723.5615,
"04-May-1995",3927804357.289,1086.9422,1713.1126,
"05-May-1995",3874726353.4142,1486.5887,1538.3693,
"06-May-1995",3870252510.8343,812.9696,887.4783,
"07-May-1995",3863814963.4331,771.1527,829.5137,
"08-May-1995",3863279631.8424,683.2855,689.9117,
"09-May-1995",3876697459.1331,611.9271,450.068,
"10-May-1995",3896435652.947,576.5027,353.8756,
"11-May-1995",3914803447.2278,574.0108,359.539,
"12-May-1995",3935946578.0967,618.6843,309.8996,
"13-May-1995",3962625580.3464,607.6728,265.8952,
"14-May-1995",3992155161.6427,539.266,197.4251,
"15-May-1995",4009925950.1864,550.4795,341.6994,
"16-May-1995",4016352396.2413,531.2807,353.281,
"17-May-1995",4038626630.9551,504.2947,354.2154,
"18-May-1995",4053587545.3888,530.2046,350.1095,
"19-May-1995",4081953952.284,561.9513,210.3659,
"20-May-1995",4112330936.3519,697.3493,191.4785,
"21-May-1995",4156038170.4227,532.6965,28.5717,
"22-May-1995",4181883338.213,537.9635,239.4756,
"23-May-1995",4202727966.2133,532.0735,292.0316,
"24-May-1995",4214696451.0637,512.2234,371.602,
