"timed","stoobs","inflow","outflow",
"01-Jan-1970",983702635.08,52.28,30.8653,
"02-Jan-1970",985552859.472,51.9968,23.444,
"03-Jan-1970",988019825.328,59.1349,30.5821,
"04-Jan-1970",990486791.184,59.1349,44.8585,
"05-Jan-1970",991720274.112,44.8587,30.5823,
"06-Jan-1970",992953757.04,44.8587,30.5823,
"07-Jan-1970",994187239.968,54.7696,54.7696,
"08-Jan-1970",994187239.968,41.9089,41.9089,
"09-Jan-1970",994187239.968,41.9089,41.9089,
"10-Jan-1970",997887688.752,74.5441,45.9913,
"11-Jan-1970",1000354654.608,59.1349,2.0292,
"12-Jan-1970",1005288586.32,87.6879,44.8587,
"13-Jan-1970",1008989035.104,73.4114,30.5822,
"14-Jan-1970",1012689483.888,73.1283,30.299,
"15-Jan-1970",1016389932.672,73.1283,30.299,
"16-Jan-1970",1020090381.456,73.1283,30.299,
"17-Jan-1970",1023790830.24,72.8451,30.0158,
"18-Jan-1970",1027491279.024,72.8451,15.7394,
"19-Jan-1970",1032425210.736,87.4048,44.5755,
"20-Jan-1970",1036125659.52,73.1283,30.299,
"21-Jan-1970",1039826108.304,73.1283,16.0226,
"22-Jan-1970",1044760040.016,87.6879,30.5822,
"23-Jan-1970",1049693971.728,87.4048,44.5755,
"24-Jan-1970",1053394420.512,73.4114,16.3057,
"25-Jan-1970",1058328352.224,87.4048,44.5755,
"26-Jan-1970",1062028801.008,73.4114,30.5822,
"27-Jan-1970",1065729249.792,73.1283,30.299,
"28-Jan-1970",1069429698.576,75.3936,46.8408,
"29-Jan-1970",1071896664.432,59.4181,30.8652,
"30-Jan-1970",1074363630.288,59.9844,31.4316,
"31-Jan-1970",1076830596.144,59.7013,16.872,
"01-Feb-1970",1080531044.928,73.9778,45.4249,
"02-Feb-1970",1082998010.784,59.9844,17.1552,
"03-Feb-1970",1086698459.568,73.9778,45.4249,
"04-Feb-1970",1089165425.424,59.7013,16.872,
"05-Feb-1970",1092865874.208,73.9778,45.4249,
"06-Feb-1970",1095332840.064,60.5508,31.9979,
"07-Feb-1970",1097799805.92,61.4003,32.8474,
"08-Feb-1970",1100266771.776,61.9666,33.4138,
"09-Feb-1970",1102733737.632,60.8339,32.2811,
"10-Feb-1970",1105200703.488,60.2676,31.7147,
"11-Feb-1970",1107667669.344,59.7013,31.1484,
"12-Feb-1970",1110134635.2,59.9844,31.4316,
"13-Feb-1970",1112601601.056,60.2676,17.4383,
"14-Feb-1970",1116302049.84,74.2609,45.7081,
"15-Feb-1970",1118769015.696,59.9844,45.708,
"16-Feb-1970",1120002498.624,69.4944,69.4944,
"17-Feb-1970",1120002498.624,62.8634,62.8634,
"18-Feb-1970",1120002498.624,67.1109,67.1109,
"19-Feb-1970",1120002498.624,52.6693,24.1165,
"20-Feb-1970",1122469464.48,59.9844,17.1552,
"21-Feb-1970",1126169913.264,74.5441,45.9913,
