"timed","stoobs","inflow","outflow",
"01-Jan-1951",790822212.1,4.9271,13.9319,
"02-Jan-1951",789305029.4,15.6875,36.0757,
"03-Jan-1951",788342913.6,9.0048,36.4155,
"04-Jan-1951",784741146.6,3.9644,29.3646,
"05-Jan-1951",782224843.7,6.881,26.0515,
"06-Jan-1951",780534973.5,6.881,36.4155,
"07-Jan-1951",779868893.3,16.7919,24.4941,
"08-Jan-1951",778524398.1,12.2895,27.8638,
"09-Jan-1951",776686510.2,10.5622,31.8281,
"10-Jan-1951",774675934.8,10.0808,33.3572,
"11-Jan-1951",772505006.8,10.7038,35.8208,
"12-Jan-1951",770519101,4.8988,27.8921,
"13-Jan-1951",768890905,5.7483,18.8307,
"14-Jan-1951",767694427.6,5.7483,17.8396,
"15-Jan-1951",765375481.7,5.7766,40.1533,
"16-Jan-1951",763562263.4,9.2879,18.9723,
"17-Jan-1951",761761379.9,9.3162,41.4559,
"18-Jan-1951",760120849.1,8.042,27.0426,
"19-Jan-1951",758813358.3,18.8873,34.0085,
"20-Jan-1951",757493532.8,8.6083,23.8711,
"21-Jan-1951",756025689.4,6.0032,17.3299,
"22-Jan-1951",753904100.6,8.6083,38.8224,
"23-Jan-1951",751955199.3,10.4772,33.0458,
"24-Jan-1951",750006298,12.9125,35.481,
"25-Jan-1951",748069731.5,7.1925,29.6194,
"26-Jan-1951",746293517.7,6.1448,26.7028,
"27-Jan-1951",744196598.5,16.6786,40.9462,
"28-Jan-1951",742753424.8,9.4295,26.1364,
"29-Jan-1951",739867077.3,5.5218,39.6719,
"30-Jan-1951",736832711.9,7.0509,41.4275,
"31-Jan-1951",734131386.7,9.118,40.3798,
"01-Feb-1951",731430061.5,7.0792,38.341,
"02-Feb-1951",729222129,16.0273,41.5691,
"03-Feb-1951",728111995.3,12.063,24.9188,
"04-Feb-1951",727001861.7,7.0226,19.8784,
"05-Feb-1951",724793929.2,7.1075,32.6493,
"06-Feb-1951",722598331.5,8.3252,33.7254,
"07-Feb-1951",720415068.7,8.9198,34.1784,
"08-Feb-1951",718848546.7,10.279,28.4018,
"09-Feb-1951",717134007,10.7887,30.6388,
"10-Feb-1951",715727837.7,9.4861,25.7683,
"11-Feb-1951",715111096.7,5.2103,12.3461,
"12-Feb-1951",713396557,25.5984,45.4485,
"13-Feb-1951",711694352,14.4133,34.1218,
"14-Feb-1951",709831794.5,7.6739,29.223,
"15-Feb-1951",708598312.6,22.5119,36.7836,
"16-Feb-1951",706896107.7,10.5622,30.2707,
"17-Feb-1951",705970996.3,14.0168,24.7206,
"18-Feb-1951",705045884.9,10.7038,21.4075,
"19-Feb-1951",702739273.9,10.6755,37.3782,
"20-Feb-1951",700444997.7,5.0404,28.7699,
"21-Feb-1951",698150721.4,10.0242,39.4171,
"22-Feb-1951",696312833.5,9.4012,30.6671,
"23-Feb-1951",694339262.6,14.1301,36.9818,
"24-Feb-1951",692353356.8,11.3267,34.32,
"25-Feb-1951",692057321.2,3.1998,14.3566,
"26-Feb-1951",690379785.8,8.8632,34.8297,
"27-Feb-1951",688714585.4,15.6309,34.9147,
"28-Feb-1951",686901367.1,17.5848,38.5675,
"01-Mar-1951",685396519.2,19.8501,37.265,
