"timed","stoobs","inflow","outflow",
"01-Jan-1980",4274350000,4.1042,15.0463,
"02-Jan-1980",4271250000,37.0579,65.8565,
"03-Jan-1980",4265050000,0,62.037,
"04-Jan-1980",4261950000,41.0868,70.0231,
"05-Jan-1980",4258850000,36.7176,65.5093,
"06-Jan-1980",4255750000,36.1655,65.0463,
"07-Jan-1980",4252640000,38.6528,67.5926,
"08-Jan-1980",4249550000,27.6898,56.4815,
"09-Jan-1980",4246450000,22.5081,51.3889,
"10-Jan-1980",4243350000,34.7859,63.6574,
"11-Jan-1980",4238700000,16.2535,63.0787,
"12-Jan-1980",4234050000,74.86,121.6435,
"13-Jan-1980",4226300000,21.7176,104.3981,
"14-Jan-1980",4220100000,90.9109,155.6713,
"15-Jan-1980",4209250000,45.8241,164.4676,
"16-Jan-1980",4199950000,55.7361,156.4815,
"17-Jan-1980",4189100000,25.088,143.75,
"18-Jan-1980",4179800000,28.2407,128.9352,
"19-Jan-1980",4172050000,0.0011574,82.9861,
"20-Jan-1980",4168950000,25.6065,54.5139,
"21-Jan-1980",4161200000,11.9259,94.7917,
"22-Jan-1980",4155000000,43.588,108.3333,
"23-Jan-1980",4151900000,33.2488,62.2685,
"24-Jan-1980",4148800000,53.8472,82.8704,
"25-Jan-1980",4145700000,75.8889,104.8611,
"26-Jan-1980",4145700000,13.8067,6.9444,
"27-Jan-1980",4147250000,24.8611,0,
"28-Jan-1980",4145700000,47.8877,58.912,
"29-Jan-1980",4142130000,35.0301,64.0046,
"30-Jan-1980",4141050000,49.9063,60.9954,
"31-Jan-1980",4139500000,54.4988,65.5093,
"01-Feb-1980",4131750000,11.5903,92.2454,
"02-Feb-1980",4125550000,12.4039,75.1157,
"03-Feb-1980",4123990000,41.6412,50.5787,
"04-Feb-1980",4114700000,9.8843,108.5648,
"05-Feb-1980",4106950000,45.4248,126.1574,
"06-Feb-1980",4105400000,79.7153,88.6574,
"07-Feb-1980",4097640000,3.3368,84.1435,
"08-Feb-1980",4091450000,9.6898,72.4537,
"09-Feb-1980",4086800000,13.1771,57.9861,
"10-Feb-1980",4082150000,1.6771,46.5278,
"11-Feb-1980",4075950000,9.3854,72.2222,
"12-Feb-1980",4068200000,5.8438,86.5741,
"13-Feb-1980",4057350000,20.8831,137.5,
"14-Feb-1980",4055800000,52.1968,61.2269,
"15-Feb-1980",4054250000,31.8808,40.8565,
"16-Feb-1980",4051150000,7.4352,34.375,
"17-Feb-1980",4048050000,13.1273,40.0463,
"18-Feb-1980",4044950000,10.566,37.5,
"19-Feb-1980",4039750000,18.3796,69.6759,
"20-Feb-1980",4034100000,0.36806,56.8287,
"21-Feb-1980",4029450000,16.544,61.4583,
"22-Feb-1980",4023250000,6.4954,69.3287,
"23-Feb-1980",4018600000,17.6424,62.6157,
"24-Feb-1980",4013950000,18.0984,63.0787,
"25-Feb-1980",4009060000,17.9479,62.8472,
"26-Feb-1980",4003100000,5.6655,68.5185,
"27-Feb-1980",3996750000,9.3646,73.9583,
