"timed","stoobs","inflow","outflow",
"01-Jan-2000",136786354.25,0,9.02,
"02-Jan-2000",136172035.875,0,8.2,
"03-Jan-2000",135438769.125,0,7.38,
"04-Jan-2000",134709751.75,0,6.888,
"05-Jan-2000",134467686.5,0,6.601,
"06-Jan-2000",134467686.5,0,4.1,
"07-Jan-2000",134467686.5,0,4.6002,
"08-Jan-2000",134467686.5,0,4.0098,
"09-Jan-2000",134588660.375,0,3.28,
"10-Jan-2000",134588660.375,0,3.116,
"11-Jan-2000",134467686.5,0,2.87,
"12-Jan-2000",134588660.375,0,2.706,
"13-Jan-2000",134588660.375,0,2.542,
"14-Jan-2000",134709751.75,0,2.501,
"15-Jan-2000",134709751.75,0,2.46,
"16-Jan-2000",134709751.75,0,2.501,
"17-Jan-2000",134830960.25,0,2.583,
"18-Jan-2000",134952286.625,0,2.706,
"19-Jan-2000",135195292.25,0,2.829,
"20-Jan-2000",135316971.5,0,2.952,
"21-Jan-2000",135195292.25,0,3.0668,
"22-Jan-2000",135316971.5,0,3.198,
"23-Jan-2000",135316971.5,0,3.28,
"24-Jan-2000",135316971.5,0,3.3374,
"25-Jan-2000",135195292.25,0,3.4604,
"26-Jan-2000",135195292.25,0,3.6736,
"27-Jan-2000",135195292.25,0,3.8704,
"28-Jan-2000",135195292.25,0,3.7802,
"29-Jan-2000",135195292.25,0,3.5178,
"30-Jan-2000",135073730.625,0,3.649,
"31-Jan-2000",135073730.625,0,3.8622,
"01-Feb-2000",135073730.625,0,3.8376,
"02-Feb-2000",135195292.25,0,2.3698,
"03-Feb-2000",135316971.5,0,2.214,
"04-Feb-2000",135438769.125,0,2.2386,
"05-Feb-2000",135560684.5,0,1.9106,
"06-Feb-2000",135682718.125,0,1.804,
"07-Feb-2000",135682718.125,0,1.722,
"08-Feb-2000",135804870,0,1.681,
"09-Feb-2000",136049528.875,0,1.64,
"10-Feb-2000",136172035.875,0,1.64,
"11-Feb-2000",136172035.875,0,1.681,
"12-Feb-2000",136294662,0,1.804,
"13-Feb-2000",136294662,0,1.968,
"14-Feb-2000",136417406.75,0,2.296,
"15-Feb-2000",136540270.375,0,2.624,
"16-Feb-2000",136540270.375,0,3.034,
"17-Feb-2000",136663252.75,0,3.28,
"18-Feb-2000",136663252.75,0,3.8458,
"19-Feb-2000",136786354.25,0,3.9852,
"20-Feb-2000",136786354.25,0,4.3132,
"21-Feb-2000",136909575.125,0,4.387,
"22-Feb-2000",136909575.125,0,4.674,
"23-Feb-2000",137156374.875,0,4.8872,
"24-Feb-2000",137403652.625,0,4.6166,
"25-Feb-2000",137527470.75,0,4.4198,
"26-Feb-2000",137651408.75,0,4.2394,
"27-Feb-2000",137775466.75,0,4.4526,
"28-Feb-2000",137899645.125,0,4.6986,
"29-Feb-2000",138023943.375,0,4.6412,
"01-Mar-2000",138148361.75,4.149,4.7396,
"02-Mar-2000",138397559.375,4.29,4.8216,
"03-Mar-2000",138772260.75,4.094,4.3706,
"04-Mar-2000",139148050,3.687,3.895,
"05-Mar-2000",139399181.375,3.639,3.5342,
"06-Mar-2000",139650798.5,3.731,3.1242,
"07-Mar-2000",139776789.75,3.728,2.87,
"08-Mar-2000",139902902.375,3.697,2.665,
"09-Mar-2000",140029136.875,3.854,2.378,
"10-Mar-2000",140155493.25,3.851,2.214,
"11-Mar-2000",140155493.25,3.747,2.173,
"12-Mar-2000",140281971.5,3.752,2.091,
"13-Mar-2000",140408571.625,3.76,2.05,
"14-Mar-2000",140535294.875,3.556,2.009,
"15-Mar-2000",140662139.75,3.453,1.9844,
"16-Mar-2000",140789107.25,3.648,1.968,
"17-Mar-2000",140916197.5,3.445,1.968,
"18-Mar-2000",140916197.5,3.597,2.0582,
"19-Mar-2000",141043409.625,3.364,2.2796,
"20-Mar-2000",141043409.625,3.251,2.3616,
"21-Mar-2000",141298203.875,3.562,3.1078,
"22-Mar-2000",141425785,5.287,3.485,
"23-Mar-2000",141809267.75,6.866,3.8458,
"24-Mar-2000",142193860.75,3.064,3.2554,
"25-Mar-2000",142450874.375,4.039,3.034,
"26-Mar-2000",142708384,5.467,2.829,
"27-Mar-2000",143095579.25,4.86,2.7798,
"28-Mar-2000",143483894.625,4.371,2.8044,
"29-Mar-2000",143873333.25,4.081,2.9192,
"30-Mar-2000",144133584.375,4.227,2.8126,
"31-Mar-2000",144524900.625,4.356,2.6568,
"01-Apr-2000",144786406,4.074,2.6814,
"02-Apr-2000",145179608.375,4.822,2.5912,
"03-Apr-2000",145442374,4.906,2.6568,
"04-Apr-2000",145837470.5,7.118,2.706,
"05-Apr-2000",146366039.875,11.655,2.9356,
"06-Apr-2000",146763801.125,12.735,2.7306,
"07-Apr-2000",147562768.625,13.515,2.8044,
"08-Apr-2000",148769873.125,16.545,2.7716,
"09-Apr-2000",150123366.125,16.503,2.6568,
"10-Apr-2000",151764748,19.426,2.6978,
"11-Apr-2000",153564282.625,23.173,2.7306,
"12-Apr-2000",155668592.875,23.264,2.6978,
"13-Apr-2000",157946571.125,26.365,2.706,
"14-Apr-2000",160697041,29.594,2.706,
"15-Apr-2000",163646291.125,29.806,2.747,
"16-Apr-2000",166651835.875,30.305,2.952,
"17-Apr-2000",170024043.375,33.709,2.911,
"18-Apr-2000",173624874.375,36.717,2.8126,
"19-Apr-2000",177304113.25,37.332,4.1164,
"20-Apr-2000",180898068.875,37.714,8.1836,
"21-Apr-2000",183893788.25,39.6,15.8424,
"22-Apr-2000",185918911.125,41.392,27.4044,
"23-Apr-2000",187281548.25,43.382,28.5442,
"24-Apr-2000",189344492.25,45.275,22.9682,
"25-Apr-2000",192482043.875,44.468,14.4976,
"26-Apr-2000",195850760.125,46.463,14.0384,
"27-Apr-2000",198915046.25,48.057,20.377,
"28-Apr-2000",201290688.875,54.959,24.682,
"29-Apr-2000",204253504.625,58.958,24.6164,
"30-Apr-2000",207259776.625,59.455,24.6984,
"01-May-2000",210502131.375,58.562,24.5779,
"02-May-2000",213404751.5,52.963,24.6123,
"03-May-2000",215952338.5,53.955,25.8562,
"04-May-2000",218729446.375,63.252,28.8853,
"05-May-2000",221541693,71.045,30.2186,
"06-May-2000",225209642.5,74.442,30.8033,
"07-May-2000",228937022.5,75.144,30.6598,
"08-May-2000",232512583.375,73.746,33.7856,
"09-May-2000",235069186.625,70.652,38.745,
"10-May-2000",236788742.875,68.259,42.3448,
"11-May-2000",237653093.375,65.458,43.7798,
"12-May-2000",238086415,63.161,48.4456,
"13-May-2000",238520502.625,60.565,49.1828,
"14-May-2000",238955357.5,57.572,48.116,
"15-May-2000",238737833.875,57.573,50.7613,
"16-May-2000",237436719.375,57.771,60.6989,
"17-May-2000",235712594.75,59.67,63.7821,
"18-May-2000",234213963.125,59.568,63.4737,
"19-May-2000",232512583.375,59.067,69.7082,
"20-May-2000",230192821.125,62.358,75.4236,
"21-May-2000",228519910.375,66.333,75.2924,
"22-May-2000",226652075.375,73.726,74.8906,
"23-May-2000",225826724.875,85.317,73.9886,
"24-May-2000",226032786.375,91.81,74.1198,
"25-May-2000",226858873.625,94.306,73.9066,
"26-May-2000",227895633.875,98.004,73.7836,
"27-May-2000",228937022.5,93.302,74.2354,
"28-May-2000",229145857.375,64.001,74.3494,
"29-May-2000",227895633.875,60.601,73.964,
"30-May-2000",225620847,86.723,73.3162,
"31-May-2000",224389433.125,89.167,73.2424,
"01-Jun-2000",224184838.625,85.749,73.1194,
"02-Jun-2000",223776197.25,80.752,72.8595,
"03-Jun-2000",222961104.125,76.878,72.9226,
"04-Jun-2000",221541693,75.081,72.7422,
"05-Jun-2000",220332119.375,70.783,72.6028,
"06-Jun-2000",219129036.5,64.681,68.6324,
"07-Jun-2000",218330573.625,65.074,58.5111,
"08-Jun-2000",218330573.625,70.169,55.0113,
"09-Jun-2000",219129036.5,77.67,55.3049,
"10-Jun-2000",220533263.25,80.868,54.9769,
"11-Jun-2000",222351696,80.867,55.1655,
"12-Jun-2000",223368286.125,76.367,60.3036,
"13-Jun-2000",223368286.125,73.066,70.6438,
"14-Jun-2000",222148922.875,76.762,75.2883,
"15-Jun-2000",221137778.625,86.17,74.3994,
"16-Jun-2000",221946331.625,97.383,74.784,
"17-Jun-2000",224184838.625,100.596,75.2104,
"18-Jun-2000",227273023,103.706,70.3806,
"19-Jun-2000",230823237.125,102.008,59.6632,
"20-Jun-2000",235927443.75,99.105,48.462,
"21-Jun-2000",240702466.625,94.594,50.471,
"22-Jun-2000",244011655.625,93.987,60.1208,
"23-Jun-2000",246242140.125,94.181,62.7374,
"24-Jun-2000",248492268.25,93.383,62.6997,
"25-Jun-2000",250762175.5,92.879,63.4598,
"26-Jun-2000",252592433,85.677,63.7796,
"27-Jun-2000",253973532.75,76.879,63.3778,
"28-Jun-2000",254435506.75,73.078,60.6693,
"29-Jun-2000",254666795.375,70.87,60.7448,
"30-Jun-2000",254204419.25,69.665,64.5324,
"01-Jul-2000",253512363.5,70.363,65.1236,
"02-Jul-2000",253282080,71.057,64.6455,
