"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",11223000000,170.0667,612.0333,
"31-Jan-2001 12:00:00",9914666666.6667,176.1667,680.3,
"03-Mar-2001 00:00:00",8944666666.6667,193.2333,508.4667,
"02-Apr-2001 12:00:00",8622666666.6667,342.5,212.1,
"03-May-2001 00:00:00",9607000000,782.5,248.2333,
"02-Jun-2001 12:00:00",11252666666.6667,930.6333,391.3667,
"03-Jul-2001 00:00:00",11709333333.3333,583.1,547.3333,
"02-Aug-2001 12:00:00",11736333333.3333,516.1333,441.9667,
"02-Sep-2001 00:00:00",12076666666.6667,358.8,276.4,
"02-Oct-2001 12:00:00",12018666666.6667,261.7667,321.4,
"02-Nov-2001 00:00:00",11733666666.6667,247.2667,401.1,
"02-Dec-2001 12:00:00",10805000000,193.9,610.7667,
"02-Jan-2002 00:00:00",9744333333.3333,163.8667,573.9,
"01-Feb-2002 12:00:00",8675000000,151.2667,524.7333,
"04-Mar-2002 00:00:00",7791000000,155.7667,481.8333,
"03-Apr-2002 12:00:00",7661000000,476.9667,319.8,
"04-May-2002 00:00:00",8883333333.3333,753.1667,184.7333,
"03-Jun-2002 12:00:00",11848000000,1506.6,142.5333,
"04-Jul-2002 00:00:00",14940666666.6667,1237.9,249.7667,
"03-Aug-2002 12:00:00",16430333333.3333,733.2,338.4,
"03-Sep-2002 00:00:00",17214000000,413.7667,140.9,
"03-Oct-2002 12:00:00",17543333333.3333,285.3,243.0333,
"03-Nov-2002 00:00:00",17152000000,207.0667,462.4667,
"03-Dec-2002 12:00:00",16121333333.3333,240.6667,671.8,
"03-Jan-2003 00:00:00",14943000000,205.8333,634.4667,
"02-Feb-2003 12:00:00",13825333333.3333,182.8333,643.8,
"05-Mar-2003 00:00:00",12714333333.3333,211.3,599.7333,
"04-Apr-2003 12:00:00",12158333333.3333,317.4,407.2667,
"05-May-2003 00:00:00",13035000000,784.3667,218.7667,
"04-Jun-2003 12:00:00",15915000000,1390,111.6667,
"05-Jul-2003 00:00:00",18544333333.3333,1056.2667,241.5667,
"04-Aug-2003 12:00:00",19541666666.6667,613.5667,427.9333,
"04-Sep-2003 00:00:00",19601000000,449.1667,440.8,
"04-Oct-2003 12:00:00",19265666666.6667,321,469.8333,
"04-Nov-2003 00:00:00",18631333333.3333,276.4,570.2333,
"04-Dec-2003 12:00:00",17628333333.3333,204.8667,628.2667,
"04-Jan-2004 00:00:00",16569000000,237,605.6667,
"03-Feb-2004 12:00:00",15665000000,184.3,518.0333,
"05-Mar-2004 00:00:00",14777333333.3333,209.5,505.9,
"04-Apr-2004 12:00:00",14639666666.6667,420.3333,343.9667,
"05-May-2004 00:00:00",15607333333.3333,782.2667,271.2667,
"04-Jun-2004 12:00:00",17297000000,1088.4,440.6,
"05-Jul-2004 00:00:00",18675333333.3333,888.6333,432.1333,
"04-Aug-2004 12:00:00",19264666666.6667,574.0333,469.4333,
"04-Sep-2004 00:00:00",19272666666.6667,361.3667,410.7333,
"04-Oct-2004 12:00:00",18922000000,271.1667,449.8333,
"04-Nov-2004 00:00:00",18188333333.3333,246.5,568.4667,
"04-Dec-2004 12:00:00",17112000000,234.3,660.5333,
"04-Jan-2005 00:00:00",15875666666.6667,182.8,676.0333,
"03-Feb-2005 12:00:00",14569666666.6667,180.1667,682.2,
"06-Mar-2005 00:00:00",13778000000,216.9333,423.4667,
"05-Apr-2005 12:00:00",13471666666.6667,340.1667,361.0667,
"06-May-2005 00:00:00",14633666666.6667,734.7,253.1333,
"05-Jun-2005 12:00:00",16532000000,1210.0333,232.5333,
"06-Jul-2005 00:00:00",18158666666.6667,729.4333,365.1333,
"05-Aug-2005 12:00:00",18672666666.6667,534.2,384,
"05-Sep-2005 00:00:00",18837000000,388.6667,361.5,
"05-Oct-2005 12:00:00",18518000000,275.3333,455.1667,
"05-Nov-2005 00:00:00",17780000000,235.5667,572.6667,
"05-Dec-2005 12:00:00",16710666666.6667,188.7333,604.5333,
"05-Jan-2006 00:00:00",15324000000,159.5667,699.9333,
"04-Feb-2006 12:00:00",14124333333.3333,187.6667,631.5,
"07-Mar-2006 00:00:00",13185666666.6667,180.2333,493.3,
"06-Apr-2006 12:00:00",12815000000,352.6667,383.9,
"07-May-2006 00:00:00",14171666666.6667,960.8333,220.9333,
"06-Jun-2006 12:00:00",15716000000,765.2333,249.9333,
"07-Jul-2006 00:00:00",16739000000,641.7333,381.7333,
"06-Aug-2006 12:00:00",17135666666.6667,538.7,398.4,
"06-Sep-2006 00:00:00",17208333333.3333,331.6667,368.0333,
"06-Oct-2006 12:00:00",16861333333.3333,235.6333,390.5333,
"06-Nov-2006 00:00:00",16281000000,240.7333,547.2333,
"06-Dec-2006 12:00:00",15012333333.3333,181.3,696.3333,
"06-Jan-2007 00:00:00",13559333333.3333,159.8,711.6,
"05-Feb-2007 12:00:00",12279333333.3333,180.4333,661.6333,
"08-Mar-2007 00:00:00",11060000000,163.8667,638.7667,
"07-Apr-2007 12:00:00",10745333333.3333,464.5333,309.3,
"08-May-2007 00:00:00",11867333333.3333,679.2333,248,
"07-Jun-2007 12:00:00",12757666666.6667,738.2,407.2667,
"08-Jul-2007 00:00:00",13445333333.3333,675.7667,504.8,
"07-Aug-2007 12:00:00",13682666666.6667,501.0333,451.1667,
"07-Sep-2007 00:00:00",13693666666.6667,322.9667,295.4333,
"07-Oct-2007 12:00:00",13503666666.6667,242.2667,392.3667,
"07-Nov-2007 00:00:00",12746000000,161.1,511.8,
"07-Dec-2007 12:00:00",11529333333.3333,158.4,680.0667,
"07-Jan-2008 00:00:00",9778000000,111.8333,826.1333,
"06-Feb-2008 12:00:00",7830000000,91.3333,815.8,
"08-Mar-2008 00:00:00",6681666666.6667,176.2667,472.2333,
"07-Apr-2008 12:00:00",6502666666.6667,262.8,232.2333,
"08-May-2008 00:00:00",7049666666.6667,609.0667,219.4333,
"07-Jun-2008 12:00:00",8469666666.6667,704,231.4,
"08-Jul-2008 00:00:00",9159666666.6667,491.1667,325.0667,
"07-Aug-2008 12:00:00",9424000000,462.2333,371.1667,
"07-Sep-2008 00:00:00",9600666666.6667,271.3667,222.9,
"07-Oct-2008 12:00:00",9549000000,217.9,261.2667,
"07-Nov-2008 00:00:00",9132000000,164.8667,369.4,
"07-Dec-2008 12:00:00",8582666666.6667,160.4333,390.9,
"07-Jan-2009 00:00:00",7822333333.3333,142.7333,435.4333,
"06-Feb-2009 12:00:00",7094333333.3333,144.2333,411.6333,
"09-Mar-2009 00:00:00",6549333333.3333,179.6,362.3667,
"08-Apr-2009 12:00:00",6335333333.3333,272.9333,318.5,
"09-May-2009 00:00:00",6694666666.6667,509.1667,235.7333,
"08-Jun-2009 12:00:00",8688333333.3333,1194.4667,184.2,
"09-Jul-2009 00:00:00",10742000000,949.9,355.9333,
"08-Aug-2009 12:00:00",12109000000,713.4,305.3667,
"08-Sep-2009 00:00:00",12588333333.3333,404.2,282.6667,
"08-Oct-2009 12:00:00",12806666666.6667,413.6,382.4,
"08-Nov-2009 00:00:00",12504333333.3333,265.6,416.8,
"08-Dec-2009 12:00:00",11938333333.3333,230.3667,480.7333,
"08-Jan-2010 00:00:00",11145666666.6667,182.6,486.1333,
"07-Feb-2010 12:00:00",10322000000,187.0333,496.8,
"10-Mar-2010 00:00:00",9815666666.6667,229,379.9,
"09-Apr-2010 12:00:00",9946000000,452.2333,236.2,
"10-May-2010 00:00:00",12154666666.6667,1158.1667,209.3333,
"09-Jun-2010 12:00:00",15134333333.3333,1570.6667,169.3333,
"10-Jul-2010 00:00:00",18129333333.3333,1148.1333,255.5333,
"09-Aug-2010 12:00:00",19354666666.6667,938.0667,719.2667,
"09-Sep-2010 00:00:00",19522666666.6667,486.5,468.9,
"09-Oct-2010 12:00:00",19434333333.3333,356.5,410.2667,
"09-Nov-2010 00:00:00",19171333333.3333,264.2667,394.5,
"09-Dec-2010 12:00:00",18488666666.6667,228.2,535.5333,

