"timed","stoobs","inflow","outflow",
"01-Jan-1970",1906929663.8674,35.0846,14.0452,
"02-Jan-1970",1908020866.3078,30.7238,13.9602,
"03-Jan-1970",1909115783.4799,30.9503,14.1301,
"04-Jan-1970",1910347217.0424,32.9891,14.0452,
"05-Jan-1970",1911027941.6286,24.4941,14.0168,
"06-Jan-1970",1911986342.4103,28.7416,14.0168,
"07-Jan-1970",1912122858.8007,24.8622,22.7667,
"08-Jan-1970",1914181748.8521,45.76,14.1018,
"09-Jan-1970",1918846523.1995,85.8,14.1018,
"10-Jan-1970",1923377567.2052,83.9595,14.3,
"11-Jan-1970",1927638364.4788,79.7119,14.2151,
"12-Jan-1970",1933011723.9002,96.9569,14.3566,
"13-Jan-1970",1945434715.4281,205.467,14.4982,
"14-Jan-1970",1965963251.5515,329.9479,14.3566,
"15-Jan-1970",1980039298.6912,230.5274,14.1584,
"16-Jan-1970",1996980332.6638,271.6435,11.2135,
"17-Jan-1970",2013853572.7826,273.4558,14.0735,
"18-Jan-1970",2025563335.8218,194.0837,14.0735,
"19-Jan-1970",2041136419.8414,253.7189,14.3283,
"20-Jan-1970",2057911219.5699,272.1815,14.3,
"21-Jan-1970",2094106636.6887,570.4429,14.0168,
"22-Jan-1970",2151478810.6147,896.2282,14.2717,
"23-Jan-1970",2222763583.485,1107.217,11.3834,
"24-Jan-1970",2267887358.2736,711.574,17.9246,
"25-Jan-1970",2286025464.5404,372.0834,93.2474,
"26-Jan-1970",2304887014.8081,415.7479,125.8117,
"27-Jan-1970",2316697075.6034,347.5043,165.9367,
"28-Jan-1970",2319805377.3635,225.572,177.7732,
"29-Jan-1970",2319493339.8996,163.6997,168.5136,
"30-Jan-1970",2317937795.9952,133.9387,157.8381,
"31-Jan-1970",2316230876.7736,119.6104,145.8601,
"01-Feb-1970",2315297550.4309,104.5458,118.9024,
"02-Feb-1970",2311723978.524,88.5185,143.4531,
"03-Feb-1970",2307527260.3724,89.9343,154.4401,
"04-Feb-1970",2303334256.9524,83.4497,147.8989,
"05-Feb-1970",2299777401.3382,83.4214,138.1013,
"06-Feb-1970",2296220545.724,81.8074,136.4872,
