"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",3641000000,426.3333,134.5,
"31-Jan-2001 12:00:00",4107000000,423.7,415.1333,
"03-Mar-2001 00:00:00",2569666666.6667,218,937.9667,
"02-Apr-2001 12:00:00",1909333333.3333,222.4667,315.0333,
"03-May-2001 00:00:00",1811666666.6667,304.9333,328.4,
"02-Jun-2001 12:00:00",1877333333.3333,916.4,876.4333,
"03-Jul-2001 00:00:00",1790666666.6667,687.2333,728.4,
"02-Aug-2001 12:00:00",1746666666.6667,483.5,500.3,
"02-Sep-2001 00:00:00",1719000000,364,365.2667,
"02-Oct-2001 12:00:00",1694000000,204.6333,211.7,
"02-Nov-2001 00:00:00",1837333333.3333,237.1,151.1333,
"02-Dec-2001 12:00:00",2307000000,348.9333,158.1667,
"02-Jan-2002 00:00:00",3048666666.6667,402.8,129.8,
"01-Feb-2002 12:00:00",3296666666.6667,290.8333,376.6667,
"04-Mar-2002 00:00:00",2115666666.6667,239.5333,676.7667,
"03-Apr-2002 12:00:00",2179000000,813.2667,477.1333,
"04-May-2002 00:00:00",3674000000,1721.7667,1141.4,
"03-Jun-2002 12:00:00",5311333333.3333,2580.2333,2022.8333,
"04-Jul-2002 00:00:00",6218333333.3333,2382,2168.7,
"03-Aug-2002 12:00:00",6346333333.3333,1855.8,1855.1667,
"03-Sep-2002 00:00:00",6293000000,1265,1184.3667,
"03-Oct-2002 12:00:00",6252000000,427,449.9667,
"03-Nov-2002 00:00:00",6008000000,368.4333,449.9333,
"03-Dec-2002 12:00:00",5913333333.3333,542.3667,568.1333,
"03-Jan-2003 00:00:00",5819000000,489.4667,550.4,
"02-Feb-2003 12:00:00",5272666666.6667,281.4333,606.1,
"05-Mar-2003 00:00:00",4493666666.6667,486.7,800.6,
"04-Apr-2003 12:00:00",5125666666.6667,1588.5,992.2333,
"05-May-2003 00:00:00",5369333333.3333,1809.7667,1899.9333,
"04-Jun-2003 12:00:00",5657000000,2958.0333,2832.8667,
"05-Jul-2003 00:00:00",5456666666.6667,2898.1,2986.5333,
"04-Aug-2003 12:00:00",5094333333.3333,1694.3667,2009,
"04-Sep-2003 00:00:00",3720666666.6667,777.8333,1033.2333,
"04-Oct-2003 12:00:00",4003333333.3333,455.1333,285.2667,
"04-Nov-2003 00:00:00",4683333333.3333,512.5,203.4333,
