"timed","stoobs","inflow","outflow",
"01-Jan-2000",117947285.668,5.8453,5.7372,
"02-Jan-2000",117867448.6328,5.6997,5.712,
"03-Jan-2000",117548444.875,5.7773,5.7288,
"04-Jan-2000",117309553.4961,5.7012,5.7624,
"05-Jan-2000",117229991.8789,5.6965,5.7372,
"06-Jan-2000",117070971.8008,5.9017,5.5776,
"07-Jan-2000",116912089.3008,6.2405,5.5104,
"08-Jan-2000",117150464.6367,5.8528,5.082,
"09-Jan-2000",117389149.5508,5.595,4.536,
"10-Jan-2000",117468779.9883,5.3228,4.41,
"11-Jan-2000",117628144.1602,5.0323,4.3008,
"12-Jan-2000",117787646.0469,4.98,4.242,
"13-Jan-2000",117867448.6328,4.976,4.2084,
"14-Jan-2000",118027157.1641,5.047,4.0992,
"15-Jan-2000",118187003.5273,5.1385,3.7128,
"16-Jan-2000",118346987.7695,5.2715,3.5784,
"17-Jan-2000",118507109.9336,5.5168,3.4776,
"18-Jan-2000",118667370.0508,5.42,3.36,
"19-Jan-2000",118747551.8555,5.2717,3.4524,
"20-Jan-2000",118747551.8555,5.2518,3.5616,
"21-Jan-2000",118747551.8555,5.1605,3.654,
"22-Jan-2000",118747551.8555,5.0075,3.7212,
"23-Jan-2000",118747551.8555,5.1433,3.7884,
"24-Jan-2000",118667370.0508,4.9795,3.8556,
"25-Jan-2000",118667370.0508,4.9355,3.7968,
"26-Jan-2000",118667370.0508,4.8098,3.738,
"27-Jan-2000",118667370.0508,4.687,3.5784,
"28-Jan-2000",118667370.0508,4.5808,3.4272,
"29-Jan-2000",118667370.0508,4.4545,3.402,
"30-Jan-2000",118667370.0508,4.3442,3.3852,
"31-Jan-2000",118667370.0508,4.3853,3.3768,
"01-Feb-2000",118667370.0508,4.5845,3.3768,
"02-Feb-2000",118667370.0508,4.6185,3.3768,
"03-Feb-2000",118667370.0508,4.4863,3.444,
"04-Feb-2000",118667370.0508,4.3985,3.5532,
"05-Feb-2000",118667370.0508,4.4045,3.6708,
"06-Feb-2000",118667370.0508,4.4203,3.822,
"07-Feb-2000",118667370.0508,4.487,3.9228,
"08-Feb-2000",118667370.0508,4.516,4.1496,
"09-Feb-2000",118747551.8555,4.3933,4.0404,
"10-Feb-2000",118747551.8555,4.195,3.9312,
"11-Feb-2000",118667370.0508,4.0803,3.8304,
"12-Feb-2000",118667370.0508,4.0252,3.7296,
"13-Feb-2000",118667370.0508,3.9907,3.6372,
"14-Feb-2000",118667370.0508,3.9802,3.528,
"15-Feb-2000",118667370.0508,4.0503,3.4188,
"16-Feb-2000",118747551.8555,4.062,3.3936,
"17-Feb-2000",118747551.8555,4.012,3.4104,
"18-Feb-2000",118747551.8555,4.0715,3.4356,
"19-Feb-2000",118747551.8555,4.0027,3.4608,
"20-Feb-2000",118747551.8555,4.0667,3.5028,
"21-Feb-2000",118747551.8555,4.0635,3.5364,
"22-Feb-2000",118747551.8555,4.0938,3.5784,
"23-Feb-2000",118827768.1758,4.104,3.6204,
"24-Feb-2000",118908019.0117,4.137,3.6708,
"25-Feb-2000",118827768.1758,4.1883,3.7128,
"26-Feb-2000",118827768.1758,4.1813,3.7548,
"27-Feb-2000",118827768.1758,3.9995,3.8052,
"28-Feb-2000",118827768.1758,4.086,3.8808,
"29-Feb-2000",118747551.8555,4.0678,3.9648,
"01-Mar-2000",118667370.0508,4.0912,3.9816,
"02-Mar-2000",118667370.0508,4.103,4.0236,
"03-Mar-2000",118667370.0508,4.0018,4.0404,
"04-Mar-2000",118667370.0508,3.9505,4.0908,
"05-Mar-2000",118747551.8555,3.9257,4.0992,
"06-Mar-2000",118747551.8555,4.0175,4.0656,
"07-Mar-2000",118667370.0508,4.0375,4.032,
"08-Mar-2000",118667370.0508,4.0605,3.9984,
"09-Mar-2000",118667370.0508,4.1052,3.8304,
"10-Mar-2000",118587222.7344,4.08,3.6624,
"11-Mar-2000",118667370.0508,4.1383,3.5112,
"12-Mar-2000",118667370.0508,4.1582,3.36,
"13-Mar-2000",118667370.0508,4.15,3.3684,
"14-Mar-2000",118747551.8555,4.1245,3.3768,
"15-Mar-2000",118667370.0508,4.1772,3.3852,
"16-Mar-2000",118667370.0508,4.28,3.318,
"17-Mar-2000",118747551.8555,4.2405,3.2508,
"18-Mar-2000",118667370.0508,4.1493,3.1836,
"19-Mar-2000",118747551.8555,4.0898,3.1164,
"20-Mar-2000",118667370.0508,3.9202,3.0912,
"21-Mar-2000",118667370.0508,4.3355,3.2172,
"22-Mar-2000",118667370.0508,4.4298,4.2336,
"23-Mar-2000",118667370.0508,4.8845,5.7876,
"24-Mar-2000",118667370.0508,4.6668,5.712,
"25-Mar-2000",118667370.0508,4.6675,5.3508,
"26-Mar-2000",118587222.7344,4.709,4.8972,
"27-Mar-2000",118587222.7344,4.3937,4.8048,
"28-Mar-2000",118587222.7344,4.9073,4.7544,
"29-Mar-2000",118587222.7344,4.843,4.8048,
"30-Mar-2000",118587222.7344,4.843,4.8804,
"31-Mar-2000",118587222.7344,4.8225,4.6284,
"01-Apr-2000",118587222.7344,5.0545,4.62,
"02-Apr-2000",118587222.7344,5.3275,4.8048,
"03-Apr-2000",118587222.7344,5.6288,4.8552,
"04-Apr-2000",118587222.7344,5.8228,6.858,
"05-Apr-2000",118507109.9336,6.6925,9.7568,
"06-Apr-2000",118266978.4141,6.73,10.1064,
"07-Apr-2000",118107063.1133,6.9612,10.9456,
"08-Apr-2000",117628144.1602,7.1452,13.2036,
"09-Apr-2000",117229991.8789,7.2725,13.162,
"10-Apr-2000",116674023.3633,7.515,15.87,
"11-Apr-2000",115803759.5664,7.76,18.4128,
"12-Apr-2000",114859113.8867,8.2025,18.3968,
"13-Apr-2000",114075674.9805,9.135,21.048,
"14-Apr-2000",112984600.4531,10.2725,26.4812,
"15-Apr-2000",111900208.3828,11.575,23.2128,
"16-Apr-2000",110899242.6758,12.41,22.9624,
"17-Apr-2000",109980365.5273,13.725,25.202,
"18-Apr-2000",108914505.8594,14.21,27.6104,
"19-Apr-2000",107855268.9414,14.8875,27.5852,
"20-Apr-2000",106802638.8438,16.64,27.5516,
"21-Apr-2000",105831098.4883,19.1075,27.7096,
"22-Apr-2000",105087618.8477,23.655,27.7592,
"23-Apr-2000",104791165.1055,28.35,27.4668,
"24-Apr-2000",104717135.3633,29.8575,27.3248,
"25-Apr-2000",104717135.3633,29.515,30.2752,
"26-Apr-2000",104273659.4102,28.7675,33.0164,
"27-Apr-2000",103757791.7227,27.0875,34.8164,
"28-Apr-2000",102730962.2773,26.63,38.466,
"29-Apr-2000",101638031.2852,27.0175,39.0516,
"30-Apr-2000",100480475.457,27.7975,39.3684,
"01-May-2000",99331398.8281,27.59,42.276,
"02-May-2000",97906939.8633,30.1375,43.4684,
"03-May-2000",96776852.3633,35.145,43.7592,
"04-May-2000",95864842.4414,38.815,47.5172,
"05-May-2000",94888864.2383,40.5225,49.1096,
"06-May-2000",94126514.3438,40.3925,48.6096,
"07-May-2000",93299356.1211,38.02,48.6348,
"08-May-2000",92271990.4727,35.7175,48.46,
"09-May-2000",91116459.7266,33.9075,48.1676,
"10-May-2000",89836034.8477,32.1825,47.9912,
"11-May-2000",88301595.3711,30.205,48.344,
"12-May-2000",86587428.9883,28.9525,49.5744,
"13-May-2000",84959528.418,26.89,46.1064,
"14-May-2000",83287556.0586,25.525,44.3148,
"15-May-2000",81636932.332,24.35,45.24,
"16-May-2000",79696629.3555,23.6925,45.824,
"17-May-2000",77786330.9961,24.815,45.924,
"18-May-2000",76146822.4258,27.8625,42.5148,
"19-May-2000",75245711.1758,33.39,36.3308,
"20-May-2000",75245711.1758,38.9875,34.7056,
"21-May-2000",75665367.2461,43.6425,35.1888,
"22-May-2000",76448734.4492,51.135,37.9888,
