"timed","stoobs","inflow","outflow",
"01-Jan-1970 00:00:00",1088676966.1845,90.0032,91.6067,
"31-Jan-1970 12:00:00",1094875217.8977,96.7401,85.064,
"03-Mar-1970 00:00:00",998818968.3626,70.3814,106.2447,
"02-Apr-1970 12:00:00",878461871.663,66.4901,109.2823,
"03-May-1970 00:00:00",858357333.4196,85.5922,93.0984,
"02-Jun-1970 12:00:00",957251827.172,94.3781,54.4102,
"03-Jul-1970 00:00:00",1072755168.5499,72.8973,29.7728,
"02-Aug-1970 12:00:00",1250016533.1669,129.1095,62.9272,
"02-Sep-1970 00:00:00",1451248171.5238,226.8371,144.3876,
"02-Oct-1970 12:00:00",1311926274.8062,136.3817,188.3986,
"02-Nov-1970 00:00:00",1267070668.1294,51.5921,66.6755,
"02-Dec-1970 12:00:00",1319541798.4036,71.3642,51.7732,
"02-Jan-1971 00:00:00",1347062036.0102,82.1557,71.8809,
"01-Feb-1971 12:00:00",1329435564.9691,86.2882,84.5187,
"04-Mar-1971 00:00:00",1223902466.0982,71.0404,110.4424,
"03-Apr-1971 12:00:00",1154404337.4859,83.3058,106.5666,
"04-May-1971 00:00:00",1148991814.3979,89.6974,91.7182,
"03-Jun-1971 12:00:00",1087262161.2661,106.356,125.9729,
"04-Jul-1971 00:00:00",981370118.8632,104.1041,143.6397,
"03-Aug-1971 12:00:00",925088759.8244,172.4421,193.4552,
"03-Sep-1971 00:00:00",1148886968.349,315.3662,221.6359,
"03-Oct-1971 12:00:00",1321836076.6497,229.5317,164.9595,
"03-Nov-1971 00:00:00",1280684619.2058,77.3982,90.2661,
"03-Dec-1971 12:00:00",1347364239.3276,90.4338,65.538,
"03-Jan-1972 00:00:00",1316260733.8152,132.1126,143.7254,
"02-Feb-1972 12:00:00",1241369817.8416,120.2595,136.5825,
"04-Mar-1972 00:00:00",1147759564.9528,82.7802,117.7308,
"03-Apr-1972 12:00:00",1101365805.0648,98.9646,113.0941,
"04-May-1972 00:00:00",1160040120.984,125.7357,103.8287,
"03-Jun-1972 12:00:00",1165657402.2381,136.6987,130.1918,
"04-Jul-1972 00:00:00",1000095623.1931,121.1778,182.992,
"03-Aug-1972 12:00:00",969788947.6522,131.3205,142.6357,
"03-Sep-1972 00:00:00",1219443425.3135,279.598,177.368,
"03-Oct-1972 12:00:00",1256336899.69,127.2029,113.4285,
"03-Nov-1972 00:00:00",1317247520.1576,113.0017,86.6151,
"03-Dec-1972 12:00:00",1342475946.4839,92.1083,82.689,
"03-Jan-1973 00:00:00",1331446142.1418,107.0147,111.1327,
"02-Feb-1973 12:00:00",1233707421.8929,106.3578,132.5566,
"05-Mar-1973 00:00:00",1198654304.045,84.9093,97.9966,
"04-Apr-1973 12:00:00",1155028479.8475,89.0192,102.4356,
"05-May-1973 00:00:00",1116278613.6644,73.2551,87.7231,
