"timed","stoobs","inflow","outflow",
"01-Jan-2001 00:00:00",684333333.3333,79.9,70.9,
"31-Jan-2001 12:00:00",652666666.6667,70.4,73.1333,
"03-Mar-2001 00:00:00",683000000,109.1667,77.2667,
"02-Apr-2001 12:00:00",911000000,258.0667,121.5667,
"03-May-2001 00:00:00",1329333333.3333,478.4667,231.7333,
"02-Jun-2001 12:00:00",1797333333.3333,540.8667,318.7333,
"03-Jul-2001 00:00:00",1724000000,276.6,347.7333,
"02-Aug-2001 12:00:00",1338333333.3333,181.8333,312.4,
"02-Sep-2001 00:00:00",1152666666.6667,139.6333,186.1667,
"02-Oct-2001 12:00:00",977000000,117.2667,156.7667,
"02-Nov-2001 00:00:00",930333333.3333,115.1333,115.6667,
"02-Dec-2001 12:00:00",828333333.3333,87.1333,112.1667,
"02-Jan-2002 00:00:00",711333333.3333,82.2333,114.7333,
"01-Feb-2002 12:00:00",609666666.6667,74.8,107.4333,
"04-Mar-2002 00:00:00",572333333.3333,115.4667,118.6333,
"03-Apr-2002 12:00:00",1050333333.3333,388.4667,139.7667,
"04-May-2002 00:00:00",1748333333.3333,441.8,306.3667,
"03-Jun-2002 12:00:00",1926666666.6667,665.8667,659.3,
"04-Jul-2002 00:00:00",1995333333.3333,589.2,635.2,
"03-Aug-2002 12:00:00",2000000000,374.6333,361.2333,
"03-Sep-2002 00:00:00",1980000000,194.9333,198.7667,
"03-Oct-2002 12:00:00",1872000000,137.5667,175.3667,
"03-Nov-2002 00:00:00",1681000000,104.3667,168.8333,
"03-Dec-2002 12:00:00",1431000000,85.5667,191.0667,
"03-Jan-2003 00:00:00",1079333333.3333,77.4333,208.3667,
"02-Feb-2003 12:00:00",709666666.6667,72.8667,204.7,
"05-Mar-2003 00:00:00",456666666.6667,98.5,148.4333,
"04-Apr-2003 12:00:00",568000000,299.1333,244.5,
"05-May-2003 00:00:00",1012333333.3333,497.9667,291.4333,
"04-Jun-2003 12:00:00",1778000000,734.2667,472.2,
"05-Jul-2003 00:00:00",2000666666.6667,514.1333,539.6333,
"04-Aug-2003 12:00:00",1838333333.3333,240.9667,358,
"04-Sep-2003 00:00:00",1671666666.6667,147.1667,199.7333,
"04-Oct-2003 12:00:00",1617666666.6667,109.2,135,
"04-Nov-2003 00:00:00",1553666666.6667,94.9333,133.9333,
"04-Dec-2003 12:00:00",1407666666.6667,88.1,148.3,
"04-Jan-2004 00:00:00",1197333333.3333,78.7,162.6667,
"03-Feb-2004 12:00:00",890000000,77.8,208.4333,
"05-Mar-2004 00:00:00",543333333.3333,111.7,232.3,
"04-Apr-2004 12:00:00",571333333.3333,297.3667,198.2333,
"05-May-2004 00:00:00",1025666666.6667,481.5333,314.4,
"04-Jun-2004 12:00:00",1461000000,494.0667,346.1667,
"05-Jul-2004 00:00:00",1703000000,367.5667,354.6667,
"04-Aug-2004 12:00:00",1440000000,215.0333,345.5667,
"04-Sep-2004 00:00:00",1234333333.3333,139.5667,185.9333,
"04-Oct-2004 12:00:00",1072333333.3333,108.5,152.2333,
"04-Nov-2004 00:00:00",1031000000,93.1,85.5667,
"04-Dec-2004 12:00:00",1024000000,85.1667,87.3,
"04-Jan-2005 00:00:00",933666666.6667,75.1,112.1333,
"03-Feb-2005 12:00:00",729000000,71.0333,156.9667,
"06-Mar-2005 00:00:00",601666666.6667,175.3333,233.9667,
"05-Apr-2005 12:00:00",704000000,307.6,215.5667,
"06-May-2005 00:00:00",1289000000,526.7667,342.6667,
"05-Jun-2005 12:00:00",1807333333.3333,714.4333,522.2667,
"06-Jul-2005 00:00:00",1982666666.6667,431.9333,428.3333,
"05-Aug-2005 12:00:00",1736000000,228.8,358.1667,
"05-Sep-2005 00:00:00",1526666666.6667,152.1,202.1333,
"05-Oct-2005 12:00:00",1326333333.3333,104.2,176.7667,
"05-Nov-2005 00:00:00",1183666666.6667,80,127.7667,
"05-Dec-2005 12:00:00",1055333333.3333,73.6,120.0333,
"05-Jan-2006 00:00:00",883666666.6667,66.1667,128.4667,
"04-Feb-2006 12:00:00",709000000,87.4333,157.6,
"07-Mar-2006 00:00:00",497333333.3333,98.5333,160.4667,
"06-Apr-2006 12:00:00",638000000,258.5333,150.0667,
"07-May-2006 00:00:00",1193333333.3333,498,253.3667,
"06-Jun-2006 12:00:00",1574866666.6667,444.6333,338.8,
"07-Jul-2006 00:00:00",1578333333.3333,292.5333,342.0667,
"06-Aug-2006 12:00:00",1279900000,192.3333,311.2333,
"06-Sep-2006 00:00:00",1080333333.3333,114.1667,163.4667,
"06-Oct-2006 12:00:00",1013666666.6667,120.1,128.8333,
"06-Nov-2006 00:00:00",1027666666.6667,114.8333,119.0333,
"06-Dec-2006 12:00:00",934666666.6667,85.1,125.5333,
"06-Jan-2007 00:00:00",791666666.6667,71.1,126.6333,
"05-Feb-2007 12:00:00",733333333.3333,71.3333,73.0333,
"08-Mar-2007 00:00:00",745333333.3333,107.0333,96.6333,
"07-Apr-2007 12:00:00",1329333333.3333,166.6,88.8667,
"08-May-2007 00:00:00",1928333333.3333,370.6,440.4333,
"07-Jun-2007 12:00:00",1990666666.6667,379.9,602.6333,
"08-Jul-2007 00:00:00",1982800000,215.6,413.3333,
